NBA_ID,Season,Player,3-Point Shot Rating
2403,2016-17,Nene,47.1431490233734
2403,2017-18,Nene,25.0
2403,2018-19,Nene,45.012955599676324
2405,2013-14,Amare Stoudemire,25.0
2405,2014-15,Amare Stoudemire,25.0
2405,2015-16,Amare Stoudemire,25.0
2406,2013-14,Caron Butler,86.21347360773686
2406,2014-15,Caron Butler,81.77039548469449
2406,2015-16,Caron Butler,56.53077483120769
2408,2013-14,Melvin Ely,25.0
2419,2013-14,Tayshaun Prince,72.52929381159048
2419,2014-15,Tayshaun Prince,79.04231313222942
2419,2015-16,Tayshaun Prince,66.10762671587293
2422,2013-14,John Salmons,79.61743298355226
2422,2014-15,John Salmons,63.742312995605076
2427,2013-14,Roger Mason Jr,67.48010570914376
2430,2013-14,Carlos Boozer,25.0
2430,2014-15,Carlos Boozer,25.0
2440,2013-14,Matt Barnes,83.65222122370469
2440,2014-15,Matt Barnes,85.54387686600748
2440,2015-16,Matt Barnes,70.445991443466
2440,2016-17,Matt Barnes,74.16436244050477
2446,2013-14,Rasual Butler,66.14424537237105
2446,2014-15,Rasual Butler,82.73555438112533
2446,2015-16,Rasual Butler,60.959542933885714
2449,2013-14,Luis Scola,25.0
2449,2014-15,Luis Scola,32.24660950976133
2449,2015-16,Luis Scola,77.48363022371271
2449,2016-17,Luis Scola,75.61659878788724
2457,2013-14,Jannero Pargo,69.15807996160527
2457,2014-15,Jannero Pargo,78.14138959877991
2501,2013-14,Reggie Evans,25.0
2501,2014-15,Reggie Evans,25.0
2544,2013-14,LeBron James,84.16952557381858
2544,2014-15,LeBron James,84.77578554613822
2544,2015-16,LeBron James,76.94847334039343
2544,2016-17,LeBron James,86.33293162285422
2544,2017-18,LeBron James,88.02773363885008
2544,2018-19,LeBron James,83.86616462992662
2544,2019-20,LeBron James,84.51536764855665
2544,2020-21,LeBron James,87.13786857179724
2544,2021-22,LeBron James,87.84011455610137
2544,2022-23,LeBron James,79.53840746290433
2544,2023-24,LeBron James,90.31698985143643
2544,2024-25,LeBron James,86.25878537098725
2544,2025-26,Lebron James,78.43291975156781
2546,2013-14,Carmelo Anthony,89.19278394780017
2546,2014-15,Carmelo Anthony,83.6234820931428
2546,2015-16,Carmelo Anthony,80.61488620100141
2546,2016-17,Carmelo Anthony,84.50089948088508
2546,2017-18,Carmelo Anthony,82.31171208702236
2546,2018-19,Carmelo Anthony,79.34611828306556
2546,2019-20,Carmelo Anthony,80.56393726850919
2546,2020-21,Carmelo Anthony,88.1785041451249
2546,2021-22,Carmelo Anthony,84.24181485857567
2547,2013-14,Chris Bosh,79.28319205072007
2547,2014-15,Chris Bosh,83.62929776052322
2547,2015-16,Chris Bosh,78.13515283711733
2548,2013-14,Dwyane Wade,70.88202313108965
2548,2014-15,Dwyane Wade,74.57804750959816
2548,2015-16,Dwyane Wade,68.14005658192346
2548,2016-17,Dwyane Wade,75.96250792780425
2548,2017-18,Dwyane Wade,74.73314314993004
2548,2018-19,Dwyane Wade,81.41392506470918
2549,2013-14,Chris Kaman,25.0
2549,2014-15,Chris Kaman,25.0
2549,2015-16,Chris Kaman,60.36063134628308
2550,2013-14,Kirk Hinrich,81.90022591945623
2550,2014-15,Kirk Hinrich,79.42241346099826
2550,2015-16,Kirk Hinrich,79.90411878760993
2555,2013-14,Nick Collison,25.0
2555,2014-15,Nick Collison,70.34060656651911
2555,2015-16,Nick Collison,25.0
2555,2016-17,Nick Collison,25.0
2555,2017-18,Nick Collison,25.0
2557,2013-14,Luke Ridnour,76.88903156076668
2557,2014-15,Luke Ridnour,74.56319059807599
2561,2013-14,David West,35.84468685584433
2561,2014-15,David West,66.45032440422605
2561,2015-16,David West,46.98535840483578
2561,2016-17,David West,46.65069192475055
2561,2017-18,David West,45.700334013016445
2563,2014-15,Dahntay Jones,25.0
2563,2015-16,Dahntay Jones,62.20458756237666
2563,2016-17,Dahntay Jones,60.57014538723924
2564,2013-14,Boris Diaw,78.36154787858338
2564,2014-15,Boris Diaw,77.15346750920693
2564,2015-16,Boris Diaw,73.66901902461798
2564,2016-17,Boris Diaw,65.68774896726767
2566,2013-14,Travis Outlaw,77.90220461996118
2570,2013-14,Kendrick Perkins,25.0
2570,2014-15,Kendrick Perkins,25.0
2570,2015-16,Kendrick Perkins,25.0
2570,2017-18,Kendrick Perkins,25.0
2571,2013-14,Leandro Barbosa,73.44178486874557
2571,2014-15,Leandro Barbosa,78.75077334548267
2571,2015-16,Leandro Barbosa,74.87439939954614
2571,2016-17,Leandro Barbosa,76.76087614687061
2581,2013-14,Steve Blake,83.64366732580416
2581,2014-15,Steve Blake,80.3643687890494
2581,2015-16,Steve Blake,80.91423083416889
2584,2013-14,Willie Green,77.62766767935129
2584,2014-15,Willie Green,78.66579864223759
2585,2013-14,Zaza Pachulia,25.0
2585,2014-15,Zaza Pachulia,25.0
2585,2015-16,Zaza Pachulia,25.0
2585,2016-17,Zaza Pachulia,25.0
2585,2017-18,Zaza Pachulia,25.0
2585,2018-19,Zaza Pachulia,25.0
2586,2013-14,Keith Bogans,64.77761333155178
2588,2013-14,Matt Bonner,79.81245250610627
2588,2014-15,Matt Bonner,77.43810544198647
2588,2015-16,Matt Bonner,68.85240559194312
2590,2013-14,Mo Williams,81.53835980089751
2590,2014-15,Mo Williams,85.12537890242662
2590,2015-16,Mo Williams,78.22566454947875
2592,2013-14,James Jones,80.15312284945604
2592,2014-15,James Jones,81.32952768548024
2592,2015-16,James Jones,75.58813187807382
2592,2016-17,James Jones,78.07081364806848
2594,2013-14,Kyle Korver,93.31942184889782
2594,2014-15,Kyle Korver,95.69331400848597
2594,2015-16,Kyle Korver,84.8373979242604
2594,2016-17,Kyle Korver,93.36721400960592
2594,2017-18,Kyle Korver,92.63284518823957
2594,2018-19,Kyle Korver,89.88406712143781
2594,2019-20,Kyle Korver,87.402839996253
2617,2013-14,Udonis Haslem,25.0
2617,2014-15,Udonis Haslem,25.0
2617,2015-16,Udonis Haslem,25.0
2617,2016-17,Udonis Haslem,25.0
2617,2017-18,Udonis Haslem,59.94895903281148
2617,2018-19,Udonis Haslem,58.15325365361421
2617,2019-20,Udonis Haslem,63.99751576577043
