NBA ID,Season,Player,Draw Foul Rating,,Draw Foul,FTA_per100,FTA,Fouls Drawn / 75,Stable Fouls Drawn Per 75,Stable Shooting Fouls Drawn Per 75,Stable Non Shooting Fouls Drawn Per 75,Stable FTA Per 75,Drive Foul Drawn Rate,Isolation Foul Drawn Rate,Post Up Draw Foul Rate
708,2013-14,Kevin Garnett,49.57855074653489,-0.16882413392401927,-0.48590592843548064,-0.6552271518297516,-0.5258317046390079,,,,,,,,0.32088171127484266
708,2014-15,Kevin Garnett,51.43924780886456,-0.11088195732944967,-0.4296500256809369,-0.5823389715877496,-0.4663530548703187,,,,,,,,0.32088171127484266
708,2015-16,Kevin Garnett,48.372481876995344,-0.20986369277380446,-0.5257511252753809,-0.7645594221927546,-0.7042676539450755,-0.5816898747121628,-0.7133288652169315,-0.8329692995441066,0.334516088528798,-0.9100497936959682,-0.9231925715379129,-0.6539855172717609,1.1950027194776864
951,2013-14,Ray Allen,58.18883620550841,0.12324392544295694,-0.20233783846840808,-0.3272303407407425,-0.10948115625818358,,,,,,,,-0.3347090448772899
959,2013-14,Steve Nash,60.222743309878865,0.20300899594622787,-0.1248941469612809,-0.1450098901357374,-0.10948115625818358,,,,,,,,-0.3347090448772899
965,2013-14,Derek Fisher,50.031245639334756,-0.15472719791379705,-0.47221925133881093,-0.5458948814667486,-0.5258317046390079,,,,,,,,-0.3347090448772899
977,2013-14,Kobe Bryant,66.10949289351495,0.4637874616177579,0.1282949609997002,0.11624653637715238,0.18064853451440321,,,,,,,,0.042291117415781225
977,2014-15,Kobe Bryant,90.56129572277494,2.6266377072462825,2.228200422647867,2.150967787487326,3.042887281482343,,,,,,,,0.4162403667151528
977,2015-16,Kobe Bryant,77.44170834087188,1.1537897544630107,0.7982163234352406,1.239865534462301,1.496442387496424,0.5232380411899136,0.5529840815332457,0.5972685774120766,0.07683504190365746,1.5028505224572564,0.18997477402535684,1.0336549617137907,0.194806565860971
979,2013-14,Jermaine ONeal,79.05260758970162,1.2428579407868896,0.8846923849649918,1.2763096245833019,0.7232199405034649,,,,,,,,0.6978463960623189
1495,2013-14,Tim Duncan,83.58427578541786,1.5633144921923492,1.1958227851752514,1.2034214443412998,1.496442387496424,,,,,,,,0.9676131328843787
1495,2014-15,Tim Duncan,82.09597030173398,1.4407708379940518,1.0768454823030644,1.1305332640992978,1.3180064381903567,,,,,,,,0.7243221765992319
1495,2015-16,Tim Duncan,66.44510997751675,0.4866972298994583,0.1505379931453938,0.11009874071126956,0.18791209258526234,0.10640894716697442,0.04645890283317477,0.08646933564201137,-0.24526626637776827,0.08771709379441935,1.990185334046993,-0.6539855172717609,0.7521914192696667
1497,2013-14,Chauncey Billups,45.57232397769675,-0.3126007135968518,-0.6254982213010168,-0.7281153320717536,-0.7042676539450755,,,,,,,,-0.3347090448772899
1536,2013-14,Stephen Jackson,28.639990746545795,-1.247175036968301,-1.5328739075883206,-1.8010035123137556,-1.8232249534824536,,,,,,,,0.14846380750136243
1712,2013-14,Antawn Jamison,45.44814862773152,-0.31715667292981736,-0.6299215899118016,0.08173055176530677,-1.4068744051016295,,,,,,,,-1.33470904487729
1713,2013-14,Vince Carter,68.9896767398344,0.660393497702384,0.31917923040371865,0.3287632814372758,0.36634804189132975,,,,,,,,0.47513835978122687
