NBA_ID,Season,Player,Post Hook Rating
2225,2013-14,Tony Parker,55.39567380983769
2225,2014-15,Tony Parker,55.7200168188866
2225,2015-16,Tony Parker,67.90640883070847
2225,2016-17,Tony Parker,35.0
2225,2017-18,Tony Parker,35.0
2225,2018-19,Tony Parker,57.55753010469361
2229,2013-14,Mike James,26.0
2248,2013-14,Earl Watson,26.0
2365,2013-14,Chris Andersen,51.999839535593765
2365,2014-15,Chris Andersen,62.458293088287704
2365,2015-16,Chris Andersen,48.08542736575939
2365,2016-17,Chris Andersen,28.021571835689265
2399,2013-14,Mike Dunleavy,57.201206406703655
2399,2014-15,Mike Dunleavy,52.263646492359705
2399,2015-16,Mike Dunleavy,38.299706185264846
2399,2016-17,Mike Dunleavy,38.137826285154176
2400,2013-14,Drew Gooden,76.49827738598238
2400,2014-15,Drew Gooden,48.52137977231263
2400,2015-16,Drew Gooden,39.153531763938155
2403,2013-14,Nene,85.21836895227189
2403,2014-15,Nene,82.73997544532305
2403,2015-16,Nene,79.9239136803727
2403,2016-17,Nene,58.54037304778804
2403,2017-18,Nene,74.96193452020243
2403,2018-19,Nene,64.43082987340512
2405,2013-14,Amare Stoudemire,91.45374505096954
2405,2014-15,Amare Stoudemire,91.53999689033287
2405,2015-16,Amare Stoudemire,72.65104986901649
2406,2013-14,Caron Butler,49.12210863791439
2406,2014-15,Caron Butler,44.44808082212492
2406,2015-16,Caron Butler,29.671627508912454
2408,2013-14,Melvin Ely,28.929582716576196
2419,2013-14,Tayshaun Prince,72.53668050044338
2419,2014-15,Tayshaun Prince,64.04171976948749
2419,2015-16,Tayshaun Prince,57.28463684851429
2422,2013-14,John Salmons,70.6332055372801
2422,2014-15,John Salmons,26.445873781008256
2427,2013-14,Roger Mason Jr,27.00371170018886
2430,2013-14,Carlos Boozer,78.23016794985003
2430,2014-15,Carlos Boozer,77.35027270554613
2440,2013-14,Matt Barnes,68.31325720456516
2440,2014-15,Matt Barnes,41.89091628297656
2440,2015-16,Matt Barnes,47.76746009360144
2440,2016-17,Matt Barnes,44.23856829815561
2446,2013-14,Rasual Butler,26.445873781008256
2446,2014-15,Rasual Butler,34.931344357611096
2446,2015-16,Rasual Butler,34.44610498351876
2449,2013-14,Luis Scola,75.05853964317721
2449,2014-15,Luis Scola,72.34067443617933
2449,2015-16,Luis Scola,80.64750105720623
2449,2016-17,Luis Scola,61.002009322472546
2457,2013-14,Jannero Pargo,26.0
2457,2014-15,Jannero Pargo,26.0
2501,2013-14,Reggie Evans,67.95255532005588
2501,2014-15,Reggie Evans,68.58829686370645
2544,2013-14,LeBron James,72.29788341766537
2544,2014-15,LeBron James,72.5936975319698
2544,2015-16,LeBron James,73.22101990079442
2544,2016-17,LeBron James,64.37754955023102
2544,2017-18,LeBron James,80.00920175793918
2544,2018-19,LeBron James,68.50587492719487
2544,2019-20,LeBron James,80.18980480518435
2544,2020-21,LeBron James,86.44109925825241
2544,2021-22,LeBron James,76.97009165549149
2544,2022-23,LeBron James,64.13098882079323
2544,2023-24,LeBron James,72.70723956298494
2544,2024-25,LeBron James,72.88715441451423
2544,2025-26,Lebron James,66.8143213788926
2546,2013-14,Carmelo Anthony,61.87259368153128
2546,2014-15,Carmelo Anthony,77.85468935315279
2546,2015-16,Carmelo Anthony,53.97164192247289
2546,2016-17,Carmelo Anthony,58.00857108538216
2546,2017-18,Carmelo Anthony,31.901151262565875
2546,2018-19,Carmelo Anthony,67.66165497330454
2546,2019-20,Carmelo Anthony,47.74260607335534
2546,2020-21,Carmelo Anthony,62.56448466961587
2546,2021-22,Carmelo Anthony,73.44606447103749
2547,2013-14,Chris Bosh,71.4879210252172
2547,2014-15,Chris Bosh,82.6179110251268
2547,2015-16,Chris Bosh,65.16998007276311
2548,2013-14,Dwyane Wade,78.88635633747678
2548,2014-15,Dwyane Wade,78.78622787732498
2548,2015-16,Dwyane Wade,53.04163959333639
2548,2016-17,Dwyane Wade,71.81070599310577
2548,2017-18,Dwyane Wade,48.88705399784969
2548,2018-19,Dwyane Wade,72.50177806485682
2549,2013-14,Chris Kaman,89.78172285658546
2549,2014-15,Chris Kaman,92.270837299805
2549,2015-16,Chris Kaman,40.76384475361219
2550,2013-14,Kirk Hinrich,54.70550862533548
2550,2014-15,Kirk Hinrich,70.56667092625123
2550,2015-16,Kirk Hinrich,35.0
2555,2013-14,Nick Collison,73.64736569642037
2555,2014-15,Nick Collison,53.09534027889369
2555,2015-16,Nick Collison,58.71129812307484
2555,2016-17,Nick Collison,40.282334905190304
2555,2017-18,Nick Collison,49.45876275946236
2557,2013-14,Luke Ridnour,34.72221714612877
2557,2014-15,Luke Ridnour,43.69358722475859
2561,2013-14,David West,88.4155412629519
2561,2014-15,David West,74.60455850551143
2561,2015-16,David West,85.994753957904
2561,2016-17,David West,75.45064272416371
2561,2017-18,David West,67.57303441841489
2563,2014-15,Dahntay Jones,26.0
2563,2015-16,Dahntay Jones,28.51685791033124
2563,2016-17,Dahntay Jones,29.225340838544405
2564,2013-14,Boris Diaw,89.36949878653533
2564,2014-15,Boris Diaw,92.00583680165498
2564,2015-16,Boris Diaw,94.99987306796304
2564,2016-17,Boris Diaw,64.07873530784248
2566,2013-14,Travis Outlaw,57.421302996065116
2570,2013-14,Kendrick Perkins,64.25006732198699
2570,2014-15,Kendrick Perkins,86.80016763015128
2570,2015-16,Kendrick Perkins,65.89876875735
2570,2017-18,Kendrick Perkins,49.496632127250564
2571,2013-14,Leandro Barbosa,43.88975310851897
2571,2014-15,Leandro Barbosa,70.56667092625123
2571,2015-16,Leandro Barbosa,38.303607178194774
2571,2016-17,Leandro Barbosa,35.0
2581,2013-14,Steve Blake,43.88975310851897
2581,2014-15,Steve Blake,34.72221714612877
2581,2015-16,Steve Blake,44.754973817983334
2584,2013-14,Willie Green,62.38493065195901
2584,2014-15,Willie Green,34.72221714612877
2585,2013-14,Zaza Pachulia,74.49590567244326
2585,2014-15,Zaza Pachulia,65.62685294666989
2585,2015-16,Zaza Pachulia,64.88268631306369
2585,2016-17,Zaza Pachulia,62.16433594469569
2585,2017-18,Zaza Pachulia,52.073232600661626
2585,2018-19,Zaza Pachulia,53.15024903606282
2586,2013-14,Keith Bogans,26.0
2588,2013-14,Matt Bonner,34.791926216622876
2588,2014-15,Matt Bonner,72.04708969952408
2588,2015-16,Matt Bonner,34.568831081789135
2590,2013-14,Mo Williams,46.55822340938774
2590,2014-15,Mo Williams,70.55408707669258
2590,2015-16,Mo Williams,44.754973817983334
2592,2013-14,James Jones,26.0
2592,2014-15,James Jones,43.88975310851897
2592,2015-16,James Jones,29.42177167087186
2592,2016-17,James Jones,33.058246146114996
2594,2013-14,Kyle Korver,70.66889840634245
2594,2014-15,Kyle Korver,43.69358722475859
2594,2015-16,Kyle Korver,35.0
2594,2016-17,Kyle Korver,44.858841102778655
2594,2017-18,Kyle Korver,71.0530752632214
2594,2018-19,Kyle Korver,35.0
2594,2019-20,Kyle Korver,44.754973817983334
2617,2013-14,Udonis Haslem,34.86163528711698
2617,2014-15,Udonis Haslem,65.25983627850253
2617,2015-16,Udonis Haslem,30.02061271124248
2617,2016-17,Udonis Haslem,40.1998567596497
2617,2017-18,Udonis Haslem,39.38751570888223
2617,2018-19,Udonis Haslem,25.743475380826858
2617,2019-20,Udonis Haslem,43.4093349214054
2617,2020-21,Udonis Haslem,27.990163550040467
2617,2021-22,Udonis Haslem,32.895342399254616
2617,2022-23,Udonis Haslem,32.97579074226447
2694,2013-14,Josh Powell,26.0
2730,2013-14,Dwight Howard,96.75040875292686
2730,2014-15,Dwight Howard,95.67983826353765
2730,2015-16,Dwight Howard,90.99435812850034
2730,2016-17,Dwight Howard,70.8858937368384
2730,2017-18,Dwight Howard,87.42817751416055
2730,2018-19,Dwight Howard,35.759354664138996
2730,2019-20,Dwight Howard,72.68709618629275
2730,2020-21,Dwight Howard,67.22356813152301
2730,2021-22,Dwight Howard,58.049411346326025
2731,2017-18,Emeka Okafor,42.015639270499356
2732,2013-14,Ben Gordon,34.77192325919779
2732,2014-15,Ben Gordon,43.69358722475859
2733,2013-14,Shaun Livingston,67.50648115489543
2733,2014-15,Shaun Livingston,69.44022015041529
2733,2015-16,Shaun Livingston,69.5530091758652
2733,2016-17,Shaun Livingston,74.5568755564496
2733,2017-18,Shaun Livingston,70.86334379216166
2733,2018-19,Shaun Livingston,71.8118529536691
2734,2013-14,Devin Harris,43.88975310851897
2734,2014-15,Devin Harris,43.69358722475859
2734,2015-16,Devin Harris,56.050132556253295
2734,2016-17,Devin Harris,35.06538862792012
2734,2017-18,Devin Harris,44.754973817983334
2734,2018-19,Devin Harris,35.0
2735,2013-14,Josh Childress,26.0
2736,2013-14,Luol Deng,70.84056031181069
2736,2014-15,Luol Deng,73.63992446757666
2736,2015-16,Luol Deng,51.158804475805475
2736,2016-17,Luol Deng,41.869151129043
2736,2017-18,Luol Deng,27.990585262793292
2736,2018-19,Luol Deng,78.3354998485541
2738,2013-14,Andre Iguodala,50.76590570691475
2738,2014-15,Andre Iguodala,48.39283312129232
2738,2015-16,Andre Iguodala,48.84727509190131
2738,2016-17,Andre Iguodala,55.93351765194827
2738,2017-18,Andre Iguodala,42.54928802810568
2738,2018-19,Andre Iguodala,39.201699218739236
2738,2019-20,Andre Iguodala,39.26729304934005
2738,2020-21,Andre Iguodala,61.19797692862732
2738,2021-22,Andre Iguodala,67.26519542227211
2738,2022-23,Andre Iguodala,27.994628028317923
2740,2013-14,Andris Biedrins,41.315069518202
2742,2014-15,Sebastian Telfair,44.13647896773896
2743,2013-14,Kris Humphries,61.846901077606994
2743,2014-15,Kris Humphries,50.84629023605163
2743,2015-16,Kris Humphries,63.523400654890544
2743,2016-17,Kris Humphries,48.096745506146945
2744,2013-14,Al Jefferson,97.74837716593036
2744,2014-15,Al Jefferson,97.01305766631009
2744,2015-16,Al Jefferson,93.41809649498252
2744,2016-17,Al Jefferson,86.81285268990248
2744,2017-18,Al Jefferson,86.95590449624437
2746,2013-14,Josh Smith,96.79467348092298
2746,2014-15,Josh Smith,95.2382765192417
