NBA_ID,Season,Player,RotationRole,MIN,Post Fade,Post Fade Aggregate Z,Post Fade Rating,MissingMetricCount,MissingMetrics,Fadeway_Shot_FGM Raw,Fadeway_Shot_FGM Z,Fadeway_Shot_FGM MatchedBy,Fadeway_Shot_PG Raw,Fadeway_Shot_PG Z,Fadeway_Shot_PG MatchedBy,Post Up Shot Making Raw,Post Up Shot Making Z,Post Up Shot Making MatchedBy,Fadeway_Shot_FG% Raw,Fadeway_Shot_FG% Z,Fadeway_Shot_FG% MatchedBy,Post Up Frequency% Raw,Post Up Frequency% Z,Post Up Frequency% MatchedBy,Post Up Impact Per 75 Possessions Raw,Post Up Impact Per 75 Possessions Z,Post Up Impact Per 75 Possessions MatchedBy,Stable Post Up PPP Raw,Stable Post Up PPP Z,Stable Post Up PPP MatchedBy
708,2013-14,Kevin Garnett,Key Rotation,1107.0,-0.0787248108767009,0.19537734362877157,63.99265648586761,3,Post Up Shot Making | Post Up Impact Per 75 Possessions | Stable Post Up PPP,3.0,-0.19011288840240395,season+player,0.05555555555555555,-0.15890509387821392,season+player,,,,0.3,-0.35374308874600013,season+player,4.929577464788733,0.8733547648956892,season+player,,,,,,
708,2014-15,Kevin Garnett,Rotation,954.1,0.2901555516642395,0.7273848068502458,74.80228266734896,3,Post Up Shot Making | Post Up Impact Per 75 Possessions | Stable Post Up PPP,8.0,0.2870312913916446,season+player,0.1702127659574468,0.5350273554612736,season+player,,,,0.4,0.0039144003441828855,season+player,4.906542056074767,0.8668447518230985,season+player,,,,,,
708,2015-16,Kevin Garnett,Rotation,554.8,-0.22615218066714865,-0.01724568805382568,57.29775446571981,0,,1.0,-0.3809705603200234,season+player,0.02631578947368421,-0.3358710467754245,season+player,-0.05,-0.10425944909789085,season+player,0.25,-0.5325718332910916,season+player,2.9900332225913617,0.3252221691880313,season+player,0.1,0.6754683961983499,season+player,0.89,0.3390067155388285,season+player
951,2013-14,Ray Allen,Starter,1934.5,-0.20155825759744392,0.018224214797198428,58.599197724526185,3,Post Up Shot Making | Post Up Impact Per 75 Possessions | Stable Post Up PPP,2.0,-0.28554172436121367,season+player,0.0273972602739726,-0.3293257307093633,season+player,,,,0.4,0.0039144003441828855,season+player,0.6153846153846154,-0.3458748218695995,season+player,,,,,,
959,2013-14,Steve Nash,Rotation,312.0,0.0026552772818234927,0.31274551676688866,67.33478453830337,3,Post Up Shot Making | Post Up Impact Per 75 Possessions | Stable Post Up PPP,2.0,-0.28554172436121367,season+player,0.13333333333333333,0.31182434082836624,season+player,,,,0.5,0.36157188943436575,season+player,0.18975332068311196,-0.46616204260081134,season+player,,,,,,
965,2013-14,Derek Fisher,Rotation,1425.6000000000001,-0.15360183829435875,0.08738802932741238,60.704902455264715,3,Post Up Shot Making | Post Up Impact Per 75 Possessions | Stable Post Up PPP,1.0,-0.3809705603200234,season+player,0.012345679012345678,-0.42042144649298063,season+player,,,,1.0,2.14985933488528,season+player,0.37593984962406013,-0.41354405989443094,season+player,,,,,,
977,2013-14,Kobe Bryant,Too Few Games,177.0,0.18084595084514793,0.5697360693654395,71.96308802185958,3,Post Up Shot Making | Post Up Impact Per 75 Possessions | Stable Post Up PPP,6.0,0.017022730646902462,season+player,1.0,0.531,season+player,,,,0.5454545454545454,0.09277339514304743,season+player,6.557377049180327,0.23600923787849604,season+player,,,,,,
977,2014-15,Kobe Bryant,Starter,1207.5,1.6811419996565433,2.733496399439303,90.09098271174678,3,Post Up Shot Making | Post Up Impact Per 75 Possessions | Stable Post Up PPP,29.0,2.291036846526649,season+player,0.8285714285714286,3.0,season+player,,,,0.42028985507246375,0.07648258653639375,season+player,8.208955223880597,1.8001363274345787,season+player,,,,,,
977,2015-16,Kobe Bryant,Starter,1861.2,1.9151922329544249,3.0710488514741563,91.94350598987083,0,,46.0,3.0,season+player,0.696969696969697,3.0,season+player,0.21,0.3500249303613334,season+player,0.4,0.0039144003441828855,season+player,5.6644880174291945,1.0810470773821466,season+player,-0.05,-0.28448377337133535,season+player,0.86,-0.3930875505140014,season+player
979,2013-14,Jermaine ONeal,Rotation,884.4000000000001,0.42415554750918993,0.9206425811868999,78.10847102573983,4,Fadeway_Shot_PG | Post Up Shot Making | Post Up Impact Per 75 Possessions | Stable Post Up PPP,13.0,0.7641754711856932,season+player,,,season+player,,,,0.65,0.8980581230696402,season+player,17.167381974248926,3.0,season+player,,,,,,
1495,2013-14,Tim Duncan,Star,2160.7999999999997,0.15183105234955485,0.5278901374271249,71.20945847943315,3,Post Up Shot Making | Post Up Impact Per 75 Possessions | Stable Post Up PPP,5.0,0.0007447835152154843,season+player,0.06756756756756757,-0.08620556728260304,season+player,,,,0.5555555555555556,0.5602704944844674,season+player,12.416107382550337,2.989115255110955,season+player,,,,,,
1495,2014-15,Tim Duncan,Star,2225.2999999999997,-0.01391919320111229,0.28884144679925183,66.8381878599988,3,Post Up Shot Making | Post Up Impact Per 75 Possessions | Stable Post Up PPP,3.0,-0.19011288840240395,season+player,0.03896103896103896,-0.25933901779520224,season+player,,,,0.3333333333333333,-0.2345239257159392,season+player,11.226252158894647,2.6528514988793304,season+player,,,,,,
1495,2015-16,Tim Duncan,Starter,1537.2,-0.015631324475973898,0.28637217299468554,66.76301037641029,0,,4.0,-0.09468405244359424,season+player,0.06557377049180328,-0.09827249690195647,season+player,0.05,0.07046531223258003,season+player,0.23529411764705882,-0.5851685228631773,season+player,8.616780045351472,1.9153912791512693,season+player,-0.02,-0.0924933394573983,season+player,0.86,-0.3930875505140014,season+player
1497,2013-14,Chauncey Billups,Rotation,309.7,-0.07644108110370232,0.1986709895004232,64.09293212480428,3,Post Up Shot Making | Post Up Impact Per 75 Possessions | Stable Post Up PPP,1.0,-0.3809705603200234,season+player,0.05263157894736842,-0.17660168916793498,season+player,,,,1.0,2.14985933488528,season+player,0.6600660066006601,-0.3332474600315767,season+player,,,,,,
1536,2013-14,Stephen Jackson,Garbage Time,107.10000000000001,-0.8784027651547108,-0.9579359878781748,41.68017532423884,4,Post Up Shot Making | Fadeway_Shot_FG% | Post Up Impact Per 75 Possessions | Stable Post Up PPP,0.0,-1.476399396278833,season+player,0.0,-1.495140404382914,season+player,,,,,,season+player,6.153846153846154,0.13059175043813231,season+player,,,,,,
1712,2013-14,Antawn Jamison,Garbage Time,248.60000000000002,-1.0175133152514029,-1.1585643172218685,33.59729048097013,4,Post Up Shot Making | Fadeway_Shot_FG% | Post Up Impact Per 75 Possessions | Stable Post Up PPP,0.0,-1.476399396278833,season+player,0.0,-1.495140404382914,season+player,,,,,,season+player,0.9174311926605505,-1.260513750528787,season+player,,,,,,
1713,2013-14,Vince Carter,Starter,1976.3999999999999,0.5995139297289431,1.1735483402160174,79.85559723439661,3,Post Up Shot Making | Post Up Impact Per 75 Possessions | Stable Post Up PPP,17.0,1.145890815020932,season+player,0.20987654320987653,0.775081879745953,season+player,,,,0.3617021276595745,-0.13306080824354674,season+player,3.953488372093023,0.5975032342210994,season+player,,,,,,
1713,2014-15,Vince Carter,Rotation,1089.0,0.27596562449177126,0.7069197782802187,74.4337151769724,3,Post Up Shot Making | Post Up Impact Per 75 Possessions | Stable Post Up PPP,10.0,0.47788896330926406,season+player,0.15151515151515152,0.42186498790263177,season+player,,,,0.45454545454545453,0.19900030348428252,season+player,1.5625,-0.07821152092023216,season+player,,,,,,
