NBA_ID,Season,Player,SHOT_TENDENCY,TOUCHES_TENDENCY,SHOT_CLOSE_TENDENCY,SHOT_UNDER_BASKET_TENDENCY,SHOT_MID-RANGE_TENDENCY,SHOT_THREE_TENDENCY,DRIVING_LAYUP_TENDENCY,STANDING_DUNK_TENDENCY,DRIVING_DUNK_TENDENCY,PUTBACK_TENDENCY,CRASH_TENDENCY,DRIVE_TENDENCY,POST_UP_TENDENCY,SHOOT_FROM_POST_TENDENCY,ROLL_VS._POP_TENDENCY,PASS_INTERCEPTION_TENDENCY,TAKE_CHARGE_TENDENCY,ON-BALL_STEAL_TENDENCY,CONTEST_SHOT_TENDENCY,BLOCK_SHOT_TENDENCY,FOUL_TENDENCY
708,2013-14,Kevin Garnett,0.5884910856645891,0.6324104942745326,0.7331598727956057,0.33304423243712056,0.9700780572419775,0.21727061893027974,0.2313469624474409,0.7354730757529663,0.3099739809193408,0.5578034682080925,0.6888039964736997,0.24058286211396257,0.9028120017393825,0.9161472677199594,0.8922376409366869,0.30521827117664063,0.3333,0.8751268299753587,0.3333,0.8622988838962169,0.8333091752427888
708,2014-15,Kevin Garnett,0.5650094216553123,0.5528337440208726,0.6908065915004337,0.24096559699335068,0.9723908644116797,0.24354978982461223,0.2313469624474409,0.5255552175235777,0.3099739809193408,0.32686340127776087,0.6382603585071995,0.24058286211396257,0.9028120017393825,0.9161472677199594,0.8071697022260769,0.30521827117664063,0.3333,0.9329612987389477,0.3333,0.6571966951732136,0.8439628931729236
708,2015-16,Kevin Garnett,0.22148137411219015,0.20747934483258443,0.3602630818155536,0.19189071986123157,0.8967909800520382,0.21727061893027974,0.2313469624474409,0.4135381807118953,0.3099739809193408,0.4187024642531183,0.29296209227152514,0.19308394954327968,0.7990288447601102,0.829395564574576,0.7356172304134143,0.9187626481642093,0.33430036999663637,0.548195390636324,0.1746636394214598,0.5577619944919554,0.8823742571387158
951,2013-14,Ray Allen,0.43866502391650963,0.4372952601826351,0.26970222607690086,0.26879155825383055,0.35732870771899394,0.7390201478475141,0.5671306365086269,0.6393367812595071,0.6559699335067939,0.23167021600243382,0.23469732588892153,0.6802957807742497,0.5976953181620525,0.3433396144368749,0.22750795027464585,0.30521827117664063,0.3333,0.4580446441513263,0.3333,0.26105232642411946,0.29925351500217423
959,2013-14,Steve Nash,0.40731265400782724,0.5918973764313669,0.7281006071118821,0.20888985255854292,0.8268285631685458,0.3513045368894042,0.778236914600551,0.2444478247642227,0.3099739809193408,0.23167021600243382,0.23469732588892153,0.9208351457155285,0.49639802869981153,0.3433396144368749,0.4506215669268575,0.30521827117664063,0.3333,0.36616901000144947,0.3333,0.27434410784171614,0.2352804754312219
965,2013-14,Derek Fisher,0.3166545876213944,0.2927090882736628,0.23398381034981208,0.1828852269442035,0.3749349522983521,0.7103203362806204,0.358974916630419,0.2444478247642227,0.3099739809193408,0.23167021600243382,0.19494563620334998,0.420023198492098,0.49639802869981153,0.3433396144368749,0.2932784041630529,0.30521827117664063,0.3333,0.9597043049717351,0.3333,0.2251340774025221,0.7962748224380345
977,2013-14,Kobe Bryant,0.8077982316277721,0.9648499782577185,0.9496964440589766,0.3392165365712634,0.9102341717259324,0.3963038121466879,0.7993330433521821,0.2444478247642227,0.5325238508239376,0.23167021600243382,0.23469732588892153,0.8856024358416703,0.9714451369763734,0.9802869981156689,0.9491182422665511,0.30521827117664063,0.3333,0.9739092622119148,0.3333,0.2959052036527033,0.2141252355413828
977,2014-15,Kobe Bryant,0.9921727786635745,0.9926800985650095,0.8463428736629084,0.5034692107545533,0.9887250650477016,0.6681403101898826,0.8774829636073656,0.5584879829631884,0.6559699335067939,0.3489580164283541,0.46924772259770786,0.889734667246629,0.9784751413248297,0.9765183359907232,0.2720294882914137,0.30521827117664063,0.3333,0.9252790259457893,0.3333,0.3013335265980577,0.2352804754312219
977,2015-16,Kobe Bryant,0.9913755616756051,0.9837657631540803,0.8665799363978028,0.2856895056374674,0.9760046256143394,0.9517321350920424,0.778236914600551,0.3791983571645878,0.6559699335067939,0.36381198661393366,0.41669115486335584,0.7543859649122807,0.9231047977967821,0.9520220321785766,0.454163052905464,0.5318733738074588,0.33430036999663637,0.5841426293665749,0.1746636394214598,0.35470358022901866,0.282156834323815
979,2013-14,Jermaine ONeal,0.40066676329902884,0.568270763878823,0.9625614339404452,0.7328707718993929,0.31968777103209023,0.17927235831279895,0.2313469624474409,0.6393367812595071,0.6559699335067939,0.5556738667477943,0.9006024096385542,0.21612295200811946,0.9598492535150022,0.9720974054210755,0.8922376409366869,0.30521827117664063,0.3333,0.26115379040440645,0.3333,0.9010726192201768,0.8333091752427888
1495,2013-14,Tim Duncan,0.8401217567763444,0.8994781852442383,0.9644405897658282,0.8245157559988436,0.9255565192252097,0.21727061893027974,0.42570682905611135,0.7829327654396105,0.5325238508239376,0.6460298144204442,0.914340287981193,0.3602435841670292,0.9878243223655603,0.9886215393535295,0.8922376409366869,0.30521827117664063,0.3333,0.3049354978982461,0.3333,0.9486882156834324,0.29925351500217423
1495,2014-15,Tim Duncan,0.7214813741121902,0.7935932743875924,0.9426134721017635,0.8438855160450998,0.7882335935241399,0.2301565444267285,0.3216253443526171,0.7963948889564954,0.6559699335067939,0.5285975053240036,0.9252865119012637,0.3077207481513701,0.9847804029569502,0.9841281345122481,0.6754119687771032,0.30521827117664063,0.3333,0.46996666183504854,0.3333,0.9163646905348601,0.4242064067256124
1495,2015-16,Tim Duncan,0.43866502391650963,0.49370923322220606,0.9621277825961261,0.5870193697600462,0.6348655680832611,0.21727061893027974,0.2779324343917645,0.39895041070885306,0.3099739809193408,0.39554304837237597,0.8855421686746988,0.24058286211396257,0.9548485287722859,0.9610813161327729,0.6926857473258167,0.3602630818155536,0.33430036999663637,0.5720394260037687,0.20909855364951227,0.8341063922307581,0.5125380489926076
1497,2013-14,Chauncey Billups,0.33278736048702706,0.3797144513697637,0.37149465163342005,0.1687192830297774,0.39173171436831455,0.6901724887664878,0.42570682905611135,0.2444478247642227,0.3099739809193408,0.23167021600243382,0.19494563620334998,0.629331593446426,0.5976953181620525,0.6172633715031164,0.43053628216247464,0.30521827117664063,0.3333,0.3570372517756196,0.3333,0.2314755761704595,0.5125380489926076
1536,2013-14,Stephen Jackson,0.2855558776634295,0.3133570082620669,0.24516478751084125,0.28437409655969936,0.25953310205261637,0.5442093056964777,0.2779324343917645,0.2444478247642227,0.3099739809193408,0.23167021600243382,0.3563179547458125,0.24058286211396257,0.7840266705319612,0.7632990288447601,0.9832321480196589,0.30521827117664063,0.3333,0.8264965937092332,0.3333,0.4150746484997826,0.7180750833454124
1712,2013-14,Antawn Jamison,0.6899550659515872,0.6727061893027975,0.32727666955767565,0.5751662330153223,0.4345331020526163,0.7201768372227859,0.358974916630419,0.2444478247642227,0.3099739809193408,0.23167021600243382,0.3563179547458125,0.3077207481513701,0.5976953181620525,0.3433396144368749,0.9585140213934663,0.30521827117664063,0.3333,0.5913175822582983,0.3333,0.44987679373822287,0.822655457312654
1713,2013-14,Vince Carter,0.7988114219452095,0.8035947238730251,0.6708586296617519,0.42896790980052035,0.6636311072564325,0.8162777214088999,0.778236914600551,0.6994219653179191,0.6559699335067939,0.5943109218132036,0.5229209521010872,0.7543859649122807,0.8812146687925786,0.8851282794607914,0.20560132986412258,0.30521827117664063,0.3333,0.49954341208870845,0.3333,0.6118278011305986,0.7522829395564574
1713,2014-15,Vince Carter,0.7214813741121902,0.6532106102333671,0.3257588898525585,0.25452442902572997,0.6085573865278983,0.8995506595158719,0.502247353921995,0.4662990568907819,0.5325238508239376,0.38494828110739276,0.3563179547458125,0.4885312454690445,0.69285403681693,0.7111175532685896,0.3579358196010407,0.30521827117664063,0.3333,0.8619365125380489,0.3333,0.5669662269894188,0.6627047398173649
1713,2015-16,Vince Carter,0.6036382084360052,0.5379040440643571,0.33456201214223763,0.36744723908644117,0.4521393466319745,0.7390201478475141,0.502247353921995,0.8304685123212656,0.7346053772766695,0.7886370550654092,0.41669115486335584,0.4661012034217775,0.7990288447601102,0.8012755471807508,0.37038161318300084,0.723619543220584,0.33430036999663637,0.606537179301348,0.1746636394214598,0.6136396579214379,0.7180750833454124
1713,2016-17,Vince Carter,0.39437599652123495,0.35034062907667773,0.3173605088175773,0.2518936108701937,0.2811361665221162,0.7480794318017104,0.534942728722633,0.6393367812595071,0.7346053772766695,0.6651962275631275,0.3563179547458125,0.5403073800202987,0.8154805044209306,0.829395564574576,0.2460248626770743,0.863688927435675,0.7257820383451059,0.4535802290186983,0.7489068281197444,0.6829250616031309,0.6404551384258588
1713,2017-18,Vince Carter,0.38894767357588056,0.33537469198434555,0.2870049147152356,0.2684880023128072,0.45072275224053193,0.7103203362806204,0.42570682905611135,0.7723608153331305,0.6559699335067939,0.8523729844843322,0.23469732588892153,0.420023198492098,0.8512103203362806,0.8012755471807508,0.3662330153223475,0.8531367447239087,0.6721325260679448,0.548195390636324,0.5756811301715439,0.7489491230613132,0.6627047398173649
1713,2018-19,Vince Carter,0.5208725902304682,0.448253370053631,0.25462561433940445,0.2862966175195143,0.3953743856605955,0.9036816929989854,0.502247353921995,0.7884088834803773,0.8637612026597282,0.38494828110739276,0.3563179547458125,0.45524140930839496,0.7457602551094361,0.7632990288447601,0.214050303555941,0.7304134142815842,0.8509081735620585,0.4321205971879982,0.5647494113689876,0.5826931439339035,0.6842295984925352
1713,2019-20,Vince Carter,0.5208725902304682,0.4430279750688505,0.3627927146574154,0.18966464296039318,0.702081526452732,0.8952022032178577,0.4784833985790924,0.4135381807118953,0.3099739809193408,0.5943109218132036,0.29296209227152514,0.40556038857474264,0.7222785911001595,0.7632990288447601,0.47004914715235613,0.6671003180109858,0.6078876555667676,0.4025438469343383,0.45173225697948194,0.7397448905638498,0.6627047398173649
