NBA_ID,Season,Player,RotationRole,MIN,Post Control,Post Control Aggregate Z,Post Control Rating,MissingMetricCount,MissingMetrics,POST_TOUCHES Raw,POST_TOUCHES Z,POST_TOUCHES MatchedBy,Post Up Frequency% Raw,Post Up Frequency% Z,Post Up Frequency% MatchedBy,Post Up Impact Per 75 Possessions Raw,Post Up Impact Per 75 Possessions Z,Post Up Impact Per 75 Possessions MatchedBy,Post Up Shot Making Raw,Post Up Shot Making Z,Post Up Shot Making MatchedBy,Stable Post Up PPP Raw,Stable Post Up PPP Z,Stable Post Up PPP MatchedBy,PTS_PER_POST_TOUCH Raw,PTS_PER_POST_TOUCH Z,PTS_PER_POST_TOUCH MatchedBy,Post Up Shot Quality Raw,Post Up Shot Quality Z,Post Up Shot Quality MatchedBy,Post Up Draw Foul Rate Raw,Post Up Draw Foul Rate Z,Post Up Draw Foul Rate MatchedBy
1536,2013-14,Stephen Jackson,Garbage Time,107.10000000000001,0.0785676174585997,0.43027387072454,71.51083559785431,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.8,0.008012722405444542,season+player,6.153846153846154,0.13059175043813231,season+player,,,,,,,,,,1.0,0.17544828607844007,season+player,,,,12.5,0.14846380750136243,season+player
1712,2013-14,Antawn Jamison,Garbage Time,248.60000000000002,-1.3149622373940038,-1.1598333838907502,28.518195292499207,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.2,-1.3155402132764056,season+player,0.9174311926605505,-1.260513750528787,season+player,,,,,,,,,,0.0,-1.780050028756055,season+player,,,,0.0,-1.33470904487729,season+player
1713,2013-14,Vince Carter,Starter,1976.3999999999999,0.6107596894067137,1.0375392777099879,80.11277091063016,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,1.7,0.6603486580435659,season+player,3.953488372093023,0.5975032342210994,season+player,,,,,,,,,,0.496,0.419388397971059,season+player,,,,5.882352941176471,0.47513835978122687,season+player
1713,2014-15,Vince Carter,Rotation,1089.0,-0.12250202628027734,0.20084046599427827,66.79804748201246,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,0.4,-0.18542169710040943,season+player,1.5625,-0.07821152092023216,season+player,,,,,,,,,,0.429,0.25736748145751737,season+player,,,,0.0,-0.3347090448772899,season+player
1713,2015-16,Vince Carter,Rotation,1008.0,-0.32516330588331355,-0.03040909769769658,48.16578472651078,0,,0.9,0.1398745933395811,season+player,3.4090909090909096,0.44365162929254,season+player,-0.17,-1.0524455090270834,season+player,-0.07,-0.13920440136398504,season+player,0.82,-1.3692132385844413,season+player,0.529,0.49918974491056467,season+player,-0.62,-0.7714722386333568,season+player,11.111111111111112,1.1950027194776864,season+player
1713,2016-17,Vince Carter,Starter,1803.1,0.5183284997303175,0.9320693412422792,78.61878564405372,0,,1.0,0.2049338514275792,season+player,2.898550724637681,0.29936839489703543,season+player,0.12,0.8034620188076412,season+player,-0.08,-0.1566768774970321,season+player,0.94,1.5591638256268756,season+player,0.542,0.5306266391594608,season+player,-0.52,-0.658159741907461,season+player,10.0,1.0420315430421885,season+player
1713,2017-18,Vince Carter,Key Rotation,1026.6,-0.07272980123009337,0.2576337782114848,68.03217104357603,0,,1.3,0.40011162569157355,season+player,4.593639575971731,0.7784157049930405,season+player,-0.09,-0.540471018589918,season+player,-0.17,-0.3139291626944559,season+player,0.85,-0.6371189725316113,season+player,0.333,0.025218108542592113,season+player,-0.1,-0.18224725565869856,season+player,0.0,-0.3347090448772899,season+player
1713,2018-19,Vince Carter,Rotation,1330.0,-0.8634496615911228,-0.6446284746926357,37.487327908512256,0,,0.6,-0.05530318092441324,season+player,1.8987341772151896,0.01681127274071066,season+player,-0.28,-1.7564104333781863,season+player,-0.3,-0.541071352424068,season+player,0.78,-2.3453389266548785,season+player,0.489,0.4024608395293457,season+player,-0.55,-0.6921534909252297,season+player,0.0,-0.3347090448772899,season+player
1713,2019-20,Vince Carter,Rotation,876.0,0.49616129580572044,0.9067751348409627,78.26049234305339,0,,0.5,-0.12036243901241132,season+player,2.3364485981308416,0.1405132932954733,season+player,0.13,0.867458830112287,season+player,0.39,0.664529500756181,season+player,0.93,1.3151324036092684,season+player,0.645,0.7797035705160994,season+player,-0.86,-1.0434222307755068,season+player,0.0,-0.3347090448772899,season+player
1717,2013-14,Dirk Nowitzki,Star,2632.0,4.603389412422964,5.5933867649045075,92.330282137139,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,10.0,6.060267079347408,season+player,16.025641025641026,4.009201831140749,season+player,,,,,,,,,,0.659,0.8135586873995261,season+player,,,,6.999999999999999,0.6290093666663449,season+player
1717,2014-15,Dirk Nowitzki,Star,2279.2000000000003,2.913296306626078,3.6648817535876375,90.12328340020423,4,Post Up Impact Per 75 Possessions | Post Up Shot Making | Stable Post Up PPP | Post Up Shot Quality,6.2,3.5880152720034806,season+player,11.588785046728972,2.755306543994924,season+player,,,,,,,,,,0.58,0.6225190992716185,season+player,,,,6.451612903225806,0.553510689264309,season+player
1717,2015-16,Dirk Nowitzki,Starter,2362.5,4.259779391152713,5.201305615241494,91.88158089083457,0,,7.7,4.563904143323453,season+player,13.750000000000002,3.366085270484064,season+player,0.97,6.243190979702524,season+player,3.8,6.622643862125237,season+player,1.0,3.023352357732535,season+player,0.634,0.7531031215362641,season+player,-1.83,-2.142553449016696,season+player,6.493506493506493,0.559278349875618,season+player
1717,2016-17,Dirk Nowitzki,Key Rotation,1425.6,1.337827402499246,1.867170333807648,88.06596604321255,0,,3.4,1.7663560455395335,season+player,7.296137339055793,1.5421658074888533,season+player,0.22,1.443430131854098,season+player,0.79,1.3634285460780646,season+player,0.93,1.3151324036092684,season+player,0.652,0.7966311289578127,season+player,-1.41,-1.6666409627679337,season+player,8.823529411764707,0.8800620621104852,season+player
1717,2017-18,Dirk Nowitzki,Key Rotation,1901.8999999999999,1.1668827321247532,1.6721114625866567,86.64395186431594,0,,2.6,1.2458819808355488,season+player,6.11764705882353,1.2091138861838169,season+player,0.26,1.6994173770726806,season+player,0.29,0.48980473942571007,season+player,0.95,1.8031952476444857,season+player,0.627,0.7361755630945509,season+player,-1.06,-1.2700472242272984,season+player,7.6923076923076925,0.7243221765992319,season+player
1717,2018-19,Dirk Nowitzki,Rotation,795.6,-0.10954910783918208,0.21562057961000292,67.11922062271591,0,,2.0,0.8555264323075602,season+player,7.547169811320755,1.6131098352845863,season+player,-0.35,-2.204388112510706,season+player,0.1,0.15782769289781545,season+player,0.85,-0.6371189725316113,season+player,0.515,0.46533462802713804,season+player,-1.93,-2.255865945742592,season+player,0.0,-0.3347090448772899,season+player
