NBA_ID,Season,Player,RotationRole,MIN,Post Hook,Post Hook Aggregate Z,Post Hook Rating,MissingMetricCount,MissingMetrics,Hook_Shot_FGM Raw,Hook_Shot_FGM Z,Hook_Shot_FGM MatchedBy,Hook_Shot_PG Raw,Hook_Shot_PG Z,Hook_Shot_PG MatchedBy,Hook_Shot_FG% Raw,Hook_Shot_FG% Z,Hook_Shot_FG% MatchedBy,Post Up Shot Making Raw,Post Up Shot Making Z,Post Up Shot Making MatchedBy,Post Up Impact Per 75 Possessions Raw,Post Up Impact Per 75 Possessions Z,Post Up Impact Per 75 Possessions MatchedBy,POST_TOUCHES Raw,POST_TOUCHES Z,POST_TOUCHES MatchedBy,Post Up Shot Making Efficiency Raw,Post Up Shot Making Efficiency Z,Post Up Shot Making Efficiency MatchedBy,Stable Post Up PPP Raw,Stable Post Up PPP Z,Stable Post Up PPP MatchedBy
1536,2013-14,Stephen Jackson,Garbage Time,107.10000000000001,-1.292953914486985,-1.2388347565039532,28.932195520385537,5,Hook_Shot_FG% | Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,0.0,-1.4049600609707085,season+player,0.0,-1.470051465090468,season+player,,,season+player,,,,,,,0.8,0.008012722405444542,season+player,,,,,,
1712,2013-14,Antawn Jamison,Garbage Time,248.60000000000002,-0.7689992925906779,-0.5655011630629901,34.54621430063072,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,1.0,-1.340392284455987,season+player,0.045454545454545456,-1.2597453397196319,season+player,1.0,0.4753200532988278,season+player,,,,,,,0.2,-1.3155402132764056,season+player,,,,,,
1713,2013-14,Vince Carter,Starter,1976.3999999999999,-0.19275314237157365,0.17503222440722957,55.27477095651291,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,3.0,-0.21125673142654444,season+player,0.037037037037037035,-0.29869091849200896,season+player,0.3333333333333333,-0.35267904400121397,season+player,,,,,,,1.7,0.6603486580435659,season+player,,,,,,
1713,2014-15,Vince Carter,Rotation,1089.0,0.3329515206567841,0.8506147940664927,71.09610222267082,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,1.0,-0.34039228445598707,season+player,0.015151515151515152,-0.3999494233001892,season+player,1.0,1.9119873423122598,season+player,,,,,,,0.4,-0.18542169710040943,season+player,,,,,,
1713,2015-16,Vince Carter,Rotation,1008.0,0.17549048666244427,0.6482617668852169,67.26374292757446,0,,1.0,-0.34039228445598707,season+player,0.016666666666666666,-0.39293921912116136,season+player,1.0,1.9119873423122598,season+player,-0.07,-0.13920440136398504,season+player,-0.17,-1.0524455090270834,season+player,0.9,0.1398745933395811,season+player,-0.45,-0.05365931557042286,season+player,0.82,-1.3692132385844413,season+player
1713,2016-17,Vince Carter,Starter,1803.1,0.156597416167644,0.6239822997028186,66.66106456791007,0,,3.0,-0.21125673142654444,season+player,0.0410958904109589,-0.2799116805086162,season+player,0.75,1.0627374474447069,season+player,-0.08,-0.1566768774970321,season+player,0.12,0.8034620188076412,season+player,1.0,0.2049338514275792,season+player,-0.44,-0.03769247126896282,season+player,0.94,1.5591638256268756,season+player
1713,2017-18,Vince Carter,Key Rotation,1026.6,-0.6280062458610766,-0.38431113087844687,37.9742225596171,0,,0.0,-0.40496006097070836,season+player,0.0,-0.47005146509046786,season+player,0.0,-1.4850122371579506,season+player,-0.17,-0.3139291626944559,season+player,-0.09,-0.540471018589918,season+player,1.3,0.40011162569157355,season+player,-0.59,-0.2771951357908632,season+player,0.85,-0.6371189725316113,season+player
1713,2018-19,Vince Carter,Rotation,1330.0,-0.48978324022798303,-0.20668087591037382,42.141905815297186,0,,1.0,-0.34039228445598707,season+player,0.013157894736842105,-0.4091733761673311,season+player,0.3333333333333333,-0.35267904400121397,season+player,-0.3,-0.541071352424068,season+player,-0.28,-1.7564104333781863,season+player,0.6,-0.05530318092441324,season+player,-0.82,-0.6444325547244438,season+player,0.78,-2.3453389266548785,season+player
1713,2019-20,Vince Carter,Rotation,876.0,0.12787482082523471,0.5870709193530093,65.74482987482345,0,,1.0,-0.34039228445598707,season+player,0.016666666666666666,-0.39293921912116136,season+player,0.5,0.21348755257715446,season+player,0.39,0.664529500756181,season+player,0.13,0.867458830112287,season+player,0.5,-0.12036243901241132,season+player,0.68,1.7505940904945607,season+player,0.93,1.3151324036092684,season+player
1717,2013-14,Dirk Nowitzki,Star,2632.0,0.41827514011834543,0.9602640974537089,72.8319425855307,4,Post Up Shot Making | Post Up Impact Per 75 Possessions | Post Up Shot Making Efficiency | Stable Post Up PPP,4.0,-0.14668895491182313,season+player,0.05,-0.23871472718254833,season+player,0.6666666666666666,0.7796541491555227,season+player,,,,,,,10.0,3.0,season+player,,,,,,
