NBA ID,Season,Player,Post Control Rating,,Post Control,POST_TOUCHES,Post Up Frequency%,Post Up Impact Per 75 Possessions,Post Up Shot Making,Stable Post Up PPP,PTS_PER_POST_TOUCH,Post Up Shot Quality,Post Up Draw Foul Rate
708,2013-14,Kevin Garnett,82.97334203010243,1.3001455521069878,0.8409011986550138,0.9205856903955584,0.8733547648956892,,,,0.3516781642042059,,0.32088171127484266
708,2014-15,Kevin Garnett,83.0043448709126,1.3032872643646962,0.8436545159634947,0.9205856903955584,0.8668447518230985,,,,0.46533462802713804,,0.32088171127484266
708,2015-16,Kevin Garnett,74.53541315748961,0.6437980668415497,0.26569483240514435,0.1398745933395811,0.3252221691880313,0.6754683961983499,-0.10425944909789085,0.3390067155388285,0.6418648803478624,-1.2927097235724776,1.1950027194776864
951,2013-14,Ray Allen,48.660378201607784,-0.012380008824796025,-0.30936306754891496,-0.31554021327640563,-0.3458748218695995,,,,0.10018301021303667,,-0.3347090448772899
959,2013-14,Steve Nash,44.67183726168852,-0.15777165408437485,-0.43678063496601405,-0.38059947136440375,-0.46616204260081134,,,,-0.7800500287560551,,-0.3347090448772899
965,2013-14,Derek Fisher,45.413030506109926,-0.13075342689679223,-0.41310254274814295,-0.38059947136440375,-0.41354405989443094,,,,-0.7800500287560551,,-0.3347090448772899
977,2013-14,Kobe Bryant,75.54154852069281,0.7148275710870169,0.32794329674875605,0.47386186160255683,0.23600923787849604,,,,0.12773492222986413,,0.042291117415781225
977,2014-15,Kobe Bryant,89.26410331894773,2.914118708463252,2.255346527286191,3.132600465387494,1.8001363274345787,,,,0.29605904361000496,,0.4162403667151528
977,2015-16,Kobe Bryant,75.25257907714735,0.6944273773677773,0.3100650819868122,1.2458819808355488,1.0810470773821466,-0.28448377337133535,0.3500249303613334,-0.3930875505140014,0.7023204462111242,-2.391840941813667,0.194806565860971
979,2013-14,Jermaine ONeal,90.22153887049404,3.750738697532414,2.988539164795667,2.1567115940675223,4.331868061779115,,,,0.675719997231289,,0.6978463960623189
1495,2013-14,Tim Duncan,90.74664124744764,4.209580176896314,3.3906562536162124,4.368726369059458,2.989115255110955,,,,0.624937321906149,,0.9676131328843787
1495,2014-15,Tim Duncan,90.17771245000718,3.7124425852045944,2.954977418757022,3.783193046267475,2.6528514988793304,,,,0.45082529221995515,,0.7243221765992319
1495,2015-16,Tim Duncan,81.1080632806227,1.1111251604866221,0.6752484993579223,2.026593077891526,1.9153912791512693,-0.0924933394573983,0.07046531223258003,-0.3930875505140014,0.5064444128141561,-0.046272259587623564,0.7521914192696667
1497,2013-14,Chauncey Billups,47.460558260099354,-0.05611625171132232,-0.34769240667025925,-0.31554021327640563,-0.3332474600315767,,,,-0.7800500287560551,,-0.3347090448772899
1536,2013-14,Stephen Jackson,71.51083559785431,0.43027387072454,0.0785676174585997,0.008012722405444542,0.13059175043813231,,,,0.17544828607844007,,0.14846380750136243
1712,2013-14,Antawn Jamison,28.518195292499207,-1.1598333838907502,-1.3149622373940038,-1.3155402132764056,-1.260513750528787,,,,-1.780050028756055,,-1.33470904487729
1713,2013-14,Vince Carter,80.11277091063016,1.0375392777099879,0.6107596894067137,0.6603486580435659,0.5975032342210994,,,,0.419388397971059,,0.47513835978122687
1713,2014-15,Vince Carter,66.79804748201246,0.20084046599427827,-0.12250202628027734,-0.18542169710040943,-0.07821152092023216,,,,0.25736748145751737,,-0.3347090448772899
1713,2015-16,Vince Carter,48.16578472651078,-0.03040909769769658,-0.32516330588331355,0.1398745933395811,0.44365162929254,-1.0524455090270834,-0.13920440136398504,-1.3692132385844413,0.49918974491056467,-0.7714722386333568,1.1950027194776864
1713,2016-17,Vince Carter,78.61878564405372,0.9320693412422792,0.5183284997303175,0.2049338514275792,0.29936839489703543,0.8034620188076412,-0.1566768774970321,1.5591638256268756,0.5306266391594608,-0.658159741907461,1.0420315430421885
1713,2017-18,Vince Carter,68.03217104357603,0.2576337782114848,-0.07272980123009337,0.40011162569157355,0.7784157049930405,-0.540471018589918,-0.3139291626944559,-0.6371189725316113,0.025218108542592113,-0.18224725565869856,-0.3347090448772899
1713,2018-19,Vince Carter,37.487327908512256,-0.6446284746926357,-0.8634496615911228,-0.05530318092441324,0.01681127274071066,-1.7564104333781863,-0.541071352424068,-2.3453389266548785,0.4024608395293457,-0.6921534909252297,-0.3347090448772899
1713,2019-20,Vince Carter,78.26049234305339,0.9067751348409627,0.49616129580572044,-0.12036243901241132,0.1405132932954733,0.867458830112287,0.664529500756181,1.3151324036092684,0.7797035705160994,-1.0434222307755068,-0.3347090448772899
1717,2013-14,Dirk Nowitzki,92.330282137139,5.5933867649045075,4.603389412422964,6.060267079347408,4.009201831140749,,,,0.8135586873995261,,0.6290093666663449
1717,2014-15,Dirk Nowitzki,90.12328340020423,3.6648817535876375,2.913296306626078,3.5880152720034806,2.755306543994924,,,,0.6225190992716185,,0.553510689264309
1717,2015-16,Dirk Nowitzki,91.88158089083457,5.201305615241494,4.259779391152713,4.563904143323453,3.366085270484064,6.243190979702524,6.622643862125237,3.023352357732535,0.7531031215362641,-2.142553449016696,0.559278349875618
1717,2016-17,Dirk Nowitzki,88.06596604321255,1.867170333807648,1.337827402499246,1.7663560455395335,1.5421658074888533,1.443430131854098,1.3634285460780646,1.3151324036092684,0.7966311289578127,-1.6666409627679337,0.8800620621104852
1717,2017-18,Dirk Nowitzki,86.64395186431594,1.6721114625866567,1.1668827321247532,1.2458819808355488,1.2091138861838169,1.6994173770726806,0.48980473942571007,1.8031952476444857,0.7361755630945509,-1.2700472242272984,0.7243221765992319
1717,2018-19,Dirk Nowitzki,67.11922062271591,0.21562057961000292,-0.10954910783918208,0.8555264323075602,1.6131098352845863,-2.204388112510706,0.15782769289781545,-0.6371189725316113,0.46533462802713804,-2.255865945742592,-0.3347090448772899
1718,2013-14,Paul Pierce,75.77159760184333,0.7310682011094265,0.3421761748971668,0.40011162569157355,0.2635630499834252,,,,0.1461292402691157,,0.7243221765992319
1718,2014-15,Paul Pierce,77.53017443516265,0.8552173416888408,0.4509773474907498,0.3350523676035754,0.4955735272409317,,,,0.7313391178254899,,0.8125747783889422
1718,2015-16,Paul Pierce,67.89758407889471,0.2514402010498694,-0.07815769589442684,-0.12036243901241132,0.017491373254499662,0.035500283151893054,-0.08678697296484376,-0.1490561284963914,-0.08843835528034018,-0.2842285027120048,-0.3347090448772899
1718,2016-17,Paul Pierce,40.79015031784012,-0.3894491820046034,-0.6398169716145102,-1.1854216971004095,0.04360070952048972,0.009851328574650323,-1.1042594490978908,-1.1490561284963914,0.3203815418859595,0.10035863219360439,-1.33470904487729
1733,2013-14,Al Harrington,70.23466168571592,0.3589905163780016,0.016096685294988193,-0.05530318092441324,0.16119743121630373,,,,-0.2964055018499607,,-0.3347090448772899
1737,2013-14,Nazr Mohammed,42.896050788290566,-0.22674525005741264,-0.4972273532021521,-1.2504809551884075,0.25464636310131095,,,,0.35267330961811755,,-1.33470904487729
1737,2014-15,Nazr Mohammed,40.126343383434005,-0.4407355555997356,-0.6847630546818642,-1.2504809551884075,0.07486961963241451,,,,-1.780050028756055,,-1.33470904487729
1737,2015-16,Nazr Mohammed,44.0217022326336,-0.18147059636402776,-0.45754978968766524,-1.1854216971004095,0.03225547848852068,0.0006922555214619146,0.0003519337347520558,-1.1490561284963914,0.03194436581260113,0.0026330408358892898,-1.33470904487729
1740,2013-14,Rashard Lewis,72.44614762054833,0.49630350422760555,0.13643432130793182,0.00975607716358485,0.314921997951512,,,,0.14129279500005473,,-0.3347090448772899
1882,2013-14,Elton Brand,81.39866908929508,1.1405740692771866,0.7010567795688138,0.6603486580435659,0.9722468889442726,,,,-0.3375152866369788,,-0.3347090448772899
1882,2014-15,Elton Brand,66.71907228310842,0.19720609479477663,-0.1256870974479121,-0.18542169710040943,-0.003607270081946775,,,,-0.47777219943974614,,-0.3347090448772899
1882,2015-16,Elton Brand,43.24318557624929,-0.20984934920591095,-0.4824202122417811,0.031387858745401995,0.1071858677357416,0.0079662635392848,-1.174149353630079,-1.1490561284963914,-1.4777721994397461,0.09386853443623044,-1.33470904487729
1889,2013-14,Andre Miller,79.85204694985053,1.0191331125393956,0.5946289909245072,0.5952893999555678,0.7575406340272105,,,,0.05181855752242719,,-0.3347090448772899
1889,2014-15,Andre Miller,73.14124965308024,0.5453751844174073,0.17943950298595154,0.2049338514275792,0.20671316916034202,,,,0.21867591930502978,,-0.3347090448772899
1889,2015-16,Andre Miller,42.76491795883537,-0.2368767008354056,-0.5061063008901926,-1.1203624390124114,-1.0059535462753868,0.016337230306501183,0.08067313778800295,-1.1490561284963914,0.168519487505241,0.6983259778447258,1.1131189346685593
1890,2013-14,Shawn Marion,72.86921756763844,0.526170706695568,0.16260918353765155,0.26999310951557737,0.12118075962894603,,,,0.06632789332961005,,-0.3347090448772899
1890,2014-15,Shawn Marion,73.41608651685377,0.5647776693077727,0.19644335091795312,0.07481533525158302,0.370318951612732,,,,0.25736748145751737,,-0.3347090448772899
1891,2013-14,Jason Terry,43.0,-0.218714032198233,-0.49018899662267723,-0.4456587294524018,-0.5197880326387315,,,,-0.7800500287560551,,-0.3347090448772899
1891,2014-15,Jason Terry,43.0,-0.218714032198233,-0.49018899662267723,-0.4456587294524018,-0.5197880326387315,,,,-0.7800500287560551,,-0.3347090448772899
1891,2015-16,Jason Terry,49.0,0.0,-0.29851354035468436,-0.4456587294524018,-0.5197880326387315,0.035500283151893054,,-0.1490561284963914,-0.7800500287560551,,-0.3347090448772899
1891,2016-17,Jason Terry,62.20209376343187,0.09202424470783814,-0.2178658154930931,-0.4456587294524018,-0.5197880326387315,0.035500283151893054,,-0.1490561284963914,0.8329044684757698,,-0.3347090448772899
1891,2017-18,Jason Terry,49.0,0.0,-0.29851354035468436,-0.4456587294524018,-0.5197880326387315,0.035500283151893054,,-0.1490561284963914,-0.7800500287560551,,-0.3347090448772899
1897,2013-14,Metta World Peace,80.0116543377267,1.0304008147287573,0.6045037206642078,0.2049338514275792,1.0768728006936958,,,,0.8885235890699704,,-0.3347090448772899
1897,2015-16,Metta World Peace,32.30533344924637,-0.8298750230058737,-1.0257950598865027,0.5302301418675697,1.5684555695768319,-4.188289262954722,-1.1700804932137634,-2.8334017706900982,0.07358256123320146,0.5542839730596243,1.5009450723486815
1897,2016-17,Metta World Peace,45.49753098553247,-0.1276731868005942,-0.41040309809011294,-1.0553031809244133,0.24769319380200552,0.005680045304302888,0.002887661413350202,-1.1490561284963914,0.09612081528973508,-2.202059726191761,0.3135773762648279
1905,2013-14,Andrei Kirilenko,73.08582492496929,0.5414623998114405,0.17601043733758337,0.07481533525158302,0.36682833598821624,,,,-0.1198752495292362,,-0.3347090448772899
1905,2014-15,Andrei Kirilenko,28.64693528952232,-1.088480424672777,-1.2524303052782784,-1.3805994713644036,-1.0564946432947322,,,,-1.780050028756055,,-1.33470904487729
1938,2013-14,Manu Ginobili,46.996986525360526,-0.07301452559763218,-0.3625016272984276,-0.38059947136440375,-0.4545203727080526,,,,0.6007550955608443,,-0.3347090448772899
1938,2014-15,Manu Ginobili,58.06718862231257,0.030809748841905592,-0.2715126542779188,-0.31554021327640563,-0.39691456850836654,,,,1.316548995381864,,-0.3347090448772899
1938,2015-16,Manu Ginobili,67.44956304899569,0.2308226559163066,-0.09622639194873295,-0.38059947136440375,-0.4478773538855917,0.035500283151893054,0.07046531223258003,-0.1490561284963914,2.0420157857410057,0.11236523582863057,-0.3347090448772899
1938,2016-17,Manu Ginobili,56.83971688978571,0.01847985966763712,-0.28231825787572395,-0.38059947136440375,-0.4314727302950317,0.035500283151893054,-0.4886539240249268,-0.1490561284963914,-0.7800500287560551,0.2823339809174743,-0.3347090448772899
1938,2017-18,Manu Ginobili,48.82864208005371,-0.00624639693675923,-0.30398772493649096,-0.38059947136440375,-0.43567822088282687,0.035500283151893054,-0.4012915433596913,-0.1490561284963914,-0.7800500287560551,-0.8167972373237151,-0.3347090448772899
2030,2013-14,Kenyon Martin,69.31358244872887,0.31660323660131756,-0.02105045661217208,-0.05530318092441324,0.13238650774551364,,,,-0.7800500287560551,,-0.3347090448772899
2030,2014-15,Kenyon Martin,41.18671319535631,-0.35881034586702704,-0.6129658691170379,-1.2504809551884075,0.026964638030720182,,,,0.08703851695571795,,-1.33470904487729
2034,2013-14,Mike Miller,43.0,-0.218714032198233,-0.49018899662267723,-0.4456587294524018,-0.5197880326387315,,,,-0.7800500287560551,,-0.3347090448772899
2034,2014-15,Mike Miller,43.0,-0.218714032198233,-0.49018899662267723,-0.4456587294524018,-0.5197880326387315,,,,-0.7800500287560551,,-0.3347090448772899
2034,2015-16,Mike Miller,29.14406409109635,-0.890055056151314,-1.0785353216586433,-1.445658729452402,-1.5197880326387314,0.013181255134297892,,-1.1490561284963914,-1.780050028756055,,-1.33470904487729
2034,2016-17,Mike Miller,37.552799664263176,-0.6395700627488451,-0.8590165970658492,-1.3155402132764056,-1.16205516238577,0.005325042472783958,-1.139204401363985,-1.1490561284963914,0.12493567027136547,-1.170916005986109,0.9823490842080153
2037,2013-14,Jamal Crawford,46.6719973621981,-0.08486114064696286,-0.3728837016536462,-0.31554021327640563,-0.40830520522262126,,,,-0.6083562217043916,,-0.3347090448772899
2037,2014-15,Jamal Crawford,48.1290972511007,-0.03174644197738162,-0.32633532064807125,-0.31554021327640563,-0.3835909398677245,,,,0.10018301021303667,,-0.3347090448772899
2037,2015-16,Jamal Crawford,62.79827127981321,0.10334071390330442,-0.20794834758039094,-0.38059947136440375,-0.45102672667770005,0.035500283151893054,,-0.1490561284963914,0.4290612885091809,,-0.3347090448772899
2037,2016-17,Jamal Crawford,58.433750715514996,0.03449184584251806,-0.26828575742305344,-0.4456587294524018,-0.5197880326387315,0.035500283151893054,,-0.1490561284963914,-0.1754943701234371,,-0.3347090448772899
2037,2017-18,Jamal Crawford,68.42985309911002,0.27593476674014433,-0.05669127690163714,-0.4456587294524018,-0.5197880326387315,0.035500283151893054,,-0.1490561284963914,4.056395240304889,,-0.3347090448772899
2037,2018-19,Jamal Crawford,68.42985309911002,0.27593476674014433,-0.05669127690163714,-0.4456587294524018,-0.5197880326387315,0.035500283151893054,,-0.1490561284963914,4.056395240304889,,-0.3347090448772899
2037,2019-20,Jamal Crawford,28.998940961254007,-0.8933845188133341,-1.0814531786816053,-1.445658729452402,-1.5197880326387314,0.00021300169891135833,,-1.1490561284963914,-1.780050028756055,,-1.33470904487729
2045,2013-14,Hedo Turkoglu,68.45805133892533,0.2772324256518477,-0.055554041391500664,-0.18542169710040943,0.0426178728335861,,,,0.5088626354486866,,-0.3347090448772899
2045,2014-15,Hedo Turkoglu,67.6472036791565,0.2399179089080797,-0.08825554184117855,-0.2504809551884075,0.020229102711280453,,,,0.6418648803478624,,-0.3347090448772899
2199,2013-14,Tyson Chandler,67.93943222279196,0.25336601688880867,-0.07646995951141214,-0.05530318092441324,-0.06761368463898815,,,,-0.08843835528034018,,-0.3347090448772899
2199,2014-15,Tyson Chandler,56.38729875356624,0.013935343217932938,-0.28630095736354166,-0.2504809551884075,-0.29842330613755164,,,,-0.4511717504599109,,-0.3347090448772899
2199,2015-16,Tyson Chandler,71.33228693373226,0.41766898319141194,0.06752101224156795,0.1398745933395811,0.1257654464218159,-0.0924933394573983,0.07046531223258003,-0.3930875505140014,0.3129866020517183,1.3248089507957157,1.1950027194776864
