NBA ID,Season,Player,Shot IQ Rating,,Shot IQ,Points Over Expectation / 75,Stable eFG%,Overall Shot Making Efficiency,Overall Shot Making,Self-Created Shot Making Efficiency,Overall Shot Creation,EFG_PCT,TS_PCT,Role Adjusted Stable eFG%,Points Per Possession
708,2013-14,Kevin Garnett,65.0,-0.3671012114980482,-1.0,,,,,,,-0.5637718680984449,-0.6276604821293034,,-0.3746717893437074
708,2014-15,Kevin Garnett,65.0,-0.3671012114980482,-1.0,,,,,,,-0.3175409820244146,-0.3637292111430227,,-0.2669220185235253
708,2015-16,Kevin Garnett,75.17986768815733,0.011613876941940222,-0.5648652060799447,-0.020271970557141708,-1.2023136506496235,0.5403315434755003,0.057583968510087805,-0.16613964932212005,-1.3812131612955425,-0.3087470218074849,-0.4092346026923815,-0.49154803839939,-1.1289201850849837
951,2013-14,Ray Allen,65.0,-0.3671012114980482,-1.0,,,,,,,0.38597583532995916,0.4917721499849224,,-0.06489119823568329
959,2013-14,Steve Nash,65.0,-0.3671012114980482,-1.0,,,,,,,-0.69568127135239,-0.4365378376219968,,-0.5497651669265038
965,2013-14,Derek Fisher,65.0,-0.3671012114980482,-1.0,,,,,,,0.0605993073035613,0.05492039111107861,,-0.603640052336595
977,2013-14,Kobe Bryant,65.0,-0.3671012114980482,-1.0,,,,,,,-1.5285960272307264,-1.2818195063541769,,0.09102469612633503
977,2014-15,Kobe Bryant,65.0,-0.3671012114980482,-1.0,,,,,,,-0.8275906746063352,-0.5366496990305862,,1.7264487416498477
977,2015-16,Kobe Bryant,74.19827830135421,-0.029431300685714312,-0.6120251568017171,-0.6727519484087658,-2.9239415611454103,0.013560190969373368,-0.1810924151452442,0.1712824409244824,2.0999365435076403,-0.7748269133047571,-0.6094583255095604,-1.802942850846924,1.4974804786569602
979,2013-14,Jermaine ONeal,65.0,-0.3671012114980482,-1.0,,,,,,,-0.00975237443187608,0.3097505837874871,,0.056327293937021926
1495,2013-14,Tim Duncan,65.0,-0.3671012114980482,-1.0,,,,,,,-0.13286781746889148,-0.008787157058023761,,0.9048567391459577
1495,2014-15,Tim Duncan,65.0,-0.3671012114980482,-1.0,,,,,,,0.06939326752049098,0.2187398006887704,,0.67588847615307
1495,2015-16,Tim Duncan,78.58817703343901,0.23168500656886076,-0.31200861662526247,-0.056520858215565274,-1.1235272886438832,0.4349772729742749,0.0874185164670043,-0.1786367637756978,-0.39790139402970837,-0.15045573790275085,-0.11800009677648497,-0.49154803839939,-0.2803907398760481
1497,2013-14,Chauncey Billups,65.0,-0.3671012114980482,-1.0,,,,,,,-0.9946759187279984,-0.9917036145241741,,-1.0211704142648013
1536,2013-14,Stephen Jackson,65.0,-0.3671012114980482,-1.0,,,,,,,-3.0,-3.0,,-2.6676690391858955
1712,2013-14,Antawn Jamison,65.0,-0.3671012114980482,-1.0,,,,,,,-2.2848766058866774,-2.1646241024117376,,-1.3746717893437075
1713,2013-14,Vince Carter,65.0,-0.3671012114980482,-1.0,,,,,,,-0.07131009595038379,0.027617156181463307,,0.6354823120955017
1713,2014-15,Vince Carter,65.0,-0.3671012114980482,-1.0,,,,,,,-0.7748269133047571,-0.8278842049464823,,-0.2265158544659569
1713,2015-16,Vince Carter,76.76364872466199,0.11387703631970782,-0.44736722371870086,0.4962746785753939,-1.359886374661102,0.06038431119214019,-0.19600968912370245,-0.7660011430938576,-0.08143323904760083,-0.27357118093976623,-0.14530333170610027,-0.7101138404739792,0.01592112987945352
1713,2016-17,Vince Carter,79.97619629104348,0.32130802344313775,-0.2090338628632089,0.39659023751472916,-0.6157929557180084,0.48180139319704174,0.07250124248854606,-0.9034694020832139,-0.4318086963492198,0.02542346643584261,0.05492039111107861,-0.27298223632480073,-0.36120306799118457
1713,2017-18,Vince Carter,79.12861385536237,0.2665804722804189,-0.27191454130418025,-0.14714307736162416,-0.5720227546037071,0.48180139319704174,0.057583968510087805,-0.40358482394009937,-0.556135471520762,-0.00975237443187608,-0.11800009677648497,-0.27298223632480073,-0.5362964455739809
1713,2018-19,Vince Carter,91.0867738827281,0.9859402522973674,0.5546130494539376,0.5959591196360587,0.3383974285737254,1.3129295271511532,0.6244403796915013,-0.0036771614256077352,-0.5674379056272659,0.39476979554688885,0.26424519223812826,0.3827151698989669,-0.05142247688316049
1713,2019-20,Vince Carter,71.40690706838356,-0.13190287682214671,-0.7297626051523005,-1.406791923491843,-1.380312468514442,-0.4195629210912199,-0.37501697686520147,1.2710285128393344,-0.5109257350947467,-0.46703830571221855,-0.6003572471996886,-0.7101138404739792,-0.5093590028689353
1717,2013-14,Dirk Nowitzki,65.0,-0.3671012114980482,-1.0,,,,,,,0.38597583532995916,0.6100861680132554,,1.8207297911175073
1717,2014-15,Dirk Nowitzki,65.0,-0.3671012114980482,-1.0,,,,,,,0.02542346643584261,0.2187398006887704,,1.2685122156640725
1717,2015-16,Dirk Nowitzki,97.49436577445736,1.6291976509813746,1.2937007809908607,1.3481235385483477,-0.7587756126913858,1.968467210269889,2.459265079041866,1.9958611511468503,-0.16055027779312767,-0.00975237443187608,0.17323440913941157,-0.49154803839939,1.2685122156640725
1717,2016-17,Dirk Nowitzki,84.56939818793148,0.6090814527139055,0.1216110880871561,0.18815913347879373,-0.9221843635181053,0.9032184752019432,0.8780340373252915,-0.26611656495074293,-0.5222281692012506,-0.08889801638424313,-0.06339362691725436,-0.49154803839939,0.9722003459085716
1717,2017-18,Dirk Nowitzki,97.61442377785627,1.6575713336369702,1.3263014798591133,1.4387457576944063,0.35298749561182446,2.4601204726089407,2.071415955601952,0.8836179647784206,-1.0986523086329465,0.36838791489609984,0.3552559753368459,0.3827151698989669,0.5816074266854104
1717,2018-19,Dirk Nowitzki,68.31238572629238,-0.24550313019097106,-0.8602866437970993,-0.9808674935053661,-1.7479821578745587,-0.5483292517038287,-0.583858812563617,0.7836410491497977,-1.2681888202305038,-0.537389987447656,-0.6094583255095604,-0.9286796425485684,0.3930453277500916
1718,2013-14,Paul Pierce,65.0,-0.3671012114980482,-1.0,,,,,,,0.21009663099136575,0.5372775415342812,,0.7432320829156841
1718,2014-15,Paul Pierce,65.0,-0.3671012114980482,-1.0,,,,,,,0.2804483127268031,0.40076136688620473,,0.43345149180766
1718,2015-16,Paul Pierce,68.85117845952806,-0.22572398367925467,-0.8375608662825493,-0.7633741675548247,-1.7100479835755003,-0.5132111615367537,-0.5689415385851587,0.5961843323461298,-0.6691598125858006,-0.4230685046275702,-0.42743675931212505,-0.9286796425485684,-0.36120306799118457
