NBA_ID,Season,Player,RotationRole,MIN,Standing Dunk,Standing Dunk Aggregate Z,Standing Dunk Rating,MissingMetricCount,MissingMetrics,Standing_dunk_PG Raw,Standing_dunk_PG Z,Standing_dunk_PG MatchedBy,Standing_dunk_FGM Raw,Standing_dunk_FGM Z,Standing_dunk_FGM MatchedBy,dunkScore_total Raw,dunkScore_total Z,dunkScore_total MatchedBy,dunkScore_average Raw,dunkScore_average Z,dunkScore_average MatchedBy,dunkScore_max Raw,dunkScore_max Z,dunkScore_max MatchedBy,Putback Scoring Impact Per 75 Possessions Raw,Putback Scoring Impact Per 75 Possessions Z,Putback Scoring Impact Per 75 Possessions MatchedBy,Stable Putback Points Per 75 Raw,Stable Putback Points Per 75 Z,Stable Putback Points Per 75 MatchedBy,Offensive Rebound Raw,Offensive Rebound Z,Offensive Rebound MatchedBy,Offensive Rebounding Crashing Skill Raw,Offensive Rebounding Crashing Skill Z,Offensive Rebounding Crashing Skill MatchedBy,PLAYER_HEIGHT_INCHES Raw,PLAYER_HEIGHT_INCHES Z,PLAYER_HEIGHT_INCHES MatchedBy,Putback Frequency% Z,Putback per Offensive Rebound Z
1495,2014-15,Tim Duncan,Star,2225.2999999999997,0.8487017687790676,1.4734485143091216,83.20630336180538,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.4805194805194805,0.6365541731512633,season+player,37.0,0.9314525842704424,season+player,,,,,,,,,,,,,,,,1.106787025,1.106787025,season+player,,,,83.0,1.292408204451765,season+player,,
1495,2015-16,Tim Duncan,Starter,1537.2,-0.07654715198975037,0.36364854405259084,64.59496314034378,3,dunkScore_total | dunkScore_average | dunkScore_max,0.04918032786885246,-0.45254138791365467,season+player,3.0,-0.387684215296616,season+player,,,,,,,,,,0.37,2.014321200320419,season+player,1.62,1.0115654474246079,season+player,0.636969756,0.636969756,season+player,-0.47,-0.6046284255199054,season+player,83.0,1.292408204451765,season+player,,
1497,2013-14,Chauncey Billups,Rotation,309.7,-0.5901916288883573,-0.25244795969781536,32.57731132091958,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.0,-0.5767176340173052,season+player,0.0,-0.504078638787827,season+player,,,,,,,,,,,,,,,,-0.604317337,-0.604317337,season+player,,,,75.0,-1.0909861302524886,season+player,,
1536,2013-14,Stephen Jackson,Garbage Time,107.10000000000001,-1.2198264507395875,-1.0076703553990098,27.10350508534504,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.0,-1.5767176340173052,season+player,0.0,-1.5040786387878269,season+player,,,,,,,,,,,,,,,,-1.531017371,-1.531017371,season+player,,,,80.0,0.39863532893767,season+player,,
1712,2013-14,Antawn Jamison,Garbage Time,248.60000000000002,-1.1388841186348335,-0.9105831870208961,27.499244193569787,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.0,-1.5767176340173052,season+player,0.0,-1.5040786387878269,season+player,,,,,,,,,,,,,,,,-1.181403006,-1.181403006,season+player,,,,81.0,0.6965596207757017,season+player,,
1713,2013-14,Vince Carter,Starter,1976.3999999999999,-0.2102528653319187,0.20327375910610568,56.88128715211907,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.1111111111111111,-0.29617130022757615,season+player,9.0,-0.15489536831419393,season+player,,,,,,,,,,,,,,,,-0.221822996,-0.221822996,season+player,,,,78.0,-0.1972132547383934,season+player,,
1713,2014-15,Vince Carter,Rotation,1089.0,-0.3937032177386418,-0.016767778986540256,45.81991675607184,6,dunkScore_total | dunkScore_average | dunkScore_max | Putback Scoring Impact Per 75 Possessions | Stable Putback Points Per 75 | Offensive Rebounding Crashing Skill,0.030303030303030304,-0.5002049975291973,season+player,2.0,-0.426482356460353,season+player,,,,,,,,,,,,,,,,-0.357687896,-0.357687896,season+player,,,,78.0,-0.1972132547383934,season+player,,
1713,2015-16,Vince Carter,Rotation,1008.0,-0.07760719112932846,0.36237706847540563,64.53380794919187,3,dunkScore_total | dunkScore_average | dunkScore_max,0.2,-0.07173423319579288,season+player,12.0,-0.03850094482298288,season+player,,,,,,,,,,-0.17,-0.8658133667880922,season+player,0.66,-0.08429451797212067,season+player,-0.203499249,-0.203499249,season+player,0.66,0.5703228120434675,season+player,78.0,-0.1972132547383934,season+player,,
1713,2016-17,Vince Carter,Starter,1803.1,-0.44311257409691673,-0.07603237361178354,42.60150004652121,3,dunkScore_total | dunkScore_average | dunkScore_max,0.0684931506849315,-0.4037781131880202,season+player,5.0,-0.31008793296914194,season+player,,,,,,,,,,-0.3,-1.5591790959068077,season+player,0.25,-0.5523180448603068,season+player,-0.567131791,-0.567131791,season+player,-0.84,-0.9893469723326912,season+player,78.0,-0.1972132547383934,season+player,,
1713,2017-18,Vince Carter,Key Rotation,1026.6,-0.34808003282446714,0.03795545075652937,48.79171059216189,3,dunkScore_total | dunkScore_average | dunkScore_max,0.08620689655172414,-0.3590523750425154,season+player,5.0,-0.31008793296914194,season+player,,,,,,,,,,0.0,0.04089566359792068,season+player,0.07,-0.7577917883721935,season+player,-0.530129127,-0.530129127,season+player,-0.69,-0.8333799938950753,season+player,78.0,-0.1972132547383934,season+player,,
