NBA_ID,Season,Player,Layup Rating,Standing Dunk Rating,Driving Dunk Rating,Post Hook Rating,Post Fade Rating,Post Control Rating,Draw Foul Rating,Hands Rating,AvailableRatings,MissingRatings
708,2013-14,Kevin Garnett,68.93788786591222,72.51738876784023,54.08626338568011,66.34508367237129,63.99265648586761,82.97334203010243,49.57855074653489,87.72942869742786,8,
708,2014-15,Kevin Garnett,68.43124010409088,61.892831322881776,53.936482853054905,71.57504146200893,74.80228266734896,83.0043448709126,51.43924780886456,87.84948944259853,8,
708,2015-16,Kevin Garnett,67.1075466946663,44.01974609205971,50.15327723209744,58.371749330414694,57.29775446571981,74.53541315748961,48.372481876995344,86.08056189820857,8,
951,2013-14,Ray Allen,84.23855335597618,42.40478696491443,60.74255836004062,52.286144832481625,58.599197724526185,48.660378201607784,58.18883620550841,83.23463192342581,8,
959,2013-14,Steve Nash,87.05529433978612,30.451813959774086,61.154907386376536,57.69063826051623,67.33478453830337,44.67183726168852,60.222743309878865,93.30524310476444,8,
965,2013-14,Derek Fisher,70.05766883749934,29.737107058672322,54.41733660361401,43.88975310851897,60.704902455264715,45.413030506109926,50.031245639334756,80.04035427099568,8,
977,2013-14,Kobe Bryant,73.54117420073972,26.771202957067608,47.084412114805964,25.732228549563466,71.96308802185958,75.54154852069281,66.10949289351495,86.25560253311667,8,
977,2014-15,Kobe Bryant,86.78708985411423,53.578538320723446,64.95823046310366,76.83540573212828,90.09098271174678,89.26410331894773,90.56129572277494,97.8029896787428,8,
977,2015-16,Kobe Bryant,79.96293915793946,43.81100107387788,69.22935825237425,62.280200962404315,91.94350598987083,75.25257907714735,77.44170834087188,88.72456495666529,8,
979,2013-14,Jermaine ONeal,68.31926200693216,80.64034679187493,66.33694087219492,77.09871783607844,78.10847102573983,90.22153887049404,79.05260758970162,78.54180744307385,8,
1495,2013-14,Tim Duncan,70.62305197250718,82.36640771696521,60.949588898213996,86.85880061734721,71.20945847943315,90.74664124744764,83.58427578541786,95.92768151674369,8,
1495,2014-15,Tim Duncan,69.27382215738835,83.20630336180538,60.2066653611725,85.74738387952557,66.8381878599988,90.17771245000718,82.09597030173398,95.49686747952768,8,
1495,2015-16,Tim Duncan,81.81532889633183,64.59496314034378,52.91693033047258,75.55761208875933,66.76301037641029,81.1080632806227,66.44510997751675,87.80814286533179,8,
1497,2013-14,Chauncey Billups,72.07327458635615,32.57731132091958,55.020967887750764,44.13647896773896,64.09293212480428,47.460558260099354,45.57232397769675,82.16178863474143,8,
1536,2013-14,Stephen Jackson,49.74368645561165,27.10350508534504,33.998153401554234,28.932195520385537,41.68017532423884,71.51083559785431,28.639990746545795,59.053543818560314,8,
1712,2013-14,Antawn Jamison,52.02329679554732,27.499244193569787,34.70800155512767,34.54621430063072,33.59729048097013,28.518195292499207,45.44814862773152,65.98087168407115,8,
1713,2013-14,Vince Carter,80.39424131430066,56.88128715211907,65.86338178681268,55.27477095651291,79.85559723439661,80.11277091063016,68.9896767398344,87.9695501877692,8,
1713,2014-15,Vince Carter,71.7428329440943,45.81991675607184,59.04041762394887,71.09610222267082,74.4337151769724,66.79804748201246,50.543544766101995,79.58027170896538,8,
1713,2015-16,Vince Carter,77.78558582957999,64.53380794919187,66.70665320896651,67.26374292757446,65.9808637025828,48.16578472651078,67.1921322804308,81.9649785451453,8,
1713,2016-17,Vince Carter,69.40688482987386,42.60150004652121,68.85403638415758,66.66106456791007,80.24026591517486,78.61878564405372,62.68303216587406,82.80522627028007,8,
1713,2017-18,Vince Carter,71.0505603936488,48.79171059216189,66.3711890766537,37.9742225596171,81.36493868698555,68.03217104357603,45.76389977674408,83.2527087276727,8,
1713,2018-19,Vince Carter,72.84568797069589,52.22186021498792,69.7856356394901,42.141905815297186,69.38458062497644,37.487327908512256,52.35172739199298,82.19177535483126,8,
1713,2019-20,Vince Carter,67.89580330937727,46.44800981142835,60.45219646118409,65.74482987482345,81.34206548312727,78.26049234305339,41.28368967964458,78.82717360006122,8,
1717,2013-14,Dirk Nowitzki,70.62305197250718,61.44731798145222,60.732885022140565,72.8319425855307,92.44158174618323,92.330282137139,84.24983836524278,96.63725757804066,8,
1717,2014-15,Dirk Nowitzki,69.8924480163684,56.81690282108916,57.89821080958256,44.96516347590032,92.2935756596602,90.12328340020423,78.9344489693447,93.72378531627956,8,
1717,2015-16,Dirk Nowitzki,76.66376904515212,50.34274357247394,57.89705019410529,82.57785544314133,99.94934462796029,91.88158089083457,85.30430334695993,92.17375680642648,8,
1717,2016-17,Dirk Nowitzki,68.60654188802702,47.886588524267125,54.991851591480696,80.25660928138056,94.58454948565229,88.06596604321255,70.35757971464122,85.59280420348617,8,
1717,2017-18,Dirk Nowitzki,70.13701107760659,51.86605007402654,53.12505224573341,74.69192474252169,92.4968620184262,86.64395186431594,53.64372718753188,86.28266175757753,8,
1717,2018-19,Dirk Nowitzki,60.102490267711566,48.993916351344765,52.441076330430064,40.865525094934966,83.92392636722282,67.11922062271591,48.36812929918982,81.35062229368955,8,
1718,2013-14,Paul Pierce,82.52024478948572,54.69417095407461,73.19145528614817,57.81961897335659,73.84417866719954,75.77159760184333,83.38093715941673,90.2708120712798,8,
1718,2014-15,Paul Pierce,75.24744547885973,47.452994560544155,69.38812990468509,47.2524975115986,84.89144762181806,77.53017443516265,72.62947811982384,83.52074009214311,8,
1718,2015-16,Paul Pierce,67.71696267727917,39.03613642198699,56.49351607257043,57.13182536643359,77.97098383831386,67.89758407889471,49.954182905127844,80.89756288317395,8,
1718,2016-17,Paul Pierce,44.125837810908166,26.888333254042358,32.66310805890545,29.021435493978743,30.413974335090437,40.79015031784012,31.088001530210626,65.77321090151686,8,
1733,2013-14,Al Harrington,73.80046638365299,56.4195558816143,65.7286948739175,35.3952961831093,71.21940034153842,70.23466168571592,55.79793637797653,79.26421736717231,8,
1737,2013-14,Nazr Mohammed,49.3652980961655,29.14184959347877,33.88031850039212,29.49174852686919,44.6736872281372,42.896050788290566,28.983089065245153,54.559506643832144,8,
1737,2014-15,Nazr Mohammed,49.3652980961655,28.1393718244317,33.88031850039212,25.354689532129658,33.68910550983942,40.126343383434005,27.607550228491977,53.51438171947677,8,
1737,2015-16,Nazr Mohammed,50.830000379922595,27.401776086958467,33.03826564344536,32.92130127701651,40.79445479785487,44.0217022326336,44.76795231103696,60.31004087692408,8,
1740,2013-14,Rashard Lewis,70.67629469647939,59.253715757059425,54.600224458032606,56.35655231287459,62.64868827560071,72.44614762054833,44.702706422239125,78.72240992409846,8,
1882,2013-14,Elton Brand,69.7804699192097,66.30133969666592,54.33536588368548,37.553120904473495,66.54034051579549,81.39866908929508,56.99338629174247,83.13926253385338,8,
1882,2014-15,Elton Brand,68.43124010409088,55.089673116194334,53.936482853054905,35.00296441558854,53.08520499392185,66.71907228310842,47.31155908861199,77.89441068930586,8,
1882,2015-16,Elton Brand,52.73201891804321,26.842827790579214,36.68989169492512,29.12649651169967,43.564691358900376,43.24318557624929,38.84786689970748,73.55646183328626,8,
1889,2013-14,Andre Miller,76.556938177354,31.722987443021225,56.80737996115867,72.7434100271012,73.7572399892883,79.85204694985053,59.882785029880566,84.156536022626,8,
1889,2014-15,Andre Miller,76.14447898721656,32.48721771716197,56.65042264410611,57.15328236956405,72.36582358498143,73.14124965308024,53.941139208733375,85.50830491177038,8,
1889,2015-16,Andre Miller,68.19248596367494,26.88718194168453,46.4476678244554,43.68041256936258,43.25088693873997,42.76491795883537,33.76261459452285,83.05667764087026,8,
1890,2013-14,Shawn Marion,70.90025089079683,82.38752015973334,77.11918023597346,70.25730070204743,61.648109979183744,72.86921756763844,45.09236290288381,91.10789649431005,8,
1890,2014-15,Shawn Marion,70.11640421068583,77.06959937357573,57.093841937803035,73.17866571568055,55.48382085729328,73.41608651685377,43.8330888667815,79.48997046845307,8,
1891,2013-14,Jason Terry,70.95349361476903,29.847134160966455,54.682195177961134,43.69358722475859,49.77407222600695,43.0,41.236890711347556,78.27090372153692,8,
1891,2014-15,Jason Terry,72.52667962420529,29.966459596970864,55.23276513720269,43.69358722475859,55.949916863170856,43.0,42.96593456020818,84.79233195310889,8,
1891,2015-16,Jason Terry,72.20573113755847,35.817617839198014,59.88331223937541,44.754973817983334,56.126578157892006,49.0,35.92459319937808,83.01208415084615,8,
1891,2016-17,Jason Terry,65.65389442844031,35.281335797154426,53.75701421046831,44.754973817983334,49.80469059547042,62.20209376343187,33.47280909577811,78.80140418439734,8,
1891,2017-18,Jason Terry,66.47222757955576,35.88162270754976,54.22032998445069,35.0,60.64817533661299,49.0,31.862415049281307,76.44060786589269,8,
1897,2013-14,Metta World Peace,71.68959022012208,47.52486056588793,59.277543069179785,46.62929380282667,73.99315100574974,80.0116543377267,45.57232397769675,75.677035164729,8,
1897,2015-16,Metta World Peace,65.76411779627094,42.066566776776924,66.27059101747712,34.255331919407084,47.12269354098351,32.30533344924637,68.98454063719873,77.1094394958013,8,
1897,2016-17,Metta World Peace,47.10023885762084,27.115680475793678,37.308887282194156,32.967846799266795,48.90292363973956,45.49753098553247,43.787613373461205,62.90011701919313,8,
1905,2013-14,Andrei Kirilenko,70.7882727936381,81.1411383931958,61.19519592812192,35.78762795063007,49.708927479313296,73.08582492496929,75.05318495794783,79.53512108870922,8,
1905,2014-15,Andrei Kirilenko,56.30585355603438,27.708859305954658,33.998153401554234,26.22293689050413,33.818733287185324,28.64693528952232,41.27176069083646,51.842181840508154,8,
1938,2013-14,Manu Ginobili,83.49754291456169,55.042736435002986,62.28001365456172,68.94968982650795,58.52127727925689,46.996986525360526,72.53263113661856,88.14964130552522,8,
1938,2014-15,Manu Ginobili,84.96055291212676,41.69981241212652,60.16336520509218,61.33063461600574,61.761924586581316,58.06718862231257,74.15763790489467,89.77046136532933,8,
1938,2015-16,Manu Ginobili,79.48854596729858,46.272794100341336,65.11400230568249,72.06231780728704,59.642135978958606,67.44956304899569,77.84683533494724,89.72613680969995,8,
1938,2016-17,Manu Ginobili,72.01303483328634,44.13099717374722,62.64980722343875,58.302618634987006,56.55212045105125,56.83971688978571,68.4799217262096,83.67678299702133,8,
1938,2017-18,Manu Ginobili,86.13408568101762,47.560996358862816,72.37110243855972,48.64841001608784,55.25279167386797,48.82864208005371,74.49043535625295,85.57186470329978,8,
2030,2013-14,Kenyon Martin,69.66849182205098,83.11665548016462,55.977080806683844,52.61216816619744,48.9906146884406,69.31358244872887,43.8330888667815,79.76087418998999,8,
2030,2014-15,Kenyon Martin,49.3652980961655,28.114410819102176,42.86009830066101,42.15146099955819,41.53511129399198,41.18671319535631,27.51750181868934,56.858781477414006,8,
2034,2013-14,Mike Miller,72.19074533272915,47.96950373761394,55.07580782015013,34.72221714612877,48.5341363351667,43.0,44.97752817503029,82.3337968263965,8,
2034,2014-15,Mike Miller,68.54321820124959,42.81846737629565,53.96959017484829,43.69358722475859,49.77407222600695,43.0,35.53672968585354,76.09939240750555,8,
2034,2015-16,Mike Miller,33.547691289797214,27.12974366416336,32.0307325202098,36.20523056359219,34.05594669702069,29.14406409109635,25.76184849586312,71.09111228672462,8,
2034,2016-17,Mike Miller,38.097282440368275,27.1398279083761,29.65873154869898,28.813163060710238,30.4217345692759,37.552799664263176,27.498577491752396,71.81561447690963,8,
2037,2013-14,Jamal Crawford,84.49240305581911,42.87207794039196,57.88370286775727,47.24652636718534,66.61136334564917,46.6719973621981,84.42207732403025,92.25888757597664,8,
2037,2014-15,Jamal Crawford,78.0760324006427,38.27353573526567,57.38541095039991,56.947930052427864,61.55062729284707,48.1290972511007,81.50488133787425,87.06909459898915,8,
2037,2015-16,Jamal Crawford,85.46422080207323,39.79258534627697,66.35057182458809,74.0738909987465,58.11991107515481,62.79827127981321,77.63364698368103,87.46509134630544,8,
2037,2016-17,Jamal Crawford,82.93415495189157,40.38743749474717,66.9457508061356,64.59332525378159,61.43378553552149,58.433750715514996,67.49215512033945,87.83790521538526,8,
2037,2017-18,Jamal Crawford,79.17628758169106,38.524883546011104,61.21724615285001,55.86752302823275,60.22180792591477,68.42985309911002,60.31724427996014,84.01514763592,8,
2037,2018-19,Jamal Crawford,70.50680841818448,39.506216423509365,59.1653191511468,35.0,54.89487123652859,68.42985309911002,64.9486828106703,93.1089602620798,8,
2037,2019-20,Jamal Crawford,34.463503082838805,26.941030874765325,34.41057555562164,27.990297362740883,33.99994220186705,28.998940961254007,41.036275502419926,73.00687339229795,8,
2045,2013-14,Hedo Turkoglu,69.38580025454706,51.09710787659851,55.634021486623226,44.759682676510884,61.46388337626004,68.45805133892533,46.1671197803632,76.94410689305865,8,
2045,2014-15,Hedo Turkoglu,69.38580025454706,49.08104032179207,54.21869267285368,44.44808082212492,69.42784776379206,67.6472036791565,37.88589406040292,74.6027291633767,8,
2199,2013-14,Tyson Chandler,68.93788786591222,97.05137859511525,62.681312621879464,51.8935665240763,52.674624530700406,67.93943222279196,69.90437017450567,84.82412174963302,8,
2199,2014-15,Tyson Chandler,68.31926200693216,98.61180960920272,73.85469883764922,55.8997308276792,51.19405540389212,56.38729875356624,74.49240581313519,85.14812267625835,8,
2199,2015-16,Tyson Chandler,72.05197929104628,97.03892651892554,60.52474711473029,64.95432791829117,51.59937633495392,71.33228693373226,70.56105935696212,81.74188393116084,8,
2199,2016-17,Tyson Chandler,73.53019291060096,95.07114758011893,78.88372077819577,58.42118630741929,53.28007633482638,70.17380281581137,64.36159657021041,78.84588245685438,8,
2199,2017-18,Tyson Chandler,66.18450151745589,91.90278051242724,71.38081155546185,51.79875409535437,50.63901134682624,68.3907273074273,65.19790666499665,78.00520247996104,8,
2199,2018-19,Tyson Chandler,67.13337260533847,82.49417932727332,64.18140256977446,63.07357904588905,52.07383815296032,60.2564798269164,64.41396090401284,72.59657206274522,8,
2199,2019-20,Tyson Chandler,51.343769222837395,42.62161882240354,32.750642715046084,25.444424109682746,35.30483286391174,36.86072302270966,34.407266507545806,59.974260037814176,8,
2200,2013-14,Pau Gasol,73.59760871830998,82.46596202998155,71.38867505717731,96.45023856620314,80.05165488811228,92.87288393773159,81.4322497261759,98.0,8,
2200,2014-15,Pau Gasol,73.25052079680307,86.89163642701463,60.71566057175493,97.28126238867598,81.01985564681499,92.16574627566136,83.77111161016633,97.82833168093198,8,
2200,2015-16,Pau Gasol,77.80073917674045,70.93038637124165,75.9859254828511,87.91657103452503,83.19433750643825,82.02095010249148,83.96845021351439,97.17746857261672,8,
2200,2016-17,Pau Gasol,76.28024551279955,69.05670955717275,67.7506906014438,78.26206092840624,78.29758201059585,80.52967575863786,77.86364752317152,92.46310564858919,8,
2200,2017-18,Pau Gasol,74.92885564800743,75.87531257311602,69.8855275545014,70.20869316123091,59.986450418068344,60.151010181301885,78.10584537405056,92.43722218356604,8,
2200,2018-19,Pau Gasol,67.55666735012394,65.1474276167918,63.64911330487268,54.71546734786522,45.849102722722265,46.86861451008468,69.52232015909445,87.78315581285499,8,
2202,2014-15,Jason Richardson,74.14081044570847,48.29738074506103,55.88801437161262,44.44808082212492,73.06022571008921,61.011176720130365,53.051841192487586,83.33000131299825,8,
2203,2013-14,Shane Battier,69.60975644886449,49.56880715763713,54.28490731644045,61.34073372266176,50.40353236157411,46.55906989001494,38.54767188457273,81.30174767646612,8,
2207,2013-14,Joe Johnson,81.36520986043398,44.200175681021996,58.671010279735256,81.78137849833593,87.96167402425228,89.27196824946822,66.86506095005956,89.83049173791466,8,
