NBA_ID,Season,Player,Ball Handle Rating,Speed with Ball Rating,Pass Accuracy Rating,Pass IQ Rating,Pass Vision Rating
708,2013-14,Kevin Garnett,51.22572606159477,39.9887352184287,60.8614783737077,65.40689348771964,70.97041273017891
708,2014-15,Kevin Garnett,50.984832892752515,42.71111743038762,67.45434315179179,68.45003085035523,73.62976631448686
708,2015-16,Kevin Garnett,54.920010700317846,65.11819810254775,74.48683877880453,69.8043987603137,73.95432039424966
951,2013-14,Ray Allen,77.25735470369703,72.80370938979392,72.79159725013304,73.6834631495429,73.42285885103735
959,2013-14,Steve Nash,87.31644836345299,91.83888161739402,96.05525427268499,97.088153432481,94.18278433718119
965,2013-14,Derek Fisher,86.36639820406143,76.41645588093563,71.30270769481999,69.80967692138171,69.69531091049936
977,2013-14,Kobe Bryant,77.89525252259932,60.36807269190426,74.24404660833666,79.81291064847568,78.8806966479043
977,2014-15,Kobe Bryant,81.65743580990282,71.85428817811359,87.51002295293775,91.06133781898828,88.51820140114914
977,2015-16,Kobe Bryant,82.48143613709689,72.12309272939407,76.12603394064199,78.97565505613825,78.81788339669893
979,2013-14,Jermaine ONeal,56.1640360228609,32.02138423769464,48.86616283435122,58.31215693825226,60.41190162814682
1495,2013-14,Tim Duncan,54.477783840965145,36.37167645317234,74.39573424722357,75.04091312280329,78.85452788930439
1495,2014-15,Tim Duncan,54.59823042538628,30.865709912289947,75.37993045031517,75.64165049100177,79.2312377527809
1495,2015-16,Tim Duncan,66.45375086973013,40.52214126116172,75.21611112773161,78.2008876908655,75.40315454782247
1497,2013-14,Chauncey Billups,86.49546004317932,73.83364741633362,77.8567190252724,79.4163861676237,76.64006897825033
1536,2013-14,Stephen Jackson,54.776178844242835,29.75124179041832,39.54473927316763,50.44757746147443,46.1159192095208
1712,2013-14,Antawn Jamison,47.30563096060969,53.06935728055107,32.19749148698605,37.697441152066084,45.179296554358444
1713,2013-14,Vince Carter,75.30721585544289,68.54877382941963,76.09842603653439,79.01689783912622,78.05831046862157
1713,2014-15,Vince Carter,74.25588607226244,65.83093979474579,64.64707161691021,68.65555683217377,67.18092452425832
1713,2015-16,Vince Carter,71.11550809344696,57.99021667108195,65.07054953831543,65.28576421293256,66.52473888557564
1713,2016-17,Vince Carter,72.15907430751828,44.87969113932665,71.81132476199066,69.36116991122701,74.78036422981864
1713,2017-18,Vince Carter,71.75249570065839,50.34692873253188,67.60754364781731,68.78646338296596,69.61637369644
1713,2018-19,Vince Carter,73.97290147096348,66.23373408550708,61.89310847936406,65.76583547578174,66.44734666492089
1713,2019-20,Vince Carter,73.71616424828571,48.5131030511337,64.22318266032406,66.70136982623671,65.61711371910499
1717,2013-14,Dirk Nowitzki,49.337706453592375,30.410106942906403,70.60750188385656,75.00206514883504,78.1698598976427
1717,2014-15,Dirk Nowitzki,48.92638214515887,30.426880456586513,62.253420201730435,67.8649069855796,72.87271408671191
1717,2015-16,Dirk Nowitzki,78.81896801929157,30.38182010811228,73.94489487988629,74.45694703783795,72.467655532165
1717,2016-17,Dirk Nowitzki,69.7255567619421,30.284607964221674,68.20272158441195,68.13531499683903,70.04295632209764
1717,2017-18,Dirk Nowitzki,70.79944737399826,29.55895955789052,74.18208538593812,70.30365478365529,71.11920473404777
1717,2018-19,Dirk Nowitzki,65.12376684530024,30.30060295861241,66.445247857713,62.43107752824995,60.159924537824175
1718,2013-14,Paul Pierce,73.62976313845898,50.744144385571175,72.5417474474053,77.39556314073333,77.84958117178495
1718,2014-15,Paul Pierce,73.03839013541997,54.594962900424186,70.20959962965742,72.62846561988799,71.97785582064944
1718,2015-16,Paul Pierce,73.48702996446652,49.93247562880032,65.0650265790071,69.26973555589187,65.5806191952625
1718,2016-17,Paul Pierce,39.91609905958423,26.548116432191524,37.31837794217344,41.64429566772401,37.1628674972258
1733,2013-14,Al Harrington,66.17500350295325,50.821916532075335,52.897490952535655,61.108928688407325,62.75620701842281
1737,2013-14,Nazr Mohammed,45.2974579736493,25.845487592458916,32.7580314686931,36.13887226660299,36.901636238496565
1737,2014-15,Nazr Mohammed,45.86302889774538,27.201940853493603,30.49176874746134,32.86242319272341,33.359049629466526
1737,2015-16,Nazr Mohammed,33.3926609060197,28.42862744872494,37.42950379766642,41.98856097462826,33.48203621633861
1740,2013-14,Rashard Lewis,58.57991819785288,61.910119571733624,61.391074741442345,65.86608862453508,65.6531904753149
1882,2013-14,Elton Brand,64.48875132105749,40.66264258300248,57.4519532651526,62.311872329621195,66.97509200194595
1882,2014-15,Elton Brand,63.645625230109616,41.57898713155969,54.63317801628688,60.00310153317859,62.50888994163576
1882,2015-16,Elton Brand,33.544951248578776,28.343967049379543,46.31311496177348,48.06718797245482,50.61650491008308
1889,2013-14,Andre Miller,86.83195129653834,74.99439798687908,87.25481286029,82.30304991591713,80.36665978954375
1889,2014-15,Andre Miller,87.83314881317976,77.2747456365695,86.69087050548508,81.91450988259258,80.89789687363687
1889,2015-16,Andre Miller,78.64895394637084,35.222072747724354,74.39855927210921,77.76662821471093,76.91044690377858
1890,2013-14,Shawn Marion,72.24989279803465,67.5689848036655,60.26233811982908,68.70454048818748,73.46674748167189
1890,2014-15,Shawn Marion,71.68240283697315,62.364187747210146,59.43610002843858,67.99992824665927,66.66614300286474
1891,2013-14,Jason Terry,81.22120692033855,77.07769530825145,74.41025172552497,73.66120848156594,70.78250607622205
1891,2014-15,Jason Terry,85.40959393741201,81.06507010314898,73.43872481459762,72.91705280082047,74.73103733182677
1891,2015-16,Jason Terry,77.08824913170015,77.34626026123291,74.05949395521527,72.18195780717451,73.16253026376098
1891,2016-17,Jason Terry,70.05333663061366,70.74372202017499,74.76038647159687,72.3612289135726,69.72866115914083
