NBA ID,Season,Player,Mid-Range Shot Rating,,Mid-Range Shot,Midrange Talent,Midrange Shot Making,Midrange Shot Creation,Midrange Pull Up Talent,Midrange Pull Up Shot Making,Midrange Pull Up Shot Making Efficiency,Stable Long Midrange FG%,Stable Short Midrange FG%,Midrange FGM Per 75,Midrange Pull Up FGM Per 75,Midrange Shot Making Efficiency,Midrange Pull Up Shot Making Efficiency,MID-RANGE FGM,Midrange Pull Up FG%,MID-RANGE FG_PCT
708,2013-14,Kevin Garnett,65.0460239113931,-0.3929946552667368,-0.6730831912741982,,,,,,,,,,,,,-0.6428123787316439,,-1.2482286295827323
708,2014-15,Kevin Garnett,65.0460239113931,-0.3929946552667368,-0.6730831912741982,,,,,,,,,,,,,-0.6428123787316439,,-1.2482286295827323
708,2015-16,Kevin Garnett,77.70308291984766,0.25277656995954806,-0.12936481549681023,-0.09592398724138804,0.08080321072764336,-1.411510531123482,-0.6238654666573673,-0.21241641193211153,-0.05861818965337772,0.22288480426308505,-0.23662097336169546,1.0135245740406078,0.04487645773186956,0.5217838261818404,-0.05861818965337772,-0.6428123787316439,0.33113629475317624,-1.2482286295827323
951,2013-14,Ray Allen,86.01005158381497,1.0015504201741368,0.5010784216118076,,,,,,,,,,,,,0.5083246809879485,,0.36339949346513106
959,2013-14,Steve Nash,65.0460239113931,-0.3929946552667368,-0.6730831912741982,,,,,,,,,,,,,-0.6428123787316439,,-1.2482286295827323
965,2013-14,Derek Fisher,81.14055855183015,0.5593097966976183,0.12872619514774628,,,,,,,,,,,,,0.12461232774808438,,0.20688967574132267
977,2013-14,Kobe Bryant,37.985639305980484,-1.5806889727578195,-1.6730831912741984,,,,,,,,,,,,,-1.642812378731644,,-2.2482286295827323
977,2014-15,Kobe Bryant,82.7668138869562,0.6881738862191235,0.23722556878600795,,,,,,,,,,,,,0.12461232774808438,,2.376877148506556
977,2015-16,Kobe Bryant,88.58214078082712,1.3003051864395974,0.7526202214383474,1.7833419176960217,0.9280038022128084,2.164989018079374,1.7171724526322103,0.7699293658415981,0.598159471330334,-2.787375571501135,-0.3242728536611903,1.794628153143945,2.4309058501403396,0.8174425610430713,0.598159471330334,-0.25910002549177974,0.15824380887220232,0.03768987279666518
979,2013-14,Jermaine ONeal,65.0460239113931,-0.3929946552667368,-0.6730831912741982,,,,,,,,,,,,,-0.6428123787316439,,-1.2482286295827323
1495,2013-14,Tim Duncan,65.0460239113931,-0.3929946552667368,-0.6730831912741982,,,,,,,,,,,,,-0.6428123787316439,,-1.2482286295827323
1495,2014-15,Tim Duncan,70.76928858994617,-0.14179759966926087,-0.4615834375933763,,,,,,,,,,,,,-0.6428123787316439,,2.9817664440337066
1495,2015-16,Tim Duncan,74.88027093632837,0.05475627051703095,-0.2960914694230667,-0.20575121545201586,-0.6756258888126826,-0.4299475633611838,-0.026413081005339574,-0.04357573137725519,0.3255347818653971,-2.8779497774975815,0.4676165476652838,0.8267389355593752,-0.33880666064537174,-0.45142617606971197,0.3255347818653971,-0.6428123787316439,0.35699832865226927,-1.2482286295827323
1497,2013-14,Chauncey Billups,76.66141270298179,0.1655502049514129,-0.20280657885591635,,,,,,,,,,,,,-0.25910002549177974,,0.8667689072254873
1536,2013-14,Stephen Jackson,37.985639305980484,-1.5806889727578195,-1.6730831912741984,,,,,,,,,,,,,-1.642812378731644,,-2.2482286295827323
1712,2013-14,Antawn Jamison,37.985639305980484,-1.5806889727578195,-1.6730831912741984,,,,,,,,,,,,,-1.642812378731644,,-2.2482286295827323
1713,2013-14,Vince Carter,81.19445005416377,0.5635801466427754,0.13232169096032026,,,,,,,,,,,,,0.12461232774808438,,0.2787995919928022
1713,2014-15,Vince Carter,75.65184126373931,0.10275094105204388,-0.2556815172761219,,,,,,,,,,,,,-0.25910002549177974,,-0.1907298611786225
1713,2015-16,Vince Carter,75.84983559271795,0.11506695716818734,-0.2453118321351168,-0.09592398724138804,-0.10073977316203485,0.28083941329427325,-0.13614923347203856,-0.36590793970925367,-0.2444986597431075,-1.1517119690947353,-0.9831731952229118,-0.41283848345244273,-0.02706412696386313,0.38627357270377616,-0.2444986597431075,-0.25910002549177974,0.11178793316457226,-0.11881994492714297
1713,2016-17,Vince Carter,75.66804772951981,0.10375904615671085,-0.2548327255543626,-0.49862382401369015,-0.4184399949689718,0.07775741996414264,-0.28246410342763717,-0.2891621758206826,0.05291009240046009,-0.437774110063927,-0.6386106312869655,-0.7779195041203069,-0.3987571478918157,-0.1927247830661347,0.05291009240046009,0.12461232774808438,-0.08792443972286865,0.49452934074724053
