NBA_ID,Season,Player,RotationRole,MIN,Hands,Hands Aggregate Z,Hands Rating,MissingMetricCount,MissingMetrics,Playmaking Talent Raw,Playmaking Talent Z,Playmaking Talent MatchedBy,Touches Per 75 Raw,Touches Per 75 Z,Touches Per 75 MatchedBy,TOUCHES Raw,TOUCHES Z,TOUCHES MatchedBy
708,2013-14,Kevin Garnett,Key Rotation,1107.0,0.46763347300956803,0.6838948908523964,87.72942869742786,2,Playmaking Talent | Touches Per 75,,,,,,,42.6,0.46763347300956803,season+player
708,2014-15,Kevin Garnett,Rotation,954.1,0.4774123069923327,0.692406137077482,87.84948944259853,2,Playmaking Talent | Touches Per 75,,,,,,,42.8,0.4774123069923327,season+player
708,2015-16,Kevin Garnett,Rotation,554.8,0.3333348338803753,0.567004800751969,86.08056189820857,0,,-0.41,-0.13599015913004434,season+player,79.45,1.2795383116844097,season+player,30.1,-0.14354365091323934,season+player
951,2013-14,Ray Allen,Starter,1934.5,-0.02619764312006039,0.2540769564855593,83.23463192342581,2,Playmaking Talent | Touches Per 75,,,,,,,32.5,-0.02619764312006039,season+player
959,2013-14,Steve Nash,Rotation,312.0,0.9614645891391964,1.1137128252192334,93.30524310476444,2,Playmaking Talent | Touches Per 75,,,,,,,52.7,0.9614645891391964,season+player
965,2013-14,Derek Fisher,Rotation,1425.6000000000001,-0.3146732456116254,0.002995192845525877,80.04035427099568,2,Playmaking Talent | Touches Per 75,,,,,,,26.6,-0.3146732456116254,season+player
977,2013-14,Kobe Bryant,Too Few Games,177.0,0.3475917278099503,0.5794136354712629,86.25560253311667,2,Playmaking Talent | Touches Per 75,,,,,,,73.2,0.3475917278099503,season+player
977,2014-15,Kobe Bryant,Starter,1207.5,1.660651218906888,1.722266930312874,97.8029896787428,2,Playmaking Talent | Touches Per 75,,,,,,,67.0,1.660651218906888,season+player
977,2015-16,Kobe Bryant,Starter,1861.2,0.548686378815532,0.7544412606741077,88.72456495666529,0,,0.46,0.8968546550976383,season+player,60.3,0.12022024762376862,season+player,45.9,0.6289842337251891,season+player
979,2013-14,Jermaine ONeal,Rotation,884.4000000000001,-0.47602400632724656,-0.13744036986839117,78.54180744307385,2,Playmaking Talent | Touches Per 75,,,,,,,23.3,-0.47602400632724656,season+player
