NBA ID,Season,Player,Standing Dunk Rating,,Standing Dunk,Standing_dunk_PG,Standing_dunk_FGM,dunkScore_total,dunkScore_average,dunkScore_max,Putback Frequency%,Putback Scoring Impact Per 75 Possessions,Stable Putback Points Per 75,Offensive Rebound,Offensive Rebounding Crashing Skill,PLAYER_HEIGHT_INCHES,Putback per Offensive Rebound
708,2013-14,Kevin Garnett,72.51738876784023,0.7095739766357915,0.21185358845188895,0.031132755860441053,0.0002971963407541323,,,,,,,0.314416637,,1.292408204451765,
708,2014-15,Kevin Garnett,61.892831322881776,0.3074686098961577,-0.12338480277387118,-0.41555271886150347,-0.387684215296616,,,,,,,-0.030423211,,1.292408204451765,
708,2015-16,Kevin Garnett,44.01974609205971,-0.049916495975966334,-0.4213395625226914,-0.5767176340173052,-0.504078638787827,,,,,0.04089566359792068,-0.6893005405348979,-0.515873696,-0.9893469723326912,1.292408204451765,
951,2013-14,Ray Allen,42.40478696491443,-0.0796546892069993,-0.4461325269577757,-0.4729539215197342,-0.387684215296616,,,,,,,-0.664135886,,-0.4951375465764251,
959,2013-14,Steve Nash,30.451813959774086,-0.28924727224979013,-0.6208715037633573,-0.5767176340173052,-0.504078638787827,,,,,,,-0.849756336,,-1.0909861302524886,
965,2013-14,Derek Fisher,29.737107058672322,-0.36156550270361326,-0.6811637784728652,-0.5767176340173052,-0.504078638787827,,,,,,,-0.73624595,,-1.686834713928552,
977,2013-14,Kobe Bryant,26.771202957067608,-1.0891944504655862,-1.2877937268240953,-1.5767176340173052,-1.5040786387878269,,,,,,,-1.478906996,,-0.1972132547383934,
977,2014-15,Kobe Bryant,53.578538320723446,0.13460641627554004,-0.2675013664571776,-0.21601520485908215,-0.31008793296914194,,,,,,,-0.469708891,,-0.1972132547383934,
977,2015-16,Kobe Bryant,43.81100107387788,-0.05376037015356227,-0.4245442305076524,-0.5384613157732513,-0.46528049762409,,,,,0.14756731423156924,-0.16420097378229886,-0.469454001,-0.7813910010825368,-0.1972132547383934,
979,2013-14,Jermaine ONeal,80.64034679187493,1.1309812607848353,0.5631841392834,0.5709719133043136,0.2718841844869132,,,,,,,0.853067836,,1.292408204451765,
1495,2013-14,Tim Duncan,82.36640771696521,1.3613512332771132,0.7552453882819494,0.5492588678144452,0.7762600196154944,,,,,,,1.038102017,,1.292408204451765,
1495,2014-15,Tim Duncan,83.20630336180538,1.4734485143091216,0.8487017687790676,0.6365541731512633,0.9314525842704424,,,,,,,1.106787025,,1.292408204451765,
1495,2015-16,Tim Duncan,64.59496314034378,0.36364854405259084,-0.07654715198975037,-0.45254138791365467,-0.387684215296616,,,,,2.014321200320419,1.0115654474246079,0.636969756,-0.6046284255199054,1.292408204451765,
1497,2013-14,Chauncey Billups,32.57731132091958,-0.25244795969781536,-0.5901916288883573,-0.5767176340173052,-0.504078638787827,,,,,,,-0.604317337,,-1.0909861302524886,
1536,2013-14,Stephen Jackson,27.10350508534504,-1.0076703553990098,-1.2198264507395875,-1.5767176340173052,-1.5040786387878269,,,,,,,-1.531017371,,0.39863532893767,
1712,2013-14,Antawn Jamison,27.499244193569787,-0.9105831870208961,-1.1388841186348335,-1.5767176340173052,-1.5040786387878269,,,,,,,-1.181403006,,0.6965596207757017,
1713,2013-14,Vince Carter,56.88128715211907,0.20327375910610568,-0.2102528653319187,-0.29617130022757615,-0.15489536831419393,,,,,,,-0.221822996,,-0.1972132547383934,
1713,2014-15,Vince Carter,45.81991675607184,-0.016767778986540256,-0.3937032177386418,-0.5002049975291973,-0.426482356460353,,,,,,,-0.357687896,,-0.1972132547383934,
1713,2015-16,Vince Carter,64.53380794919187,0.36237706847540563,-0.07760719112932846,-0.07173423319579288,-0.03850094482298288,,,,,-0.8658133667880922,-0.08429451797212067,-0.203499249,0.5703228120434675,-0.1972132547383934,
1713,2016-17,Vince Carter,42.60150004652121,-0.07603237361178354,-0.44311257409691673,-0.4037781131880202,-0.31008793296914194,,,,,-1.5591790959068077,-0.5523180448603068,-0.567131791,-0.9893469723326912,-0.1972132547383934,
1713,2017-18,Vince Carter,48.79171059216189,0.03795545075652937,-0.34808003282446714,-0.3590523750425154,-0.31008793296914194,,,,,0.04089566359792068,-0.7577917883721935,-0.530129127,-0.8333799938950753,-0.1972132547383934,
1713,2018-19,Vince Carter,52.22186021498792,0.10639976619313027,-0.2910174713830236,-0.3109368967428251,-0.19369350947793093,,,,,-0.8658133667880922,-0.438165965131481,-0.442060536,-0.34468346145721235,-0.1972132547383934,
1713,2019-20,Vince Carter,46.44800981142835,-0.005201942840408906,-0.3840606896265502,-0.5346356839488459,-0.46528049762409,,,,,0.25423896486521785,-0.25552263756535953,-0.533736478,0.05043288391808114,-0.1972132547383934,
1717,2013-14,Dirk Nowitzki,61.44731798145222,0.2982059565993865,-0.131107149319179,-0.41891032126058264,-0.31008793296914194,,,,,,,-0.597994579,,1.590332496289797,
1717,2014-15,Dirk Nowitzki,56.81690282108916,0.20193514658743003,-0.2113688770650475,-0.5439265040938304,-0.46528049762409,,,,,,,-0.455503908,,1.590332496289797,
1717,2015-16,Dirk Nowitzki,50.34274357247394,0.06733111359577136,-0.32358931281427045,-0.5430520739625377,-0.46528049762409,,,,,0.09423148891474496,-0.12995534986365107,-0.363438465,-0.6046284255199054,1.590332496289797,
1717,2016-17,Dirk Nowitzki,47.886588524267125,0.021288344759669512,-0.36197552953489637,-0.4832021894207289,-0.426482356460353,,,,,-0.5991342402039708,-0.4267507571585984,-0.592388476,-0.843777792457583,1.590332496289797,
1717,2017-18,Dirk Nowitzki,51.86605007402654,0.09900212920065497,-0.2971849392393663,-0.5439265040938304,-0.46528049762409,,,,,0.7875972180334608,-0.25552263756535953,-0.563393201,-0.4382636485197819,1.590332496289797,
1717,2018-19,Dirk Nowitzki,48.993916351344765,0.04167890965894582,-0.3449757559968227,-0.47770128091504793,-0.426482356460353,,,,,0.04089566359792068,-0.7349613724264282,-0.820276826,-0.6462196197699364,1.590332496289797,
1718,2013-14,Paul Pierce,54.69417095407461,0.15780149783277708,-0.24816344543252888,-0.3073931535791653,-0.19369350947793093,,,,,,,-0.682975944,,0.1007110370996383,
1718,2014-15,Paul Pierce,47.452994560544155,0.01330405533694205,-0.3686320941136257,-0.5075418256855913,-0.426482356460353,,,,,,,-0.43450008,,0.1007110370996383,
1718,2015-16,Paul Pierce,39.03613642198699,-0.140624568167173,-0.49696359221205433,-0.5767176340173052,-0.504078638787827,,,,,0.04089566359792068,-0.769206996345076,-0.819137458,-0.9269601809576449,0.1007110370996383,
1718,2016-17,Paul Pierce,26.888333254042358,-1.060458728803962,-1.2638365307820147,-1.4757209538530027,-1.46528049762409,,,,,0.011348546648422986,-1.5865636687789546,-1.818543916,-1.396672454269751,0.1007110370996383,
1733,2013-14,Al Harrington,56.4195558816143,0.1936739193768623,-0.2182563268448821,-0.3539308395372262,-0.387684215296616,,,,,,,-0.366088082,,0.6965596207757017,
1737,2013-14,Nazr Mohammed,29.14184959347877,-0.5076007581294032,-0.8029145138289655,-1.4504717838119272,-1.348886074132879,,,,,,,0.420401979,,0.9944839126137334,
1737,2014-15,Nazr Mohammed,28.1393718244317,-0.7535398779586082,-1.0079558828102653,-1.4669386338387156,-1.46528049762409,,,,,,,-0.847917407,,0.9944839126137334,
1737,2015-16,Nazr Mohammed,27.401776086958467,-0.9344951590282092,-1.1588197168382706,-1.5767176340173052,-1.5040786387878269,,,,,0.0007974654401594532,0.0003596258987845405,-1.324164761,-1.282296670082166,0.9944839126137334,
1740,2013-14,Rashard Lewis,59.253715757059425,0.25259884456458437,-0.16913015555500469,-0.4083898337434678,-0.348886074132879,,,,,,,-0.227152615,,0.9944839126137334,
1882,2013-14,Elton Brand,66.30133969666592,0.43049522900434506,-0.020816547586970324,-0.30001440069044916,-0.19369350947793093,,,,,,,0.519290147,,0.6965596207757017,
1882,2014-15,Elton Brand,55.089673116194334,0.1660243703377472,-0.24130797227092432,-0.5065810505698729,-0.46528049762409,,,,,,,0.094188936,,0.6965596207757017,
1882,2015-16,Elton Brand,26.842827790579214,-1.0716226408398202,-1.2731439716178152,-1.5767176340173052,-1.5040786387878269,,,,,0.009176986911373398,-1.5409028368874242,-1.291146091,-1.770993202520029,0.6965596207757017,
1889,2013-14,Andre Miller,31.722987443021225,-0.2672391008105258,-0.6025231189931113,-0.5767176340173052,-0.504078638787827,,,,,,,-0.405044966,,-1.3889104220905202,
1889,2014-15,Andre Miller,32.48721771716197,-0.254007774705924,-0.5914920588681112,-0.5767176340173052,-0.504078638787827,,,,,,,-0.316796485,,-1.3889104220905202,
