Season,Player,FT_PCT
2025-26,A.J. Lawson,0.778
2025-26,AJ Green,0.855
2025-26,AJ Johnson,0.85
2025-26,Aaron Gordon,0.767
2025-26,Aaron Holiday,0.854
2025-26,Aaron Nesmith,0.829
2025-26,Aaron Wiggins,0.736
2025-26,Ace Bailey,0.75
2025-26,Adama Bal,0.9
2025-26,Adem Bona,0.708
2025-26,Adou Thiero,0.636
2025-26,Ajay Mitchell,0.87
2025-26,Al Horford,0.846
2025-26,Alex Antetokounmpo,0.733
2025-26,Alex Caruso,0.804
2025-26,Alex Morales,1.0
2025-26,Alex Sarr,0.692
2025-26,Alijah Martin,0.789
2025-26,Alondes Williams,0.875
2025-26,Alperen Sengun,0.691
2025-26,Amari Williams,0.714
2025-26,Amen Thompson,0.779
2025-26,Amir Coffey,0.786
2025-26,Andersson Garcia,0.778
2025-26,Andre Drummond,0.631
2025-26,Andre Jackson Jr.,0.625
2025-26,Andrew Nembhard,0.825
2025-26,Andrew Wiggins,0.784
2025-26,Anfernee Simons,0.896
2025-26,Anthony Black,0.732
2025-26,Anthony Davis,0.728
2025-26,Anthony Edwards,0.796
2025-26,Anthony Gill,0.739
2025-26,Antonio Reeves,0.0
2025-26,Ariel Hukporti,0.788
2025-26,Asa Newell,0.552
2025-26,Ausar Thompson,0.571
2025-26,Austin Reaves,0.871
2025-26,Ayo Dosunmu,0.876
2025-26,Bam Adebayo,0.778
2025-26,Baylor Scheierman,0.903
2025-26,Ben Saraf,0.83
2025-26,Ben Sheppard,0.765
2025-26,Bennedict Mathurin,0.869
2025-26,Bez Mbeng,0.64
2025-26,Bilal Coulibaly,0.746
2025-26,Bismack Biyombo,0.714
2025-26,Blake Hinson,0.75
2025-26,Blake Wesley,0.553
2025-26,Bobby Portis,0.706
2025-26,Bobi Klintman,0.0
2025-26,Bogdan Bogdanović,0.8
2025-26,Bones Hyland,0.78
2025-26,Bradley Beal,0.75
2025-26,Branden Carlson,0.577
2025-26,Brandin Podziemski,0.797
2025-26,Brandon Clarke,0.5
2025-26,Brandon Ingram,0.82
2025-26,Brandon Miller,0.892
2025-26,Brandon Williams,0.793
2025-26,Brice Sensabaugh,0.826
2025-26,Bronny James,0.857
2025-26,Brook Lopez,0.757
2025-26,Brooks Barnhizer,0.7
2025-26,Bruce Brown,0.762
2025-26,Bryce McGowens,0.779
2025-26,Bub Carrington,0.73
2025-26,Buddy Boeheim,0.0
2025-26,Buddy Hield,0.811
2025-26,CJ Huntley,0.0
2025-26,CJ McCollum,0.772
2025-26,Cade Cunningham,0.812
2025-26,Caleb Houstan,1.0
2025-26,Caleb Love,0.735
2025-26,Caleb Martin,0.607
2025-26,Cam Christie,0.76
2025-26,Cam Spencer,0.94
2025-26,Cam Thomas,0.811
2025-26,Cam Whitmore,0.742
2025-26,Cameron Johnson,0.839
2025-26,Cameron Payne,0.864
2025-26,Caris LeVert,0.679
2025-26,Carter Bryant,0.714
2025-26,Cason Wallace,0.809
2025-26,Cedric Coward,0.843
2025-26,Chaney Johnson,0.8
2025-26,Charles Bassey,0.7
2025-26,Chaz Lanier,0.833
2025-26,Chet Holmgren,0.792
2025-26,Chris Boucher,0.75
2025-26,Chris Livingston,1.0
2025-26,Chris Mañon,0.75
2025-26,Chris Paul,0.5
2025-26,Chris Youngblood,0.9
2025-26,Christian Braun,0.782
2025-26,Christian Koloko,0.667
2025-26,Chucky Hepburn,0.0
2025-26,Clint Capela,0.577
2025-26,Coby White,0.817
2025-26,Cody Martin,0.5
2025-26,Cody Williams,0.706
2025-26,Colby Jones,0.0
2025-26,Cole Anthony,0.615
2025-26,Colin Castleton,1.0
2025-26,Collin Gillespie,0.874
2025-26,Collin Murray-Boyles,0.657
2025-26,Collin Sexton,0.855
2025-26,Cooper Flagg,0.827
2025-26,Corey Kispert,0.794
2025-26,Cormac Ryan,0.923
2025-26,Craig Porter Jr.,0.6
2025-26,Curtis Jones,0.5
2025-26,D'Angelo Russell,0.717
2025-26,DaQuan Jeffries,1.0
2025-26,DaRon Holmes II,0.786
2025-26,Daeqwon Plowden,0.857
2025-26,Dalano Banton,1.0
2025-26,Dalen Terry,0.533
2025-26,Dalton Knecht,0.727
2025-26,Daniel Gafford,0.683
2025-26,Daniss Jenkins,0.832
2025-26,Danny Wolf,0.771
2025-26,Dario Saric,1.0
2025-26,Dariq Whitehead,0.714
2025-26,Darius Brown,0.0
2025-26,Darius Garland,0.861
2025-26,David Jones Garcia,0.5
2025-26,David Roddy,1.0
2025-26,Davion Mitchell,0.646
2025-26,Day'Ron Sharpe,0.678
2025-26,De'Aaron Fox,0.76
2025-26,De'Andre Hunter,0.867
2025-26,De'Anthony Melton,0.826
2025-26,DeAndre Jordan,0.647
2025-26,DeJon Jarreau,0.783
2025-26,DeMar DeRozan,0.868
2025-26,Dean Wade,0.711
2025-26,Deandre Ayton,0.645
2025-26,Dejounte Murray,0.867
2025-26,Deni Avdija,0.802
2025-26,Dennis Schröder,0.834
2025-26,Dereck Lively II,0.8
2025-26,Derik Queen,0.795
2025-26,Derrick Jones Jr.,0.763
2025-26,Derrick White,0.902
2025-26,Desmond Bane,0.908
2025-26,Devin Booker,0.873
2025-26,Devin Carter,0.713
2025-26,Devin Vassell,0.815
2025-26,Dillon Brooks,0.842
2025-26,Dillon Jones,1.0
2025-26,Domantas Sabonis,0.727
2025-26,Dominick Barlow,0.718
2025-26,Donovan Clingan,0.68
2025-26,Donovan Mitchell,0.865
2025-26,Donte DiVincenzo,0.743
2025-26,Dorian Finney-Smith,0.889
2025-26,Doug McDermott,0.889
2025-26,Drake Powell,0.896
2025-26,Draymond Green,0.702
2025-26,Drew Eubanks,0.561
2025-26,Drew Peterson,0.5
2025-26,Drew Timme,0.556
2025-26,Dru Smith,0.829
2025-26,Duncan Robinson,0.755
2025-26,Duop Reath,0.833
2025-26,Dwight Powell,0.696
2025-26,Dylan Cardwell,0.51
2025-26,Dylan Harper,0.756
2025-26,Dyson Daniels,0.615
2025-26,E.J. Liddell,0.808
2025-26,Egor Dëmin,0.831
2025-26,Elijah Harkless,0.766
2025-26,Emanuel Miller,0.5
2025-26,Enrique Freeman,0.75
2025-26,Eric Gordon,0.5
2025-26,Ethan Thompson,0.787
2025-26,Evan Mobley,0.606
2025-26,Franz Wagner,0.823
2025-26,GG Jackson,0.742
2025-26,Gabe Vincent,0.87
2025-26,Garrett Temple,0.667
2025-26,Garrison Mathews,0.826
2025-26,Gary Harris,0.889
2025-26,Gary Payton II,0.65
2025-26,Gary Trent Jr.,0.769
2025-26,Giannis Antetokounmpo,0.65
2025-26,Goga Bitadze,0.711
2025-26,Gradey Dick,0.875
2025-26,Grant Nelson,0.7
2025-26,Grant Williams,0.815
2025-26,Grayson Allen,0.857
2025-26,Guerschon Yabusele,0.75
2025-26,Gui Santos,0.725
2025-26,Harrison Barnes,0.829
2025-26,Harrison Ingram,0.0
2025-26,Hayden Gray,1.0
2025-26,Haywood Highsmith,0.857
2025-26,Herbert Jones,0.806
2025-26,Hugo González,0.5
2025-26,Hunter Dickinson,1.0
2025-26,Hunter Sallis,0.5
2025-26,Hunter Tyson,0.846
2025-26,Immanuel Quickley,0.821
2025-26,Isaac Jones,0.75
2025-26,Isaac Okoro,0.795
2025-26,Isaiah Collier,0.722
2025-26,Isaiah Crawford,0.833
2025-26,Isaiah Hartenstein,0.61
2025-26,Isaiah Jackson,0.648
2025-26,Isaiah Joe,0.894
2025-26,Isaiah Livers,0.75
2025-26,Isaiah Stevens,1.0
2025-26,Isaiah Stewart,0.756
2025-26,Ivica Zubac,0.711
2025-26,JD Davison,0.684
2025-26,Ja Morant,0.897
2025-26,Ja'Kobe Walter,0.789
2025-26,Jabari Smith Jr.,0.775
2025-26,Jabari Walker,0.735
2025-26,Jacob Toppin,0.0
2025-26,Jaden Hardy,0.733
2025-26,Jaden Ivey,0.809
2025-26,Jaden McDaniels,0.835
2025-26,Jae'Sean Tate,0.636
2025-26,Jahmai Mashack,0.543
2025-26,Jahmir Young,1.0
2025-26,Jahmyl Telfort,0.25
2025-26,Jaime Jaquez Jr.,0.769
2025-26,Jake LaRavia,0.763
2025-26,Jakob Poeltl,0.602
2025-26,Jalen Brunson,0.841
2025-26,Jalen Duren,0.747
2025-26,Jalen Green,0.747
2025-26,Jalen Johnson,0.788
2025-26,Jalen Pickett,0.789
2025-26,Jalen Slawson,0.706
2025-26,Jalen Smith,0.742
2025-26,Jalen Suggs,0.855
2025-26,Jalen Williams,0.837
2025-26,Jalen Wilson,0.719
2025-26,Jamal Cain,0.848
2025-26,Jamal Murray,0.887
2025-26,Jamal Shead,0.784
2025-26,Jamaree Bouyea,0.686
2025-26,James Harden,0.884
2025-26,James Wiseman,0.5
2025-26,Jamir Watkins,0.695
2025-26,Jamison Battle,0.643
2025-26,Jarace Walker,0.749
2025-26,Jared McCain,0.864
2025-26,Jaren Jackson Jr.,0.803
2025-26,Jarred Vanderbilt,0.589
2025-26,Jarrett Allen,0.709
2025-26,Jase Richardson,0.717
2025-26,Javon Small,0.829
2025-26,Javonte Cooke,1.0
2025-26,Javonte Green,0.84
2025-26,Jaxson Hayes,0.653
2025-26,Jay Huff,0.828
2025-26,Jaylen Brown,0.795
2025-26,Jaylen Clark,0.657
2025-26,Jaylen Wells,0.784
2025-26,Jaylin Williams,0.793
2025-26,Jaylon Tyson,0.738
2025-26,Jayson Kent,1.0
2025-26,Jayson Tatum,0.823
2025-26,Jeff Green,1.0
2025-26,Jerami Grant,0.814
2025-26,Jeremiah Fears,0.789
2025-26,Jeremiah Robinson-Earl,0.944
2025-26,Jeremy Sochan,0.731
2025-26,Jericho Sims,0.62
2025-26,Jett Howard,0.949
2025-26,Jevon Carter,0.789
2025-26,Jimmy Butler III,0.864
2025-26,Joan Beringer,0.703
2025-26,Jock Landale,0.635
2025-26,Joe Ingles,1.0
2025-26,Joel Embiid,0.854
2025-26,John Collins,0.766
2025-26,John Konchar,0.727
2025-26,John Poulakidas,0.857
2025-26,John Tonje,1.0
2025-26,Johni Broome,0.333
2025-26,Johnny Furphy,0.486
2025-26,Johnny Juzang,0.625
2025-26,Jonas Valančiūnas,0.772
2025-26,Jonathan Isaac,0.603
2025-26,Jonathan Kuminga,0.724
2025-26,Jonathan Mogbo,0.643
2025-26,Jordan Clarkson,0.83
2025-26,Jordan Goodwin,0.696
2025-26,Jordan Hawkins,0.852
2025-26,Jordan McLaughlin,0.857
2025-26,Jordan Miller,0.777
2025-26,Jordan Poole,0.86
2025-26,Jordan Walsh,0.772
2025-26,Jose Alvarado,0.761
2025-26,Josh Giddey,0.763
2025-26,Josh Green,0.893
2025-26,Josh Hart,0.72
2025-26,Josh Minott,0.787
2025-26,Josh Oduro,0.5
2025-26,Josh Okogie,0.594
2025-26,Jrue Holiday,0.838
2025-26,Julian Champagnie,0.844
2025-26,Julian Phillips,0.783
2025-26,Julian Reese,0.636
2025-26,Julian Strawther,0.814
2025-26,Julius Randle,0.802
2025-26,Justin Champagnie,0.784
2025-26,Justin Edwards,0.846
2025-26,Jusuf Nurkić,0.549
2025-26,KJ Simpson,0.611
2025-26,Kadary Richmond,1.0
2025-26,Kam Jones,0.5
2025-26,Karl-Anthony Towns,0.858
2025-26,Karlo Matković,0.732
2025-26,Kasparas Jakučionis,0.879
2025-26,Kawhi Leonard,0.892
2025-26,Keaton Wallace,0.667
2025-26,Keegan Murray,0.776
2025-26,Kel'el Ware,0.74
2025-26,Keldon Johnson,0.794
2025-26,Kelly Olynyk,0.711
2025-26,Kelly Oubre Jr.,0.766
2025-26,Kennedy Chandler,0.651
2025-26,Kenrich Williams,0.635
2025-26,Kentavious Caldwell-Pope,0.913
2025-26,Keon Ellis,0.729
2025-26,Keshad Johnson,0.724
2025-26,Keshon Gilbert,1.0
2025-26,Kevin Durant,0.874
2025-26,Kevin Huerter,0.775
2025-26,Kevin Love,0.841
2025-26,Kevin McCullar Jr.,0.4
2025-26,Kevin Porter Jr.,0.878
2025-26,Kevon Looney,0.7
2025-26,Keyonte George,0.892
2025-26,Khaman Maluach,0.71
2025-26,Khris Middleton,0.875
2025-26,Killian Hayes,0.929
2025-26,Klay Thompson,0.766
2025-26,Kobe Brown,0.797
2025-26,Kobe Bufkin,0.917
2025-26,Kobe Sanders,0.826
2025-26,Koby Brea,1.0
2025-26,Kon Knueppel,0.863
2025-26,Kris Dunn,0.765
2025-26,Kris Murray,0.684
2025-26,Kristaps Porziņģis,0.842
2025-26,Kyle Anderson,0.706
2025-26,Kyle Filipowski,0.75
2025-26,Kyle Kuzma,0.726
2025-26,Kyle Lowry,0.833
2025-26,Kyshawn George,0.802
2025-26,LJ Cryer,0.895
2025-26,LaMelo Ball,0.899
2025-26,Lachlan Olbrich,0.375
2025-26,Landry Shamet,0.711
2025-26,Larry Nance Jr.,0.462
2025-26,Lauri Markkanen,0.896
2025-26,Lawson Lovering,0.4
2025-26,LeBron James,0.737
2025-26,Leaky Black,0.875
2025-26,Leonard Miller,0.736
2025-26,Liam McNeeley,0.821
2025-26,Lindy Waters III,0.667
2025-26,Lonzo Ball,0.667
2025-26,Lucas Williamson,1.0
2025-26,Luguentz Dort,0.759
2025-26,Luka Dončić,0.78
2025-26,Luka Garza,0.769
2025-26,Luke Kennard,0.913
2025-26,Luke Kornet,0.825
2025-26,Luke Travers,1.0
2025-26,Mac McClung,0.778
2025-26,Malachi Smith,1.0
2025-26,Malaki Branham,0.824
2025-26,Malevy Leons,0.789
2025-26,Malik Monk,0.879
2025-26,MarJon Beauchamp,0.684
2025-26,Marcus Sasser,0.833
2025-26,Marcus Smart,0.822
2025-26,Mark Sears,0.75
2025-26,Mark Williams,0.771
2025-26,Markelle Fultz,0.0
2025-26,Marvin Bagley III,0.66
2025-26,Mason Plumlee,0.643
2025-26,Matas Buzelis,0.786
2025-26,Matisse Thybulle,0.84
2025-26,Max Christie,0.899
2025-26,Max Shulga,1.0
2025-26,Max Strus,0.778
2025-26,Maxi Kleber,0.538
2025-26,Maxime Raynaud,0.786
2025-26,Micah Peavy,0.759
2025-26,Micah Potter,0.842
2025-26,Michael Porter Jr.,0.859
2025-26,Mikal Bridges,0.827
2025-26,Mike Conley,0.9
2025-26,Miles Bridges,0.822
2025-26,Miles Kelly,1.0
2025-26,Miles McBride,0.787
2025-26,Mitchell Robinson,0.408
2025-26,Mo Bamba,0.0
2025-26,Mohamed Diawara,0.75
2025-26,Monte Morris,0.5
2025-26,Moritz Wagner,0.819
2025-26,Moses Moody,0.77
2025-26,Mouhamadou Gueye,0.75
2025-26,Mouhamed Gueye,0.645
2025-26,Moussa Cisse,0.469
2025-26,Moussa Diabaté,0.659
2025-26,Myles Turner,0.74
2025-26,Myron Gardner,0.731
2025-26,N'Faly Dante,1.0
2025-26,Nae'Qwan Tomlin,0.77
2025-26,Naji Marshall,0.76
2025-26,Nate Williams,0.867
2025-26,Naz Reid,0.732
2025-26,Neemias Queta,0.703
2025-26,Nic Claxton,0.616
2025-26,Nick Richards,0.644
2025-26,Nick Smith Jr.,0.733
2025-26,Nickeil Alexander-Walker,0.902
2025-26,Nicolas Batum,0.818
2025-26,Nigel Hayes-Davis,0.5
2025-26,Nikola Jokić,0.831
2025-26,Nikola Jović,0.683
2025-26,Nikola Topić,0.4
2025-26,Nikola Vučević,0.828
2025-26,Nique Clifford,0.722
2025-26,Noa Essengue,0.0
2025-26,Noah Clowney,0.804
2025-26,Noah Penda,0.688
2025-26,Nolan Traore,0.787
2025-26,Norchad Omier,1.0
2025-26,Norman Powell,0.827
2025-26,OG Anunoby,0.828
2025-26,Obi Toppin,0.913
2025-26,Ochai Agbaji,0.837
2025-26,Olivier Sarr,0.4
2025-26,Olivier-Maxence Prosper,0.754
2025-26,Omer Yurtseven,0.667
2025-26,Onyeka Okongwu,0.757
2025-26,Orlando Robinson,0.0
2025-26,Oscar Tshiebwe,0.551
2025-26,Oso Ighodaro,0.453
2025-26,Ousmane Dieng,0.711
2025-26,P.J. Washington,0.687
2025-26,PJ Hall,0.793
2025-26,Pacôme Dadiet,0.818
2025-26,Paolo Banchero,0.775
2025-26,Pascal Siakam,0.693
2025-26,Pat Connaughton,0.65
2025-26,Pat Spencer,0.772
2025-26,Patrick Baldwin Jr.,0.714
2025-26,Patrick Williams,0.72
2025-26,Paul George,0.82
2025-26,Paul Reed,0.664
2025-26,Payton Pritchard,0.89
2025-26,Payton Sandfort,0.5
2025-26,Pelle Larsson,0.797
2025-26,Pete Nance,0.364
2025-26,Peyton Watson,0.73
2025-26,Precious Achiuwa,0.554
2025-26,Quentin Grimes,0.84
2025-26,Quenton Jackson,0.824
2025-26,Quinten Post,0.791
2025-26,RJ Barrett,0.717
2025-26,Rasheer Fleming,0.559
2025-26,RayJ Dennis,0.889
2025-26,Rayan Rupert,0.778
2025-26,Reed Sheppard,0.802
2025-26,Riley Minix,1.0
2025-26,Rob Dillingham,0.745
2025-26,Robert Williams III,0.596
2025-26,Rocco Zikarsky,1.0
2025-26,Ron Harper Jr.,0.75
2025-26,Ronald Holland II,0.805
2025-26,Royce O'Neale,0.711
2025-26,Rudy Gobert,0.526
2025-26,Rui Hachimura,0.694
2025-26,Russell Westbrook,0.694
2025-26,Ryan Dunn,0.489
2025-26,Ryan Kalkbrenner,0.716
2025-26,Ryan Nembhard,0.806
2025-26,Ryan Rollins,0.796
2025-26,Saddiq Bey,0.841
2025-26,Sam Hauser,0.85
2025-26,Sam Merrill,0.855
2025-26,Sandro Mamukelashvili,0.747
2025-26,Santi Aldama,0.667
2025-26,Scoot Henderson,0.84
2025-26,Scottie Barnes,0.815
2025-26,Scotty Pippen Jr.,0.783
2025-26,Sean Pedulla,0.0
2025-26,Seth Curry,0.917
2025-26,Shaedon Sharpe,0.787
2025-26,Shai Gilgeous-Alexander,0.879
2025-26,Sharife Cooper,0.833
2025-26,Sidy Cissoko,0.659
2025-26,Simone Fontecchio,0.843
2025-26,Sion James,0.837
2025-26,Skal Labissiere,0.0
2025-26,Spencer Jones,0.608
2025-26,Stanley Umude,0.0
2025-26,Stephen Curry,0.923
2025-26,Stephon Castle,0.734
2025-26,Steven Adams,0.58
2025-26,Svi Mykhailiuk,0.893
2025-26,T.J. McConnell,0.862
2025-26,Taelon Peter,0.625
2025-26,Taj Gibson,0.875
2025-26,Tari Eason,0.776
2025-26,Taurean Prince,1.0
2025-26,Taylor Hendricks,0.681
2025-26,Terance Mann,0.788
2025-26,Terrence Shannon Jr.,0.8
2025-26,Thanasis Antetokounmpo,0.567
2025-26,Thomas Bryant,0.803
2025-26,Tidjane Salaün,0.65
2025-26,Tim Hardaway Jr.,0.811
2025-26,Tobias Harris,0.866
2025-26,Toby Okani,0.125
2025-26,Tolu Smith,0.667
2025-26,Tony Bradley,0.744
2025-26,Tosan Evbuomwan,0.0
2025-26,Toumani Camara,0.708
2025-26,Trae Young,0.825
2025-26,Trayce Jackson-Davis,0.514
2025-26,Tre Johnson,0.874
2025-26,Tre Jones,0.841
2025-26,Tre Mann,0.852
2025-26,Trendon Watford,0.779
2025-26,Trentyn Flowers,0.0
2025-26,Trevon Scott,0.667
2025-26,Trevor Keels,0.0
2025-26,Trey Alexander,0.6
2025-26,Trey Jemison III,1.0
2025-26,Trey Murphy III,0.886
2025-26,Tristan Enaruna,0.75
2025-26,Tristan Vukcevic,0.784
2025-26,Tristan da Silva,0.884
2025-26,Tristen Newton,0.667
2025-26,Ty Jerome,0.875
2025-26,TyTy Washington Jr.,0.0
2025-26,Tyler Burton,0.852
2025-26,Tyler Herro,0.917
2025-26,Tyler Kolek,0.7
2025-26,Tyler Smith,0.667
2025-26,Tyrese Martin,0.679
2025-26,Tyrese Maxey,0.892
2025-26,Tyrese Proctor,0.889
2025-26,Tyson Etienne,0.833
2025-26,Tyus Jones,0.778
2025-26,VJ Edgecombe,0.818
2025-26,Victor Wembanyama,0.827
2025-26,Vince Williams Jr.,0.78
2025-26,Vladislav Goldin,1.0
2025-26,Vít Krejčí,0.745
2025-26,Walker Kessler,0.7
2025-26,Walter Clayton Jr.,0.901
2025-26,Wendell Carter Jr.,0.792
2025-26,Wendell Moore Jr.,1.0
2025-26,Will Richard,0.852
2025-26,Will Riley,0.8
2025-26,Xavier Tillman,0.25
2025-26,Yang Hansen,0.824
2025-26,Yanic Konan Niederhäuser,0.758
2025-26,Yuki Kawamura,0.895
2025-26,Yves Missi,0.559
2025-26,Zaccharie Risacher,0.644
2025-26,Zach Collins,0.7
2025-26,Zach Edey,0.781
2025-26,Zach LaVine,0.88
2025-26,Zeke Nnaji,0.773
2025-26,Ziaire Williams,0.85
2025-26,Zion Williamson,0.716
2025-26,Zyon Pullin,1.0
2024-25,A.J. Lawson,0.683
2024-25,AJ Green,0.815
2024-25,AJ Johnson,0.865
2024-25,Aaron Gordon,0.81
2024-25,Aaron Holiday,0.829
2024-25,Aaron Nesmith,0.913
2024-25,Aaron Wiggins,0.831
2024-25,Adam Flagler,0.5
2024-25,Adama Sanogo,0.0
2024-25,Adem Bona,0.67
2024-25,Ajay Mitchell,0.829
2024-25,Al Horford,0.895
2024-25,Alec Burks,0.776
2024-25,Alex Caruso,0.824
2024-25,Alex Ducas,1.0
2024-25,Alex Len,0.471
2024-25,Alex Reese,0.75
2024-25,Alex Sarr,0.679
2024-25,Alondes Williams,0.0
2024-25,Alperen Sengun,0.692
2024-25,Amen Thompson,0.684
2024-25,Amir Coffey,0.891
2024-25,Andre Drummond,0.622
2024-25,Andre Jackson Jr.,0.5
2024-25,Andrew Nembhard,0.794
2024-25,Andrew Wiggins,0.763
2024-25,Anfernee Simons,0.902
2024-25,Anthony Black,0.761
2024-25,Anthony Davis,0.775
2024-25,Anthony Edwards,0.837
2024-25,Anthony Gill,0.66
2024-25,Anton Watson,0.0
2024-25,Antonio Reeves,0.8
2024-25,Ariel Hukporti,0.462
2024-25,Armel Traoré,0.286
2024-25,Ausar Thompson,0.641
2024-25,Austin Reaves,0.877
2024-25,Ayo Dosunmu,0.785
2024-25,Bam Adebayo,0.765
2024-25,Baylor Scheierman,0.75
2024-25,Ben Sheppard,0.889
2024-25,Ben Simmons,0.727
2024-25,Bennedict Mathurin,0.831
2024-25,Bilal Coulibaly,0.746
2024-25,Bismack Biyombo,0.4
2024-25,Blake Wesley,0.623
2024-25,Bobby Portis,0.836
2024-25,Bobi Klintman,0.5
2024-25,Bogdan Bogdanović,0.879
2024-25,Bol Bol,0.769
2024-25,Bones Hyland,0.885
2024-25,Bradley Beal,0.803
2024-25,Branden Carlson,0.778
2024-25,Brandin Podziemski,0.758
2024-25,Brandon Boston,0.788
2024-25,Brandon Clarke,0.701
2024-25,Brandon Ingram,0.855
2024-25,Brandon Miller,0.861
2024-25,Brandon Williams,0.833
2024-25,Braxton Key,0.5
2024-25,Brice Sensabaugh,0.89
2024-25,Bronny James,0.786
2024-25,Brook Lopez,0.826
2024-25,Bruce Brown,0.815
2024-25,Bruno Fernando,0.75
2024-25,Bryce McGowens,0.833
2024-25,Bub Carrington,0.812
2024-25,Buddy Hield,0.828
2024-25,CJ McCollum,0.717
2024-25,Cade Cunningham,0.846
2024-25,Caleb Houstan,0.882
2024-25,Caleb Martin,0.622
2024-25,Cam Christie,0.5
2024-25,Cam Reddish,0.615
2024-25,Cam Spencer,1.0
2024-25,Cam Thomas,0.881
2024-25,Cam Whitmore,0.75
2024-25,Cameron Johnson,0.893
2024-25,Cameron Payne,0.907
2024-25,Caris LeVert,0.71
2024-25,Cason Wallace,0.811
2024-25,Charles Bassey,0.636
2024-25,Chet Holmgren,0.754
2024-25,Chris Boucher,0.782
2024-25,Chris Duarte,0.75
2024-25,Chris Livingston,0.75
2024-25,Chris Paul,0.924
2024-25,Christian Braun,0.827
2024-25,Christian Koloko,0.714
2024-25,Chuma Okeke,0.667
2024-25,Clint Capela,0.536
2024-25,Coby White,0.902
2024-25,Cody Martin,0.705
2024-25,Cody Williams,0.725
2024-25,Colby Jones,0.657
2024-25,Cole Anthony,0.823
2024-25,Cole Swider,0.0
2024-25,Colin Castleton,0.763
2024-25,Collin Gillespie,0.864
2024-25,Collin Sexton,0.865
2024-25,Corey Kispert,0.852
2024-25,Cory Joseph,0.778
2024-25,Craig Porter Jr.,0.719
2024-25,Cui Yongxi,0.5
2024-25,D'Angelo Russell,0.834
2024-25,D.J. Carton,1.0
2024-25,DaQuan Jeffries,0.8
2024-25,Daeqwon Plowden,1.0
2024-25,Daishen Nix,0.5
2024-25,Dalano Banton,0.728
2024-25,Dalen Terry,0.71
2024-25,Dalton Knecht,0.762
2024-25,Damian Lillard,0.921
2024-25,Damion Baugh,0.867
2024-25,Damion Lee,0.952
2024-25,Daniel Gafford,0.689
2024-25,Daniel Theis,0.838
2024-25,Daniss Jenkins,0.0
2024-25,Danté Exum,0.742
2024-25,Dario Šarić,0.7
2024-25,Dariq Whitehead,0.6
2024-25,Darius Garland,0.878
2024-25,David Duke Jr.,0.5
2024-25,David Roddy,0.769
2024-25,Davion Mitchell,0.69
2024-25,Day'Ron Sharpe,0.757
2024-25,De'Aaron Fox,0.827
2024-25,De'Andre Hunter,0.846
2024-25,De'Anthony Melton,0.625
2024-25,DeAndre Jordan,0.422
2024-25,DeMar DeRozan,0.857
2024-25,Dean Wade,0.533
2024-25,Deandre Ayton,0.667
2024-25,Dejounte Murray,0.823
2024-25,Delon Wright,0.6
2024-25,Deni Avdija,0.78
2024-25,Dennis Schröder,0.838
2024-25,Dereck Lively II,0.63
2024-25,Derrick Jones Jr.,0.703
2024-25,Derrick White,0.839
2024-25,Desmond Bane,0.894
2024-25,Devin Booker,0.894
2024-25,Devin Carter,0.591
2024-25,Devin Vassell,0.792
2024-25,Dillon Brooks,0.818
2024-25,Dillon Jones,0.607
2024-25,Domantas Sabonis,0.754
2024-25,Dominick Barlow,0.636
2024-25,Donovan Clingan,0.596
2024-25,Donovan Mitchell,0.823
2024-25,Donte DiVincenzo,0.778
2024-25,Dorian Finney-Smith,0.667
2024-25,Doug McDermott,0.6
2024-25,Draymond Green,0.687
2024-25,Drew Eubanks,0.662
2024-25,Drew Peterson,0.778
2024-25,Drew Timme,0.625
2024-25,Dru Smith,0.75
2024-25,Duncan Robinson,0.887
2024-25,Duop Reath,0.909
2024-25,Dwight Powell,0.651
2024-25,Dyson Daniels,0.593
2024-25,E.J. Liddell,1.0
2024-25,Elfrid Payton,0.571
2024-25,Elijah Harkless,0.5
2024-25,Emanuel Miller,1.0
2024-25,Emoni Bates,0.0
2024-25,Enrique Freeman,0.684
2024-25,Eric Gordon,0.75
2024-25,Evan Mobley,0.725
2024-25,Franz Wagner,0.871
2024-25,Fred VanVleet,0.81
2024-25,GG Jackson,0.725
2024-25,Gabe Vincent,0.714
2024-25,Garrett Temple,0.917
2024-25,Garrison Mathews,0.821
2024-25,Gary Harris,0.583
2024-25,Gary Payton II,0.711
2024-25,Gary Trent Jr.,0.848
2024-25,Georges Niang,0.793
2024-25,Giannis Antetokounmpo,0.617
2024-25,Goga Bitadze,0.639
2024-25,Gradey Dick,0.858
2024-25,Grant Williams,0.838
2024-25,Grayson Allen,0.816
2024-25,Guerschon Yabusele,0.725
2024-25,Gui Santos,0.69
2024-25,Harrison Barnes,0.809
2024-25,Harrison Ingram,0.0
2024-25,Haywood Highsmith,0.721
2024-25,Herbert Jones,0.825
2024-25,Hunter Tyson,0.75
2024-25,Immanuel Quickley,0.867
2024-25,Isaac Jones,0.639
2024-25,Isaac Okoro,0.717
2024-25,Isaiah Collier,0.682
2024-25,Isaiah Crawford,0.5
2024-25,Isaiah Hartenstein,0.675
2024-25,Isaiah Jackson,0.5
2024-25,Isaiah Joe,0.821
2024-25,Isaiah Mobley,0.5
2024-25,Isaiah Stevens,0.0
2024-25,Isaiah Stewart,0.759
2024-25,Isaiah Wong,0.735
2024-25,Ivica Zubac,0.661
