NBA_ID,Season,Player,RotationRole,MIN,Driving Dunk,Driving Dunk Aggregate Z,Driving Dunk Rating,MissingMetricCount,MissingMetrics,Drving Dunk_PG Raw,Drving Dunk_PG Z,Drving Dunk_PG MatchedBy,Drving Dunk_FGM Raw,Drving Dunk_FGM Z,Drving Dunk_FGM MatchedBy,Rim Shot Creation Raw,Rim Shot Creation Z,Rim Shot Creation MatchedBy,dunkScore_max Raw,dunkScore_max Z,dunkScore_max MatchedBy,dunkScore_total Raw,dunkScore_total Z,dunkScore_total MatchedBy,dunkScore_average Raw,dunkScore_average Z,dunkScore_average MatchedBy,jumpSubscore_average Raw,jumpSubscore_average Z,jumpSubscore_average MatchedBy,powerSubscore_average Raw,powerSubscore_average Z,powerSubscore_average MatchedBy,styleSubscore_average Raw,styleSubscore_average Z,styleSubscore_average MatchedBy,hangTime_average Raw,hangTime_average Z,hangTime_average MatchedBy,takeoffDistance_average Raw,takeoffDistance_average Z,takeoffDistance_average MatchedBy,DRIVES Raw,DRIVES Z,DRIVES MatchedBy,DRIVE_FGM Raw,DRIVE_FGM Z,DRIVE_FGM MatchedBy
1495,2014-15,Tim Duncan,Star,2225.2999999999997,-0.45891512120142175,-0.19514148687179897,60.2066653611725,9,Rim Shot Creation | dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.06493506493506493,-0.48331551829066444,season+player,5.0,-0.3494572403632765,season+player,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-0.7370528083420753,season+player,0.1,-0.7073892679470112,season+player
1495,2015-16,Tim Duncan,Starter,1537.2,-0.7776764965304811,-0.5411246234292376,52.91693033047258,8,dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.01639344262295082,-0.6779608747577645,season+player,1.0,-0.5973002709937776,season+player,-1.16,-1.1461301881186252,season+player,,,,,,,,,,,,,,,,,,,,,,,,,0.3,-0.8155479764141181,season+player,0.1,-0.7073892679470112,season+player
1497,2013-14,Chauncey Billups,Rotation,309.7,-0.6534196857500264,-0.406256460408965,55.020967887750764,9,Rim Shot Creation | dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.0,-0.7436963679506009,season+player,0.0,-0.6592610286514028,season+player,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,-0.08292640774171937,season+player,0.1,-0.7073892679470112,season+player
1536,2013-14,Stephen Jackson,Garbage Time,107.10000000000001,-1.7172442852527088,-1.5609301447690695,33.998153401554234,9,Rim Shot Creation | dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.0,-1.743696367950601,season+player,0.0,-1.659261028651403,season+player,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,-1.815547976414118,season+player,0.0,-1.8257623593103736,season+player
1712,2013-14,Antawn Jamison,Garbage Time,248.60000000000002,-1.6936011839428011,-1.5352679567429866,34.70800155512767,9,Rim Shot Creation | dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.0,-1.743696367950601,season+player,0.0,-1.659261028651403,season+player,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,-1.7370528083420753,season+player,0.2,-1.589016176583649,season+player
1713,2013-14,Vince Carter,Starter,1976.3999999999999,-0.2451745577949866,0.03685221205289929,65.86338178681268,9,Rim Shot Creation | dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.07407407407407407,-0.44666932463482156,season+player,6.0,-0.28749648270565126,season+player,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,0.3618795446665226,season+player,1.1,0.47634164568661175,season+player
1713,2014-15,Vince Carter,Rotation,1089.0,-0.5026586117245585,-0.242620608329165,59.04041762394887,9,Rim Shot Creation | dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.045454545454545456,-0.5614297731886453,season+player,3.0,-0.47337875567852705,season+player,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,-0.3969070800298903,season+player,0.3,-0.47064308522028664,season+player
1713,2015-16,Vince Carter,Rotation,1008.0,-0.21201270236129,0.07284604206185374,66.70665320896651,8,dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.11666666666666667,-0.2758787747282484,season+player,7.0,-0.22553572504802602,season+player,-0.2,0.04087726493745975,season+player,,,,,,,,,,,,,,,,,,,,,,,,,1.7,-0.44923719207791873,season+player,0.4,-0.3522699938569243,season+player
1713,2016-17,Vince Carter,Starter,1803.1,-0.12756633249077404,0.1645040099964248,68.85403638415758,8,dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.1095890410958904,-0.30425909838753007,season+player,8.0,-0.16357496739040076,season+player,0.02,0.3128998062628126,season+player,,,,,,,,,,,,,,,,,,,,,,,,,2.3,-0.29224685593383337,season+player,0.5,-0.23389690249356204,season+player
1713,2017-18,Vince Carter,Key Rotation,1026.6,-0.22520491161526168,0.05852723718438245,66.3711890766537,8,dunkScore_max | dunkScore_total | dunkScore_average | jumpSubscore_average | powerSubscore_average | styleSubscore_average | hangTime_average | takeoffDistance_average,0.13793103448275862,-0.1906115286729428,season+player,8.0,-0.16357496739040076,season+player,-0.36,-0.15695731057188772,season+player,,,,,,,,,,,,,,,,,,,,,,,,,1.3,-0.5538974161739757,season+player,0.3,-0.47064308522028664,season+player
