NBA ID,Season,Player,Driving Dunk Rating,,Driving Dunk,Drving Dunk_PG,Drving Dunk_FGM,Rim Shot Creation,dunkScore_max,dunkScore_total,dunkScore_average,jumpSubscore_average,powerSubscore_average,styleSubscore_average,hangTime_average,takeoffDistance_average,DRIVES,DRIVE_FGM
708,2013-14,Kevin Garnett,54.08626338568011,-0.4658954398753239,-0.7083663034004564,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,-0.8155479764141181,-0.7073892679470112
708,2014-15,Kevin Garnett,53.936482853054905,-0.4755315885598104,-0.7172442852527086,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,-0.8155479764141181,-0.8257623593103735
708,2015-16,Kevin Garnett,50.15327723209744,-0.7189245798155791,-0.9414872509940817,-0.6381736025621003,-0.5973002709937776,-1.8880098462786785,,,,,,,,,-0.8678780884621465,-0.8257623593103735
951,2013-14,Ray Allen,60.74255836004062,-0.17332474247923726,-0.43881490615345226,-0.5789073918644493,-0.47337875567852705,,,,,,,,,,0.07406392840236609,0.0028492802331624603
959,2013-14,Steve Nash,61.154907386376536,-0.15653759779346305,-0.4233485646978278,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,1.800957625987306,0.47634164568661175
965,2013-14,Derek Fisher,54.41733660361401,-0.4445958043516243,-0.6887425113824457,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,-0.5538974161739757,-0.7073892679470112
977,2013-14,Kobe Bryant,47.084412114805964,-0.9163603883585523,-1.1233889196608573,-1.0753855204900975,-1.5973002709937776,,,,,,,,,,0.23540763130724374,0.10526450845784538
977,2014-15,Kobe Bryant,64.95823046310366,-0.0017004799685533594,-0.2806939453977281,-0.5145612202498568,-0.5353395133361523,,,,,,,,,,1.3823167296030778,0.8314609197766983
977,2015-16,Kobe Bryant,69.22935825237425,0.18052408510904944,-0.11280670799986395,-0.5006742416013269,-0.4114179980209018,0.560193025649497,,,,,,,,,0.3618795446665226,0.35796855432324937
979,2013-14,Jermaine ONeal,66.33694087219492,0.057065401745617875,-0.22655173065274964,,-0.22553572504802602,,,,,,,,,,-0.8417130324381323,-0.8257623593103735
1495,2013-14,Tim Duncan,60.949588898213996,-0.16489632049514147,-0.4310496277348666,-0.4727595378990454,-0.3494572403632765,,,,,,,,,,-0.6585576402700327,-0.47064308522028664
1495,2014-15,Tim Duncan,60.2066653611725,-0.19514148687179897,-0.45891512120142175,-0.48331551829066444,-0.3494572403632765,,,,,,,,,,-0.7370528083420753,-0.7073892679470112
1495,2015-16,Tim Duncan,52.91693033047258,-0.5411246234292376,-0.7776764965304811,-0.6779608747577645,-0.5973002709937776,-1.1461301881186252,,,,,,,,,-0.8155479764141181,-0.7073892679470112
1497,2013-14,Chauncey Billups,55.020967887750764,-0.406256460408965,-0.6534196857500264,-0.7436963679506009,-0.6592610286514028,,,,,,,,,,-0.08292640774171937,-0.7073892679470112
1536,2013-14,Stephen Jackson,33.998153401554234,-1.5609301447690695,-1.7172442852527088,-1.743696367950601,-1.659261028651403,,,,,,,,,,-1.815547976414118,-1.8257623593103736
1712,2013-14,Antawn Jamison,34.70800155512767,-1.5352679567429866,-1.6936011839428011,-1.743696367950601,-1.659261028651403,,,,,,,,,,-1.7370528083420753,-1.589016176583649
1713,2013-14,Vince Carter,65.86338178681268,0.03685221205289929,-0.2451745577949866,-0.44666932463482156,-0.28749648270565126,,,,,,,,,,0.3618795446665226,0.47634164568661175
1713,2014-15,Vince Carter,59.04041762394887,-0.242620608329165,-0.5026586117245585,-0.5614297731886453,-0.47337875567852705,,,,,,,,,,-0.3969070800298903,-0.47064308522028664
1713,2015-16,Vince Carter,66.70665320896651,0.07284604206185374,-0.21201270236129,-0.2758787747282484,-0.22553572504802602,0.04087726493745975,,,,,,,,,-0.44923719207791873,-0.3522699938569243
1713,2016-17,Vince Carter,68.85403638415758,0.1645040099964248,-0.12756633249077404,-0.30425909838753007,-0.16357496739040076,0.3128998062628126,,,,,,,,,-0.29224685593383337,-0.23389690249356204
1713,2017-18,Vince Carter,66.3711890766537,0.05852723718438245,-0.22520491161526168,-0.1906115286729428,-0.16357496739040076,-0.15695731057188772,,,,,,,,,-0.5538974161739757,-0.47064308522028664
1713,2018-19,Vince Carter,69.7856356394901,0.2042679867564368,-0.0909309633606665,-0.1633211583138478,0.02230730558247503,0.13979455269213353,,,,,,,,,-0.475402248101933,-0.3522699938569243
1713,2019-20,Vince Carter,60.45219646118409,-0.18514566819028724,-0.4497057679879607,-0.6768652832045505,-0.5973002709937776,0.15215921366146776,,,,,,,,,-0.5800624721979899,-0.47064308522028664
1717,2013-14,Dirk Nowitzki,60.732885022140565,-0.1737185538199976,-0.43917773263641324,-0.49307980015291203,-0.3494572403632765,,,,,,,,,,-0.6585576402700327,-0.47064308522028664
1717,2014-15,Dirk Nowitzki,57.89821080958256,-0.28912099957350856,-0.5455003779848211,-0.587467858154639,-0.47337875567852705,,,,,,,,,,-0.7108877523180611,-0.5890161765836489
1717,2015-16,Dirk Nowitzki,57.89705019410529,-0.2891682493999833,-0.5455439102211637,-0.47637202896639946,-0.3494572403632765,-0.7380963761305961,,,,,,,,,-0.7632178643660896,-0.7073892679470112
1717,2016-17,Dirk Nowitzki,54.991851591480696,-0.4076343131116227,-0.6546891297664896,-0.5951828462927112,-0.5353395133361523,-0.7999196809772672,,,,,,,,,-0.8417130324381323,-0.7073892679470112
1717,2017-18,Dirk Nowitzki,53.12505224573341,-0.527735074835685,-0.7653404301915729,-0.6916201980186135,-0.5973002709937776,-1.010118917455949,,,,,,,,,-0.8678780884621465,-0.8257623593103735
1717,2018-19,Dirk Nowitzki,52.441076330430064,-0.5717387480831495,-0.8058819188417391,-0.5864467567834236,-0.5353395133361523,-1.4305173904133124,,,,,,,,,-0.8940431444861608,-0.8257623593103735
1718,2013-14,Paul Pierce,73.19145528614817,0.34964050879668324,0.04300372930002599,-0.15558282218535777,0.02230730558247503,,,,,,,,,,0.9113457211708218,0.35796855432324937
1718,2014-15,Paul Pierce,69.38812990468509,0.18730102514683739,-0.10656297384431437,-0.1943997809967624,-0.03965345207515023,,,,,,,,,,-0.030596295693690972,-0.11552381113019979
1718,2015-16,Paul Pierce,56.49351607257043,-0.3463075388485108,-0.5981875120775045,-0.6847277637629093,-0.5973002709937776,-0.5897204444985854,,,,,,,,,-0.29224685593383337,-0.47064308522028664
1718,2016-17,Paul Pierce,32.66310805890545,-1.6091942480620487,-1.761710995676151,-1.58330176456008,-1.5973002709937776,-2.343964763627973,,,,,,,,,-1.6323925842460185,-1.589016176583649
1733,2013-14,Al Harrington,65.7286948739175,0.031103294539724498,-0.25047115366779926,-0.15401032607368598,-0.3494572403632765,,,,,,,,,,-0.18758663183777632,-0.23389690249356204
1737,2013-14,Nazr Mohammed,33.88031850039212,-1.5651900718738092,-1.7211690436563107,-1.743696367950601,-1.659261028651403,,,,,,,,,,-1.8678780884621466,-1.8257623593103736
1737,2014-15,Nazr Mohammed,33.88031850039212,-1.5651900718738092,-1.7211690436563107,-1.743696367950601,-1.659261028651403,,,,,,,,,,-1.8678780884621466,-1.8257623593103736
1737,2015-16,Nazr Mohammed,33.03826564344536,-1.595631679186707,-1.7492155221952308,-1.743696367950601,-1.659261028651403,-1.7751903590385987,,,,,,,,,-1.8940431444861607,-1.8257623593103736
