NBA_ID,Season,Player,RotationRole,MIN,MissingCount,MissingMetrics
1630625,2025-26,Dalano Banton,Too Few Games,61.800000000000004,7,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | Role Adjusted Stable eFG%
1630631,2025-26,Jose Alvarado,Key Rotation,1373.1,1,Points Over Expectation / 75
1630639,2025-26,AJ Lawson,Garbage Time,225.60000000000002,1,Points Over Expectation / 75
1630643,2025-26,Jay Huff,Key Rotation,1722.0,1,Points Over Expectation / 75
1630644,2025-26,Mac McClung,Too Few Games,135.3,1,Points Over Expectation / 75
1630649,2022-23,Stanley Umude,Too Few Games,2.1,1,Self-Created Shot Making Efficiency
1630649,2025-26,Stanley Umude,Too Few Games,6.6,1,Points Over Expectation / 75
1630658,2025-26,Colin Castleton,,21.2,7,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | Role Adjusted Stable eFG%
1630679,2024-25,Ethan Thompson,,,10,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | EFG_PCT | TS_PCT | Role Adjusted Stable eFG% | Points Per Possession
1630679,2025-26,Ethan Thompson,Rotation,652.8,1,Points Over Expectation / 75
1630692,2025-26,Jordan Goodwin,Key Rotation,1575.0,1,Points Over Expectation / 75
1630693,2021-22,Jaime Echenique,,3.1,7,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | Role Adjusted Stable eFG%
1630695,2025-26,Micah Potter,Rotation,907.1,1,Points Over Expectation / 75
1630696,2025-26,Dru Smith,Rotation,1141.0,1,Points Over Expectation / 75
1630699,2025-26,MarJon Beauchamp,Too Few Games,196.0,1,Points Over Expectation / 75
1630700,2025-26,Dyson Daniels,Star,2523.2000000000003,1,Points Over Expectation / 75
1630701,2022-23,Michael Foster Jr,Too Few Games,1.0,4,Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation
1630702,2025-26,Jaden Hardy,Rotation,900.6,1,Points Over Expectation / 75
1630703,2025-26,Scoot Henderson,Too Few Games,747.0,1,Points Over Expectation / 75
1630787,2021-22,Cameron McGriff,,45.900000000000006,7,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | Role Adjusted Stable eFG%
1630792,2023-24,Malcolm Hill,,,10,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | EFG_PCT | TS_PCT | Role Adjusted Stable eFG% | Points Per Possession
1630811,2025-26,Keaton Wallace,Garbage Time,535.3,1,Points Over Expectation / 75
1630828,2025-26,Alex Antetokounmpo,,20.4,7,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | Role Adjusted Stable eFG%
1631093,2025-26,Jaden Ivey,Rotation,669.7,1,Points Over Expectation / 75
1631094,2025-26,Paolo Banchero,Star,2498.4,1,Points Over Expectation / 75
1631095,2025-26,Jabari Smith Jr,Starter,2702.7000000000003,1,Points Over Expectation / 75
1631096,2025-26,Chet Holmgren,Star,1994.1,1,Points Over Expectation / 75
1631097,2025-26,Bennedict Mathurin,Starter,1620.0,1,Points Over Expectation / 75
1631098,2022-23,Johnny Davis,,422.8,7,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | Role Adjusted Stable eFG%
1631098,2023-24,Johnny Davis,,615.0,7,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | Role Adjusted Stable eFG%
1631098,2024-25,Johnny Davis,,241.39999999999998,7,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | Role Adjusted Stable eFG%
1631099,2025-26,Keegan Murray,Starter,793.5,1,Points Over Expectation / 75
1631101,2025-26,Shaedon Sharpe,Starter,1470.0,1,Points Over Expectation / 75
1631102,2025-26,TyTy Washington Jr,Too Few Games,88.0,1,Points Over Expectation / 75
1631103,2025-26,Malaki Branham,Garbage Time,274.40000000000003,1,Points Over Expectation / 75
1631104,2025-26,Blake Wesley,Rotation,359.59999999999997,1,Points Over Expectation / 75
1631105,2025-26,Jalen Duren,Star,1974.0,1,Points Over Expectation / 75
1631106,2025-26,Tari Eason,Starter,1548.0,1,Points Over Expectation / 75
1631107,2025-26,Nikola Jovic,Rotation,808.4,1,Points Over Expectation / 75
1631108,2025-26,Max Christie,Starter,2240.7000000000003,1,Points Over Expectation / 75
1631109,2025-26,Mark Williams,Key Rotation,1416.0,1,Points Over Expectation / 75
1631110,2025-26,Jeremy Sochan,Rotation,466.4,1,Points Over Expectation / 75
1631111,2025-26,Wendell Moore Jr,Too Few Games,59.400000000000006,1,Points Over Expectation / 75
1631114,2025-26,Jalen Williams,Star,937.1999999999999,1,Points Over Expectation / 75
1631115,2025-26,Orlando Robinson,Too Few Games,24.8,1,Points Over Expectation / 75
1631116,2025-26,Patrick Baldwin Jr,Too Few Games,102.60000000000001,7,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | Role Adjusted Stable eFG%
1631117,2025-26,Walker Kessler,Too Few Games,154.0,1,Points Over Expectation / 75
1631119,2025-26,Jaylin Williams,Rotation,1280.5,1,Points Over Expectation / 75
1631120,2025-26,JD Davison,Garbage Time,218.4,1,Points Over Expectation / 75
1631121,2025-26,Bryce McGowens,Rotation,882.0,1,Points Over Expectation / 75
1631123,2025-26,Jamaree Bouyea,Rotation,644.0,1,Points Over Expectation / 75
1631124,2025-26,Julian Strawther,Rotation,860.6999999999999,1,Points Over Expectation / 75
1631126,2025-26,Caleb Love,Key Rotation,1014.3,1,Points Over Expectation / 75
1631127,2025-26,Harrison Ingram,Too Few Games,25.900000000000002,1,Points Over Expectation / 75
1631128,2025-26,Christian Braun,Starter,1399.2,1,Points Over Expectation / 75
1631131,2025-26,Oscar Tshiebwe,Too Few Games,448.20000000000005,1,Points Over Expectation / 75
1631132,2025-26,Christian Koloko,Rotation,356.4,1,Points Over Expectation / 75
1631133,2025-26,Jabari Walker,Rotation,761.6,1,Points Over Expectation / 75
1631157,2025-26,Ryan Rollins,Starter,2375.4,1,Points Over Expectation / 75
1631159,2025-26,Leonard Miller,Garbage Time,717.6,1,Points Over Expectation / 75
1631165,2025-26,Keon Ellis,Rotation,1476.0,1,Points Over Expectation / 75
1631166,2025-26,Drew Timme,Garbage Time,234.89999999999998,1,Points Over Expectation / 75
1631169,2025-26,Josh Minott,Rotation,833.0,1,Points Over Expectation / 75
1631170,2025-26,Jaime Jaquez Jr,Key Rotation,2122.5,1,Points Over Expectation / 75
1631172,2025-26,Ousmane Dieng,Rotation,1100.1000000000001,1,Points Over Expectation / 75
1631199,2023-24,Ron Harper Jr,Too Few Games,3.7,4,Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation
1631199,2025-26,Ron Harper Jr,Garbage Time,316.1,1,Points Over Expectation / 75
1631200,2025-26,Kris Murray,Key Rotation,1333.8,1,Points Over Expectation / 75
1631204,2025-26,Marcus Sasser,Garbage Time,456.0,1,Points Over Expectation / 75
1631205,2025-26,Buddy Boeheim,Too Few Games,15.2,7,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | Role Adjusted Stable eFG%
1631207,2025-26,Dalen Terry,Rotation,552.0,1,Points Over Expectation / 75
1631210,2025-26,Jacob Toppin,Too Few Games,17.0,7,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | Role Adjusted Stable eFG%
1631211,2022-23,Trevor Keels,Too Few Games,8.100000000000001,1,Self-Created Shot Making Efficiency
1631211,2025-26,Trevor Keels,,15.2,7,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | Role Adjusted Stable eFG%
1631212,2025-26,Peyton Watson,Starter,1598.4,1,Points Over Expectation / 75
1631213,2025-26,Tyrese Martin,Rotation,777.4,1,Points Over Expectation / 75
1631214,2022-23,Alondes Williams,Too Few Games,5.3,4,Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation
1631216,2025-26,Caleb Houstan,Garbage Time,75.60000000000001,1,Points Over Expectation / 75
1631217,2025-26,Moussa Diabate,Star,1898.0,1,Points Over Expectation / 75
1631218,2025-26,Trayce Jackson-Davis,Rotation,498.20000000000005,1,Points Over Expectation / 75
1631221,2025-26,Collin Gillespie,Star,2280.0,1,Points Over Expectation / 75
1631222,2025-26,Jake LaRavia,Key Rotation,2058.2000000000003,1,Points Over Expectation / 75
1631223,2025-26,David Roddy,,73.0,7,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | Role Adjusted Stable eFG%
1631230,2025-26,Dominick Barlow,Key Rotation,1689.8,1,Points Over Expectation / 75
1631243,2025-26,Mouhamed Gueye,Rotation,1178.1000000000001,1,Points Over Expectation / 75
1631245,2025-26,Quenton Jackson,Rotation,896.7,1,Points Over Expectation / 75
1631246,2025-26,Vince Williams Jr,Key Rotation,820.0,1,Points Over Expectation / 75
1631247,2025-26,Luke Travers,Garbage Time,103.19999999999999,1,Points Over Expectation / 75
1631248,2025-26,Baylor Scheierman,Rotation,1432.2,1,Points Over Expectation / 75
1631250,2025-26,Pete Nance,Garbage Time,737.9,1,Points Over Expectation / 75
1631255,2025-26,Karlo Matkovic,Rotation,911.4,1,Points Over Expectation / 75
1631260,2025-26,AJ Green,Starter,2269.8,1,Points Over Expectation / 75
1631288,2025-26,Jamal Cain,Garbage Time,484.0,1,Points Over Expectation / 75
1631320,2022-23,Chima Moneke,Too Few Games,8.0,1,Self-Created Shot Making Efficiency
1631321,2025-26,Sidy Cissoko,Key Rotation,1432.5,1,Points Over Expectation / 75
1631323,2025-26,Simone Fontecchio,Rotation,1169.0,1,Points Over Expectation / 75
1631338,2025-26,Mouhamadou Gueye,,45.4,7,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | Role Adjusted Stable eFG%
1631342,2025-26,Daeqwon Plowden,Key Rotation,844.8,1,Points Over Expectation / 75
1631367,2022-23,Jacob Gilyard,Too Few Games,40.8,1,Self-Created Shot Making Efficiency
1631376,2023-24,Dmytro Skapintsev,Too Few Games,2.2,1,Self-Created Shot Making Efficiency
1631451,2025-26,Javonte Cooke,Garbage Time,93.10000000000001,1,Points Over Expectation / 75
1631457,2025-26,Alex Morales,,23.6,7,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | Role Adjusted Stable eFG%
1631466,2025-26,Nate Williams,,239.40000000000003,7,Points Over Expectation / 75 | Stable eFG% | Overall Shot Making Efficiency | Overall Shot Making | Self-Created Shot Making Efficiency | Overall Shot Creation | Role Adjusted Stable eFG%
1641705,2025-26,Victor Wembanyama,Star,1868.8,1,Points Over Expectation / 75
1641706,2025-26,Brandon Miller,Starter,1969.5,1,Points Over Expectation / 75
1641707,2025-26,Taylor Hendricks,Rotation,1121.0,1,Points Over Expectation / 75
1641708,2025-26,Amen Thompson,Star,2954.6,1,Points Over Expectation / 75
