NBA ID,Season,Player,Layup Rating,,Layup,Finishing Talent,Rim Shot Creation,Drives Per 75 Possessions,Rim Shot Making,Rim Shot Making Efficiency,Paint Shooting Talent,Rim Makes Consistency,DRIVES,DRIVE_FGM,Stable Rim FG%,Contact Finish Rate,Rim Attempt Consistency,less_than_5ft_FGM,Rim FG%,Drive Foul Drawn Rate,less_than_5ft_FG_PCT
708,2013-14,Kevin Garnett,68.93788786591222,-0.364165825735443,-0.6469052070781551,,,,,,,,-0.8158537014155335,-0.707601619579336,,,,-0.027645249973207827,,,-0.1417987397288669
708,2014-15,Kevin Garnett,68.43124010409088,-0.40958648239147033,-0.6941951937260091,,,,,,,,-0.8158537014155335,-0.8258265861989712,,,,-0.027645249973207827,,,-0.1417987397288669
708,2015-16,Kevin Garnett,67.1075466946663,-0.5282547730618647,-0.8177473898958088,-0.8811168862590918,-1.8888050016461952,-1.1228230933360444,-0.21333868941434495,-0.0393126298031695,-0.6030537236967649,-0.9340096944867878,-0.8681133097522115,-0.8258265861989712,-0.6993186607284793,-0.31617124939734637,-0.5720864165396348,-0.027645249973207827,0.1570164286654925,-0.9241039037766019,-0.1417987397288669
951,2013-14,Ray Allen,84.23855335597618,0.8408553164539307,0.6077097174939495,,,,,,,,0.07255964030799274,0.001748180138475231,,,,-0.027645249973207827,,,2.3202399322534117
959,2013-14,Steve Nash,87.05529433978612,1.0939174155696467,0.8711868261339462,,,,,,,,1.7971267154183672,0.4746480466170162,,,,-0.027645249973207827,,,-0.1417987397288669
965,2013-14,Derek Fisher,70.05766883749934,-0.26377815826096146,-0.5423859904047991,,,,,,,,-0.5545556597321435,-0.707601619579336,,,,-0.027645249973207827,,,-0.1417987397288669
977,2013-14,Kobe Bryant,73.54117420073972,0.03951461163335326,-0.22661092032356323,,,,,,,,0.2348418725487229,0.10493852334288728,,,,-1.0276452499732078,,,-1.141798739728867
977,2014-15,Kobe Bryant,86.78708985411423,1.0695591175785586,0.8458260394001387,,,,,,,,1.3790498487249427,0.8293229464759216,,,,-0.027645249973207827,,,-0.1417987397288669
977,2015-16,Kobe Bryant,79.96293915793946,0.508409004487954,0.2615812638025366,0.06969280485737193,0.5599615208340832,0.12508141346443388,0.18715143925251593,0.7081274133581744,1.1100879790634481,-0.11202240946263535,0.3599874861597217,0.35642307999738093,-0.8057193054338481,-0.41449637338563045,-0.2015446298604504,-0.027645249973207827,0.000523108808075246,0.18925633584486293,-0.1417987397288669
979,2013-14,Jermaine ONeal,68.31926200693216,-0.41962524913891847,-0.7046471153933447,,,,,,,,-0.8419835055838724,-0.8258265861989712,,,,-0.027645249973207827,,,-0.1417987397288669
1495,2013-14,Tim Duncan,70.62305197250718,-0.21309191193869914,-0.48961370377843333,,,,,,,,-0.6590748764054994,-0.47115168634006555,,,,-0.027645249973207827,,,-0.1417987397288669
