NBA_ID,Season,Player,Offensive Rebound Rating,Defensive Rebound Rating
708,2013-14,Kevin Garnett,68.53722025732895,93.60430930222684
708,2014-15,Kevin Garnett,66.07201511416905,93.93000112841713
708,2015-16,Kevin Garnett,45.001973007654456,82.07388320780672
951,2013-14,Ray Allen,37.84820349223369,59.545113832717114
959,2013-14,Steve Nash,35.74038150565999,47.42730462513573
965,2013-14,Derek Fisher,35.16771824306499,48.1648808046431
977,2013-14,Kobe Bryant,28.33947361759578,51.803460448082724
977,2014-15,Kobe Bryant,52.44782141119431,80.29675914643599
977,2015-16,Kobe Bryant,45.31165965075009,63.19518199745417
979,2013-14,Jermaine ONeal,83.20435664550509,77.76339067754452
1495,2013-14,Tim Duncan,84.06779114329566,98.20871956937873
1495,2014-15,Tim Duncan,85.19235044734559,96.42132536605921
1495,2015-16,Tim Duncan,74.64458680028608,83.69552402994756
1497,2013-14,Chauncey Billups,36.69944117910544,47.39898043258094
1536,2013-14,Stephen Jackson,30.713954189547408,40.88461306095931
1712,2013-14,Antawn Jamison,32.212370809439534,48.44346357083718
1713,2013-14,Vince Carter,56.94108335215834,63.275024041284
1713,2014-15,Vince Carter,44.292438581373425,49.551942317724986
1713,2015-16,Vince Carter,55.986525291231914,57.08713092990427
1713,2016-17,Vince Carter,43.489761959795885,57.08076869081676
1713,2017-18,Vince Carter,44.68306360873617,65.46373788326943
1713,2018-19,Vince Carter,47.300797024930006,57.49076230659321
1713,2019-20,Vince Carter,44.41327706956046,54.532613781660814
1717,2013-14,Dirk Nowitzki,42.440541849602035,91.88467252844188
1717,2014-15,Dirk Nowitzki,46.18588137378056,91.24466826310118
1717,2015-16,Dirk Nowitzki,50.22032510574233,78.48308942515445
1717,2016-17,Dirk Nowitzki,42.41682689508588,86.03026319460552
1717,2017-18,Dirk Nowitzki,43.502129726564085,86.29597238224099
1717,2018-19,Dirk Nowitzki,35.99116309535158,72.94451964374223
1718,2013-14,Paul Pierce,38.62314733408002,82.30927100500715
1718,2014-15,Paul Pierce,48.17130527559303,68.35168367979281
1718,2015-16,Paul Pierce,35.998713823853144,61.63812157122888
1718,2016-17,Paul Pierce,28.186621121031045,46.779545799013206
1733,2013-14,Al Harrington,46.19339221400457,57.66231187130634
1737,2013-14,Nazr Mohammed,63.88332818053609,44.44226684832588
1737,2014-15,Nazr Mohammed,35.303662921144,46.972223871160296
1737,2015-16,Nazr Mohammed,32.833785920730804,43.603356993827234
1740,2013-14,Rashard Lewis,44.67005624964687,49.512070305709244
1882,2013-14,Elton Brand,73.86638220976754,81.55808495779966
1882,2014-15,Elton Brand,64.6046356827981,64.66751490834328
1882,2015-16,Elton Brand,32.90824540214821,51.283563343971075
1889,2013-14,Andre Miller,45.683745696458665,50.08764895958696
1889,2014-15,Andre Miller,48.91773304816477,49.381483022452905
1889,2015-16,Andre Miller,33.08069406497947,38.85537903514715
1890,2013-14,Shawn Marion,75.72343568100646,82.39206123688611
1890,2014-15,Shawn Marion,68.63444682472549,60.558810011727196
1891,2013-14,Jason Terry,34.819629736436646,44.43135284502855
1891,2014-15,Jason Terry,35.7940279829692,46.18936224863675
1891,2015-16,Jason Terry,38.94037884090201,43.76374059858057
1891,2016-17,Jason Terry,38.22428795538107,47.55313570240363
1891,2017-18,Jason Terry,36.37558946297803,45.95514406696564
1897,2013-14,Metta World Peace,54.352840480649995,53.612201664533735
1897,2015-16,Metta World Peace,56.5224828519177,54.19768833326591
1897,2016-17,Metta World Peace,32.22715968277333,38.60160391357426
1905,2013-14,Andrei Kirilenko,69.19477759384053,53.00595121852302
1905,2014-15,Andrei Kirilenko,33.06731939919082,39.96307224913008
1938,2013-14,Manu Ginobili,43.082343688244855,59.04146503802482
1938,2014-15,Manu Ginobili,40.16895824652368,62.28072346273595
1938,2015-16,Manu Ginobili,49.55399655281006,58.731168810548866
1938,2016-17,Manu Ginobili,48.924766488079094,53.274352563068646
1938,2017-18,Manu Ginobili,46.616019095758276,59.516212992087276
2030,2013-14,Kenyon Martin,70.40899178638732,75.93514276590452
2030,2014-15,Kenyon Martin,34.438791364394,42.17766530028926
2034,2013-14,Mike Miller,39.99969252990049,57.24426104824577
2034,2014-15,Mike Miller,34.32930446448655,54.45941882801713
2034,2015-16,Mike Miller,31.3264508657025,40.22519434960721
2034,2016-17,Mike Miller,30.289123487871773,47.476664859045876
2037,2013-14,Jamal Crawford,44.19167056195882,46.46235505313942
2037,2014-15,Jamal Crawford,38.23036810585142,49.14985486226257
2037,2015-16,Jamal Crawford,38.2339802858995,44.567150459916846
2037,2016-17,Jamal Crawford,36.9657518329447,43.38764829915554
2037,2017-18,Jamal Crawford,40.1153923968528,43.48431604451248
2037,2018-19,Jamal Crawford,36.955306386514025,47.121562196177045
2037,2019-20,Jamal Crawford,27.81667139401966,36.55873699744419
2045,2013-14,Hedo Turkoglu,41.18161275352647,65.7476612015587
2045,2014-15,Hedo Turkoglu,34.444240290013454,56.77716310576923
2199,2013-14,Tyson Chandler,93.03216335356909,95.28623426803392
2199,2014-15,Tyson Chandler,98.16346251962854,97.91210702906045
2199,2015-16,Tyson Chandler,82.45235135823778,86.41702096265084
2199,2016-17,Tyson Chandler,85.47909012984192,93.50799801742163
2199,2017-18,Tyson Chandler,89.84780384884952,88.94229920278471
2199,2018-19,Tyson Chandler,77.68620689069958,81.58759001052279
2199,2019-20,Tyson Chandler,57.40241631289486,48.65129228047378
2200,2013-14,Pau Gasol,81.89023263979173,97.50215807779237
2200,2014-15,Pau Gasol,90.52076809643684,98.37525569307185
2200,2015-16,Pau Gasol,78.71625856923077,90.44278561321566
2200,2016-17,Pau Gasol,72.3444606857577,87.08229852189055
2200,2017-18,Pau Gasol,81.35570193389611,92.44856117389133
2200,2018-19,Pau Gasol,64.94407442527405,89.2597365615098
2202,2014-15,Jason Richardson,54.28085200258137,62.66616219533918
2203,2013-14,Shane Battier,46.99615793561614,47.555950438442395
2207,2013-14,Joe Johnson,48.00152268882945,60.30696917484516
2207,2014-15,Joe Johnson,49.27528128235882,74.38819015337714
2207,2015-16,Joe Johnson,46.13685791243722,55.218049781322904
2207,2016-17,Joe Johnson,44.6761162722076,61.498008495360494
2207,2017-18,Joe Johnson,40.85894602096223,65.3622710332999
2207,2021-22,Joe Johnson,29.139147246071214,31.834484195889765
2210,2013-14,Richard Jefferson,35.14632274307944,53.972468300020225
2210,2014-15,Richard Jefferson,38.67195277224946,59.38413828049133
2210,2015-16,Richard Jefferson,39.20144417600697,48.3959128794419
2210,2016-17,Richard Jefferson,42.982217698723446,51.65578287291537
2210,2017-18,Richard Jefferson,32.618096120269385,40.337686289542475
2215,2013-14,Jason Collins,33.29024042734351,33.19088398020514
2216,2013-14,Zach Randolph,96.12625372868365,94.98374294336543
2216,2014-15,Zach Randolph,96.2015545171913,96.89213207062812
2216,2015-16,Zach Randolph,80.18367239001442,80.54177877798259
2216,2016-17,Zach Randolph,83.79908736105078,89.37452312803848
2216,2017-18,Zach Randolph,76.68994529327517,87.12794003257416
2217,2014-15,Brendan Haywood,33.46480827667228,42.85090666718093
2222,2013-14,Gerald Wallace,48.31990905632504,66.75815284154616
2222,2014-15,Gerald Wallace,35.46778136283324,41.484081983643726
2223,2013-14,Samuel Dalembert,91.93465389843193,86.27305410923424
2223,2014-15,Samuel Dalembert,81.81124552720036,83.42460569660776
2224,2013-14,Jamaal Tinsley,30.481620525102816,35.020344633999855
2225,2013-14,Tony Parker,35.294401192546644,47.76199708092671
2225,2014-15,Tony Parker,35.33622865585944,47.1443861635589
2225,2015-16,Tony Parker,34.371016627615006,50.939732411761305
2225,2016-17,Tony Parker,34.215186750515976,45.58287484399696
2225,2017-18,Tony Parker,33.8529744505227,52.2060498359522
2225,2018-19,Tony Parker,34.97447345388706,48.199478304847375
2229,2013-14,Mike James,25.0,35.960393577316225
2248,2013-14,Earl Watson,31.99450103659335,30.558059942782222
2365,2013-14,Chris Andersen,82.65906846621505,80.4022792218161
2365,2014-15,Chris Andersen,73.01265379609654,83.12419980930287
2365,2015-16,Chris Andersen,73.86831262133711,64.84388216148446
2365,2016-17,Chris Andersen,40.78971144774708,43.445518891575404
2399,2013-14,Mike Dunleavy,46.405449805270464,70.75342967588325
2399,2014-15,Mike Dunleavy,40.79741808626289,67.28373331085967
2399,2015-16,Mike Dunleavy,38.905293568943094,56.90835712320784
2399,2016-17,Mike Dunleavy,44.731129924843216,52.52787305280755
2400,2013-14,Drew Gooden,79.774235522798,78.5313471737049
2400,2014-15,Drew Gooden,76.72223322376051,71.83798259525197
2400,2015-16,Drew Gooden,68.19649026273973,67.37552525780868
2403,2013-14,Nene,67.17261905998639,82.09153480191827
2403,2014-15,Nene,69.41032821120015,80.90005027772413
2403,2015-16,Nene,61.903075062120365,70.07977780838699
2403,2016-17,Nene,73.7945622827096,63.67825742509234
2403,2017-18,Nene,74.1748104171636,72.39167740596446
2403,2018-19,Nene,68.57026966639505,68.57765187508515
2405,2013-14,Amare Stoudemire,79.09398234751652,75.11536326087301
2405,2014-15,Amare Stoudemire,83.23558799199006,82.3093127710013
2405,2015-16,Amare Stoudemire,75.79869004068571,69.7020006832214
2406,2013-14,Caron Butler,39.856995977784216,74.81942136403315
2406,2014-15,Caron Butler,35.906374422930504,59.83822626823302
2406,2015-16,Caron Butler,32.427648579889755,38.045954323123446
2408,2013-14,Melvin Ely,25.0,31.47712800812372
2419,2013-14,Tayshaun Prince,40.07080891532631,63.936218505289716
2419,2014-15,Tayshaun Prince,59.470584995070425,64.56881779931953
2419,2015-16,Tayshaun Prince,47.65652969641498,47.69417929780326
2422,2013-14,John Salmons,36.23492637510253,50.54639305197407
2422,2014-15,John Salmons,28.08652677364725,35.49917343323645
2427,2013-14,Roger Mason Jr,26.31324587277411,37.558695984556145
2430,2013-14,Carlos Boozer,77.24247855369468,95.08674133116439
2430,2014-15,Carlos Boozer,76.22415184166354,91.12539286162331
2440,2013-14,Matt Barnes,59.18338586449394,71.6214479041801
2440,2014-15,Matt Barnes,49.485732824485,66.38508830490191
2440,2015-16,Matt Barnes,63.490082325018264,76.38785022746866
2440,2016-17,Matt Barnes,64.2798381231523,78.7840923124778
2446,2013-14,Rasual Butler,28.3603517341196,35.03486915104559
2446,2014-15,Rasual Butler,41.91432193322362,58.03118252335034
2446,2015-16,Rasual Butler,28.913556173212648,42.09903768925705
2449,2013-14,Luis Scola,66.6431124769866,81.31141532799639
2449,2014-15,Luis Scola,79.16693103753066,89.43407001043543
2449,2015-16,Luis Scola,68.85119259485298,76.48530966574751
2449,2016-17,Luis Scola,76.2350514935715,65.65498525181995
2457,2013-14,Jannero Pargo,25.73760018147781,34.55968526858858
2457,2014-15,Jannero Pargo,25.0,30.966658911668794
2501,2013-14,Reggie Evans,89.57014470807643,86.8157263427893
2501,2014-15,Reggie Evans,88.396624705067,88.36602178273026
2544,2013-14,LeBron James,64.28172688958139,87.28478800969229
2544,2014-15,LeBron James,50.62095355817622,84.00680069710677
2544,2015-16,LeBron James,64.8658622979065,84.5875249289694
2544,2016-17,LeBron James,58.01660793157243,87.74222301531955
2544,2017-18,LeBron James,63.18646071878516,91.21178880797466
2544,2018-19,LeBron James,57.53368877847574,89.4579859077759
2544,2019-20,LeBron James,53.730395594513276,87.78143088840926
2544,2020-21,LeBron James,45.23121709111767,88.29555860064448
2544,2021-22,LeBron James,56.20743152731652,86.04264052054796
2544,2022-23,LeBron James,57.84557185821997,87.38391754915146
2544,2023-24,LeBron James,50.04827519573374,84.5712328497638
2544,2024-25,LeBron James,55.90153143144056,87.40708531293873
2544,2025-26,Lebron James,46.58154592068894,81.81689816501233
2546,2013-14,Carmelo Anthony,79.5544302498893,90.91522455812353
2546,2014-15,Carmelo Anthony,78.52896838570311,81.49556778913706
2546,2015-16,Carmelo Anthony,64.31442439051604,85.66761359733339
2546,2016-17,Carmelo Anthony,51.70683778834076,75.57062813206126
2546,2017-18,Carmelo Anthony,58.75414396215249,80.75942465629662
2546,2018-19,Carmelo Anthony,68.11649609847508,75.95776154990791
2546,2019-20,Carmelo Anthony,64.0157549001615,80.45117187437107
2546,2020-21,Carmelo Anthony,45.65130699548303,59.510885624031594
2546,2021-22,Carmelo Anthony,58.9821487252906,61.79567376324629
2547,2013-14,Chris Bosh,68.6060602801421,89.8294974355706
2547,2014-15,Chris Bosh,62.8382731513457,92.14849213477778
2547,2015-16,Chris Bosh,51.461426945339774,82.90211677402925
2548,2013-14,Dwyane Wade,64.97004738073423,66.02267207745304
2548,2014-15,Dwyane Wade,61.25679203391538,58.22266206175533
2548,2015-16,Dwyane Wade,59.96616284530813,60.29611257162198
2548,2016-17,Dwyane Wade,61.53989603561969,65.94566160915066
2548,2017-18,Dwyane Wade,56.592923614541625,68.52973957379807
2548,2018-19,Dwyane Wade,60.983999222645004,62.641737935263535
2549,2013-14,Chris Kaman,73.97461820230804,87.54485075198826
2549,2014-15,Chris Kaman,85.43630006796042,90.66337099658269
2549,2015-16,Chris Kaman,35.20592042176115,42.913959676212485
2550,2013-14,Kirk Hinrich,39.56892325214002,50.01952785826521
2550,2014-15,Kirk Hinrich,36.38642771058969,47.523722989126085
2550,2015-16,Kirk Hinrich,37.64883650689874,50.44445550293618
2555,2013-14,Nick Collison,76.56640590397717,63.09576868778654
2555,2014-15,Nick Collison,75.9388372363362,67.15030075857588
2555,2015-16,Nick Collison,79.33724546257613,57.801035686441054
2555,2016-17,Nick Collison,35.995098470151426,44.4007838069382
2555,2017-18,Nick Collison,42.203888987325136,44.941973720823924
2557,2013-14,Luke Ridnour,42.82967952468309,46.34076990509478
2557,2014-15,Luke Ridnour,35.791549578830214,47.792123513272685
2561,2013-14,David West,72.97706538021481,87.35790776085402
2561,2014-15,David West,75.62809171531208,86.81427735797426
2561,2015-16,David West,65.09428804215653,65.92171079825458
2561,2016-17,David West,64.92030965062945,66.0425083708966
2561,2017-18,David West,72.28864904820462,72.34869852787563
2563,2014-15,Dahntay Jones,26.017418494417978,34.43990585416394
2563,2015-16,Dahntay Jones,34.51242902475522,42.93625756745929
2563,2016-17,Dahntay Jones,42.64784196963798,38.476132792281845
2564,2013-14,Boris Diaw,62.11684587851858,70.20495047413121
2564,2014-15,Boris Diaw,63.860182529004724,70.95302246758862
2564,2015-16,Boris Diaw,57.559229276022144,57.281899038895006
2564,2016-17,Boris Diaw,55.298542231585806,47.03458085833284
2566,2013-14,Travis Outlaw,51.02831994287561,57.98883518694846
2570,2013-14,Kendrick Perkins,73.46208222413621,75.73408417571517
2570,2014-15,Kendrick Perkins,73.98745889576,79.56997554195546
2570,2015-16,Kendrick Perkins,59.596761792008294,63.3053239119826
2570,2017-18,Kendrick Perkins,30.693294830998454,39.229425502741755
2571,2013-14,Leandro Barbosa,36.87675546341198,49.38199300636913
2571,2014-15,Leandro Barbosa,42.457523235598266,45.943718713650185
2571,2015-16,Leandro Barbosa,43.4308172831034,48.47651269564001
2571,2016-17,Leandro Barbosa,37.694220241315435,50.97433052720565
2581,2013-14,Steve Blake,35.71281643628651,56.482436730038614
2581,2014-15,Steve Blake,36.02946021186253,46.7489846966788
2581,2015-16,Steve Blake,35.740640316977725,48.622506413233346
2584,2013-14,Willie Green,38.00247367758379,45.85467349317313
2584,2014-15,Willie Green,39.9780948118883,47.930040753279535
2585,2013-14,Zaza Pachulia,92.37734345950666,79.63854415401588
2585,2014-15,Zaza Pachulia,92.66616562501254,84.22273031702838
2585,2015-16,Zaza Pachulia,91.88678072458308,87.69436362433214
2585,2016-17,Zaza Pachulia,84.64398182832333,76.31513360282199
2585,2017-18,Zaza Pachulia,81.1743876578424,84.25415766078618
2585,2018-19,Zaza Pachulia,83.36702432302604,73.46820991067969
2586,2013-14,Keith Bogans,25.0,32.54130031525883
2588,2013-14,Matt Bonner,41.02701956783244,63.625935415446314
2588,2014-15,Matt Bonner,48.49275783515471,48.477715616384955
2588,2015-16,Matt Bonner,31.117631208499436,37.27314777933091
2590,2013-14,Mo Williams,47.13893486159868,45.50806104861135
2590,2014-15,Mo Williams,37.85743819535342,52.65357684354806
2590,2015-16,Mo Williams,36.455929732226345,50.20706549320991
2592,2013-14,James Jones,27.135805915881935,36.66254100397768
2592,2014-15,James Jones,37.89062590143552,48.468176606906454
2592,2015-16,James Jones,30.55229465369518,34.97515824590535
2592,2016-17,James Jones,27.737162602900398,35.30462348481309
2594,2013-14,Kyle Korver,35.836981890244225,70.99231962218093
2594,2014-15,Kyle Korver,35.13818046722588,73.53203534287192
2594,2015-16,Kyle Korver,35.45458946511155,55.043855996736134
2594,2016-17,Kyle Korver,35.3392751854931,53.87187309564669
2594,2017-18,Kyle Korver,35.39050929532965,58.55056791573824
2594,2018-19,Kyle Korver,37.55169829141189,59.98502926275131
2594,2019-20,Kyle Korver,40.9650340790724,56.76143691323369
2617,2013-14,Udonis Haslem,67.80321938868309,79.68219160958651
2617,2014-15,Udonis Haslem,71.76325865273664,76.32871701638437
2617,2015-16,Udonis Haslem,31.321705049054405,50.47917113600985
2617,2016-17,Udonis Haslem,34.90771910931109,47.08773402080804
2617,2017-18,Udonis Haslem,32.505753984352445,37.000188725618166
2617,2018-19,Udonis Haslem,33.411300256559436,49.40596656716912
2617,2019-20,Udonis Haslem,32.64202660607698,57.00781030839186
2617,2020-21,Udonis Haslem,27.533805011293197,46.46327165315198
2617,2021-22,Udonis Haslem,35.219253972641006,46.314942430323924
2617,2022-23,Udonis Haslem,35.422637600025766,35.841322556215566
2694,2013-14,Josh Powell,25.0,66.84045401195637
2730,2013-14,Dwight Howard,96.33831379780453,98.79628947548008
2730,2014-15,Dwight Howard,91.91487116803852,98.7492347494842
2730,2015-16,Dwight Howard,86.44618269853454,92.34157602139334
2730,2016-17,Dwight Howard,92.75335491848948,92.86680740955073
2730,2017-18,Dwight Howard,92.49449892843903,95.40401855392699
2730,2018-19,Dwight Howard,69.9830060594994,67.29386025281369
2730,2019-20,Dwight Howard,94.41646589884024,87.10771550590567
2730,2020-21,Dwight Howard,96.6931895931416,92.43583956298325
2730,2021-22,Dwight Howard,88.68046106065057,84.40063982896606
2731,2017-18,Emeka Okafor,81.07218556992987,74.20491394521967
2732,2013-14,Ben Gordon,27.16835732423986,35.68039621673658
2732,2014-15,Ben Gordon,34.749082028320366,46.739307514763674
2733,2013-14,Shaun Livingston,59.09287471311764,56.90873059786688
2733,2014-15,Shaun Livingston,48.78653759399997,50.95411630491163
2733,2015-16,Shaun Livingston,45.3305223194576,48.8426414514654
2733,2016-17,Shaun Livingston,39.66305088582369,48.879201617241094
2733,2017-18,Shaun Livingston,44.70889520852901,50.223655073363716
2733,2018-19,Shaun Livingston,56.11233447174972,48.519210265224835
2734,2013-14,Devin Harris,35.03595936950095,51.750503242644946
2734,2014-15,Devin Harris,35.33209507058012,48.95185743546248
2734,2015-16,Devin Harris,39.66448043199459,53.29635140353445
2734,2016-17,Devin Harris,35.773766073904575,57.8447929232077
2734,2017-18,Devin Harris,35.31537029931423,52.98039204415417
2734,2018-19,Devin Harris,35.75127541715096,51.230762653911896
2735,2013-14,Josh Childress,25.0,36.89229577063314
2736,2013-14,Luol Deng,72.09390784087117,75.39817390337355
2736,2014-15,Luol Deng,71.32957202266445,70.54258290956018
2736,2015-16,Luol Deng,69.63957688327312,71.1682270985641
2736,2016-17,Luol Deng,66.40778644614622,74.19665140601278
2736,2017-18,Luol Deng,27.673638397368425,34.29328204194319
2736,2018-19,Luol Deng,69.60775940994647,67.0261423362933
2738,2013-14,Andre Iguodala,53.8104737088989,68.94875417369983
2738,2014-15,Andre Iguodala,45.222443092711565,60.5471721593526
2738,2015-16,Andre Iguodala,53.82311181315094,61.84615356569099
2738,2016-17,Andre Iguodala,49.38925795766012,62.6769478626431
2738,2017-18,Andre Iguodala,56.78388362112945,65.44468480673746
2738,2018-19,Andre Iguodala,56.30896532912554,67.94788595090165
2738,2019-20,Andre Iguodala,49.82050972620074,71.53659155603731
2738,2020-21,Andre Iguodala,51.48225206353662,67.56343197679664
2738,2021-22,Andre Iguodala,56.80679710317936,65.57766619251916
2738,2022-23,Andre Iguodala,31.46814517229306,40.831079868308265
2740,2013-14,Andris Biedrins,31.200524195708006,47.76566123426898
2742,2014-15,Sebastian Telfair,34.312442325064445,48.55996677275509
2743,2013-14,Kris Humphries,82.03517190314119,85.69816169904574
2743,2014-15,Kris Humphries,81.6088340484217,86.387944932728
2743,2015-16,Kris Humphries,74.896757831376,71.87959613449236
2743,2016-17,Kris Humphries,73.67426931251745,72.61920327287677
2744,2013-14,Al Jefferson,82.32986236880679,98.72471157239714
2744,2014-15,Al Jefferson,72.9844391790845,96.28794666677354
2744,2015-16,Al Jefferson,61.100692506256884,79.25580797332357
2744,2016-17,Al Jefferson,71.26163098357333,73.08927679941638
2744,2017-18,Al Jefferson,65.68281610018039,80.13129415628782
2746,2013-14,Josh Smith,68.57958584080323,89.0811947539528
2746,2014-15,Josh Smith,78.76758312723099,84.00377908231202
2746,2015-16,Josh Smith,64.18361578099419,64.23612147379995
2746,2017-18,Josh Smith,36.15237701176263,42.34313846038699
2747,2013-14,JR Smith,41.598629583731395,68.50058199796275
2747,2014-15,JR Smith,40.32581452551392,58.28060953067726
2747,2015-16,JR Smith,44.21131814811541,48.355989594451586
2747,2016-17,JR Smith,43.73572002372954,49.407475993490976
2747,2017-18,JR Smith,43.61904512004369,61.87739606456147
2747,2018-19,JR Smith,27.466187897344064,41.05752204987448
2747,2019-20,JR Smith,27.18417634150019,39.68037941454629
2748,2013-14,Dorell Wright,44.80225226390211,66.85402644521858
2748,2014-15,Dorell Wright,41.757656190455016,64.22072272227844
2749,2013-14,Jameer Nelson,38.25385847939278,57.92908299345927
2749,2014-15,Jameer Nelson,46.093859152631346,48.90331082628342
2749,2015-16,Jameer Nelson,40.40647979074322,51.83886746275903
2749,2016-17,Jameer Nelson,38.25118942381038,49.05996372181296
2749,2017-18,Jameer Nelson,36.604692509842764,54.06672586532364
2754,2013-14,Tony Allen,73.17472771651094,58.4294691273947
2754,2014-15,Tony Allen,77.48009197318662,62.67959001600126
2754,2015-16,Tony Allen,74.24094648839292,68.79676672817897
2754,2016-17,Tony Allen,81.4771746137845,69.620332298419
2754,2017-18,Tony Allen,59.201693460647704,41.5622932808575
2755,2013-14,Kevin Martin,41.14245498379846,53.17580119587836
2755,2014-15,Kevin Martin,41.10380668737494,61.160601258352145
2755,2015-16,Kevin Martin,38.3415771157234,54.37039964583388
2756,2013-14,Sasha Vujacic,25.0,42.78753164875221
2756,2015-16,Sasha Vujacic,49.1403748316553,63.64815295768243
2756,2016-17,Sasha Vujacic,32.5048652148466,40.00660394747154
2757,2013-14,Beno Udrih,37.75917465770566,48.32081148046859
2757,2014-15,Beno Udrih,37.33893133730079,47.418070521213025
2757,2015-16,Beno Udrih,35.769857227686295,52.02070654920339
2757,2016-17,Beno Udrih,36.38817864074344,50.7065012879796
2760,2013-14,Anderson Varejao,92.20670372817331,96.28581422848359
2760,2014-15,Anderson Varejao,85.02747131213557,84.59609073749134
2760,2015-16,Anderson Varejao,47.9235659968831,52.30361374415784
2760,2016-17,Anderson Varejao,51.76712136198374,43.62126625126882
2760,2020-21,Anderson Varejao,44.42682660018994,53.776408504954034
2767,2013-14,Royal Ivey,25.0,37.90635120621126
2772,2013-14,Trevor Ariza,67.61060459055993,80.15055189304714
2772,2014-15,Trevor Ariza,55.12550835332531,79.33191279211553
2772,2015-16,Trevor Ariza,51.26552381161637,64.97918913068658
2772,2016-17,Trevor Ariza,46.293611820454224,78.19006495994059
2772,2017-18,Trevor Ariza,44.00709459017127,71.43669912254782
2772,2018-19,Trevor Ariza,50.06154992399515,77.67456814692167
2772,2019-20,Trevor Ariza,51.630947114642204,76.80320509845359
2772,2020-21,Trevor Ariza,52.93118834577118,77.9317241767085
2772,2021-22,Trevor Ariza,47.64037619160507,70.75900400928508
2853,2014-15,Earl Barron,64.29175584162812,35.72354131457277
2863,2017-18,Damien Wilkins,33.00242352927579,36.448229778479586
101106,2013-14,Andrew Bogut,92.21892207420495,97.78850126712277
101106,2014-15,Andrew Bogut,86.67187378992139,94.76106452362522
101106,2015-16,Andrew Bogut,79.37441668264962,82.16665985428835
101106,2016-17,Andrew Bogut,77.96139053134723,87.83328279574201
101106,2017-18,Andrew Bogut,64.86934721518479,52.560352924580954
101106,2018-19,Andrew Bogut,55.67250471970807,57.135631346543455
101107,2013-14,Marvin Williams,68.50436248787916,78.50310786564438
101107,2014-15,Marvin Williams,53.867504711779034,80.01699865043807
101107,2015-16,Marvin Williams,73.70187434899722,75.87806145550923
101107,2016-17,Marvin Williams,63.14141552067933,79.30404666397146
101107,2017-18,Marvin Williams,66.59320114564773,76.40645380828461
101107,2018-19,Marvin Williams,64.5954317224575,80.08101069998612
101107,2019-20,Marvin Williams,50.97523636325414,67.26273087154199
101108,2013-14,Chris Paul,43.97629474114975,66.89559710014997
101108,2014-15,Chris Paul,45.622278816367704,70.3207420064032
101108,2015-16,Chris Paul,39.571619714010545,63.40550883269721
101108,2016-17,Chris Paul,48.66592473709169,70.26243090193708
101108,2017-18,Chris Paul,43.61135826311982,78.04552095507033
101108,2018-19,Chris Paul,43.564603628112245,68.18114534063525
101108,2019-20,Chris Paul,39.833751238699875,76.37468523516085
101108,2020-21,Chris Paul,40.20086460320668,68.8558034088763
101108,2021-22,Chris Paul,37.69707472494379,65.39353868399265
101108,2022-23,Chris Paul,43.01590417843942,67.24577366857105
101108,2023-24,Chris Paul,39.059101817415964,69.63930064688974
101108,2024-25,Chris Paul,41.27570939315383,61.316512107185
101108,2025-26,Chris Paul,43.13619540958555,53.14884500685896
101109,2013-14,Raymond Felton,54.84163124423496,51.05907081898475
101109,2014-15,Raymond Felton,26.890796977458496,35.683565014848
101109,2015-16,Raymond Felton,40.78696286609855,58.219752872130584
101109,2016-17,Raymond Felton,41.65065699266737,60.627471531924144
101109,2017-18,Raymond Felton,40.85883367475656,53.564476297282816
101109,2018-19,Raymond Felton,37.284138955103685,49.2540403768317
101110,2013-14,Martell Webster,43.605451880977775,57.794353239985384
101110,2014-15,Martell Webster,44.63182290338182,48.988299311778036
101111,2013-14,Charlie Villanueva,30.56499708395409,43.451662712363486
101111,2014-15,Charlie Villanueva,52.42756796262952,64.77105357926851
101111,2015-16,Charlie Villanueva,54.591360582191584,70.78204621643657
101112,2013-14,Channing Frye,61.27523942506228,80.99957780155503
101112,2014-15,Channing Frye,42.106818117043765,77.94804600501952
101112,2015-16,Channing Frye,52.31702241828603,67.8562814173509
101112,2016-17,Channing Frye,48.72758285406035,66.59339262459181
101112,2017-18,Channing Frye,45.04635301788311,71.26153798924383
101112,2018-19,Channing Frye,28.281506283571254,45.33548782569878
101114,2013-14,Deron Williams,35.42053935296998,51.77003851812708
101114,2014-15,Deron Williams,39.68864366974231,59.240178511838145
101114,2015-16,Deron Williams,35.235337639583165,50.902347593243064
101114,2016-17,Deron Williams,35.72248730487728,50.60197310642605
101115,2013-14,Andrew Bynum,86.02958095550358,81.25284480790071
101122,2013-14,Danny Granger,56.08618703970328,59.88211185320089
101122,2014-15,Danny Granger,57.84221518146386,52.9997761663695
101123,2013-14,Gerald Green,45.631048954955055,61.52222614068763
101123,2014-15,Gerald Green,42.93736842925351,55.386143086776315
101123,2015-16,Gerald Green,42.661364178567865,50.574321703598415
101123,2016-17,Gerald Green,32.333787532378274,41.60449089021437
101123,2017-18,Gerald Green,42.09094367848751,67.66617191261098
101123,2018-19,Gerald Green,46.085042331342706,53.32257078247273
101126,2013-14,Nate Robinson,43.927403965746,45.01639962142408
101126,2014-15,Nate Robinson,45.3705509710863,44.4901563722788
