NBA_ID,Season,Player,FT_PCT,MatchedBy,SourcePlayerID,SourcePlayer,SourceTeam,SourceFile
2034,2014-15,Mike Miller,0.75,season+player,2034,Mike Miller,CLE,general_traditional.csv
2034,2015-16,Mike Miller,0.0,season+player,2034,Mike Miller,DEN,general_traditional.csv
2034,2016-17,Mike Miller,1.0,season+player,2034,Mike Miller,DEN,general_traditional.csv
2037,2013-14,Jamal Crawford,0.866,season+player,2037,Jamal Crawford,LAC,general_traditional.csv
2037,2014-15,Jamal Crawford,0.901,season+player,2037,Jamal Crawford,LAC,general_traditional.csv
2037,2015-16,Jamal Crawford,0.904,season+player,2037,Jamal Crawford,LAC,general_traditional.csv
2037,2016-17,Jamal Crawford,0.857,season+player,2037,Jamal Crawford,LAC,general_traditional.csv
2037,2017-18,Jamal Crawford,0.903,season+player,2037,Jamal Crawford,MIN,general_traditional.csv
2037,2018-19,Jamal Crawford,0.845,season+player,2037,Jamal Crawford,PHX,general_traditional.csv
2037,2019-20,Jamal Crawford,0.0,season+player,2037,Jamal Crawford,BKN,general_traditional.csv
2045,2013-14,Hedo Turkoglu,0.5,season+player,2045,Hedo Turkoglu,LAC,general_traditional.csv
2045,2014-15,Hedo Turkoglu,0.545,season+player,2045,Hedo Turkoglu,LAC,general_traditional.csv
2199,2013-14,Tyson Chandler,0.632,season+player,2199,Tyson Chandler,NYK,general_traditional.csv
2199,2014-15,Tyson Chandler,0.72,season+player,2199,Tyson Chandler,DAL,general_traditional.csv
2199,2015-16,Tyson Chandler,0.62,season+player,2199,Tyson Chandler,PHX,general_traditional.csv
2199,2016-17,Tyson Chandler,0.734,season+player,2199,Tyson Chandler,PHX,general_traditional.csv
2199,2017-18,Tyson Chandler,0.624,season+player,2199,Tyson Chandler,PHX,general_traditional.csv
2199,2018-19,Tyson Chandler,0.586,season+player,2199,Tyson Chandler,LAL,general_traditional.csv
2199,2019-20,Tyson Chandler,0.462,season+player,2199,Tyson Chandler,HOU,general_traditional.csv
2200,2013-14,Pau Gasol,0.736,season+player,2200,Pau Gasol,LAL,general_traditional.csv
2200,2014-15,Pau Gasol,0.803,season+player,2200,Pau Gasol,CHI,general_traditional.csv
2200,2015-16,Pau Gasol,0.792,season+player,2200,Pau Gasol,CHI,general_traditional.csv
2200,2016-17,Pau Gasol,0.707,season+player,2200,Pau Gasol,SAS,general_traditional.csv
2200,2017-18,Pau Gasol,0.756,season+player,2200,Pau Gasol,SAS,general_traditional.csv
2200,2018-19,Pau Gasol,0.7,season+player,2200,Pau Gasol,MIL,general_traditional.csv
2202,2014-15,Jason Richardson,0.773,season+player,2202,Jason Richardson,PHI,general_traditional.csv
2203,2013-14,Shane Battier,0.652,season+player,2203,Shane Battier,MIA,general_traditional.csv
2207,2013-14,Joe Johnson,0.815,season+player,2207,Joe Johnson,BKN,general_traditional.csv
2207,2014-15,Joe Johnson,0.801,season+player,2207,Joe Johnson,BKN,general_traditional.csv
2207,2015-16,Joe Johnson,0.831,season+player,2207,Joe Johnson,MIA,general_traditional.csv
2207,2016-17,Joe Johnson,0.818,season+player,2207,Joe Johnson,UTA,general_traditional.csv
2207,2017-18,Joe Johnson,0.889,season+player,2207,Joe Johnson,HOU,general_traditional.csv
2207,2021-22,Joe Johnson,0.0,season+player,2207,Joe Johnson,BOS,general_traditional.csv
2210,2013-14,Richard Jefferson,0.741,season+player,2210,Richard Jefferson,UTA,general_traditional.csv
2210,2014-15,Richard Jefferson,0.684,season+player,2210,Richard Jefferson,DAL,general_traditional.csv
2210,2015-16,Richard Jefferson,0.667,season+player,2210,Richard Jefferson,CLE,general_traditional.csv
2210,2016-17,Richard Jefferson,0.741,season+player,2210,Richard Jefferson,CLE,general_traditional.csv
2210,2017-18,Richard Jefferson,0.571,season+player,2210,Richard Jefferson,DEN,general_traditional.csv
2215,2013-14,Jason Collins,0.75,season+player,2215,Jason Collins,BKN,general_traditional.csv
2216,2013-14,Zach Randolph,0.742,season+player,2216,Zach Randolph,MEM,general_traditional.csv
2216,2014-15,Zach Randolph,0.765,season+player,2216,Zach Randolph,MEM,general_traditional.csv
