NBA ID,Season,Player,Close Shot Rating,,Close Shot,Rim Shot Making,Rim Shot Making Efficiency,Rim Shot Attempts Per 75 Possessions,Stable Rim FG%,Stable Short Midrange FG%,Floater Talent,Paint Shooting Talent,Paint Shot Making,Paint Shot Making Efficiency,Floating_shot_FGM,NON-RA FGM,Short Mid Range FG%,Rim FG%,NON-RA FG_PCT,Floating_shot_FG%
708,2013-14,Kevin Garnett,60.374007166818345,-0.8220538192963377,-0.8831534864614965,,,,,,,,,,-0.6010587592801465,-1.032538108579982,,,-1.4803489592443866,
708,2014-15,Kevin Garnett,60.374007166818345,-0.8220538192963377,-0.8831534864614965,,,,,,,,,,-0.6010587592801465,-1.032538108579982,,,-1.4803489592443866,
708,2015-16,Kevin Garnett,71.43993590392779,-0.27491121712663036,-0.47178382883984626,-0.21333868941434495,-0.0393126298031695,-1.0872123812835373,-0.6993186607284793,-0.23662097336169546,-0.5008803855733973,-0.6030537236967649,-0.48527070130402544,0.05613765704414425,-0.6010587592801465,-1.032538108579982,0.5286011755196666,0.1570164286654925,-1.4803489592443866,
951,2013-14,Ray Allen,93.66437208107607,1.3728864100645937,0.7671142994348943,,,,,,,,,,-0.5480820385318842,2.320747073733477,,,0.6158551609926455,-1.2275544891090944
959,2013-14,Steve Nash,63.78099244636482,-0.6535992019126483,-0.7565007308487641,,,,,,,,,,-0.49510531778362205,-1.032538108579982,,,-1.4803489592443866,0.09912517954154172
965,2013-14,Derek Fisher,74.1403251681252,-0.14139345788701552,-0.3713983814500739,,,,,,,,,,-0.6010587592801465,-0.19421681300161736,,,-0.13524373923280147,
977,2013-14,Kobe Bryant,33.47380066863485,-2.152104765039477,-1.8831534864614965,,,,,,,,,,-1.6010587592801464,-2.032538108579982,,,-2.4803489592443864,
977,2014-15,Kobe Bryant,80.5700829302809,0.25704847604028774,-0.07182945500967973,,,,,,,,,,-0.6010587592801465,0.22494383478756494,,,0.9742226101198196,
977,2015-16,Kobe Bryant,86.13156745222955,0.6167540995846111,0.19861554162414852,0.18715143925251593,0.7081274133581744,-0.640021156546419,-0.8057193054338481,-0.3242728536611903,1.1394925468471564,1.1100879790634481,1.1493056909310178,-0.16044775027552444,-0.2831984347905731,0.22494383478756494,0.24365339460566146,0.000523108808075246,0.0562128431776065,0.09912517954154172
979,2013-14,Jermaine ONeal,66.70850002325301,-0.5088518290040694,-0.6476722883204186,,,,,,,,,,-0.5480820385318842,-1.032538108579982,,,-1.4803489592443866,2.7524845168428134
1495,2013-14,Tim Duncan,68.63236440568157,-0.41372848333371437,-0.5761537153102646,,,,,,,,,,-0.3891518762870976,-1.032538108579982,,,-1.4803489592443866,2.7524845168428134
1495,2014-15,Tim Duncan,72.27928287881844,-0.23341063467439824,-0.440581578591421,,,,,,,,,,-0.3891518762870976,-1.032538108579982,,,3.0,0.9835782919752989
1495,2015-16,Tim Duncan,89.29429044283042,0.8677188150390523,0.38730358869306714,1.588866889586529,2.167971247657674,0.17769994011574028,-0.32578448250750114,0.4676165476652838,0.11571369540737825,-0.0692487003729304,1.0036503688506675,0.4128665632177161,-0.018314831049261942,-1.032538108579982,0.48874417902438805,0.17878429646520874,-1.4803489592443866,1.6153305151422686
1497,2013-14,Chauncey Billups,77.08322765963962,0.006171218835648717,-0.2604517465148118,,,,,,,,,,-0.6010587592801465,-0.19421681300161736,,,0.9742226101198196,
1536,2013-14,Stephen Jackson,33.47380066863485,-2.152104765039477,-1.8831534864614965,,,,,,,,,,-1.6010587592801464,-2.032538108579982,,,-2.4803489592443864,
1712,2013-14,Antawn Jamison,44.566359969301864,-1.60364544412087,-1.4707938526640358,,,,,,,,,,-1.4421285970353597,-1.6133774607907998,,,-2.0728900787299285,0.1565675458846465
1713,2013-14,Vince Carter,84.16405452600276,0.476896852008245,0.09346374422572351,,,,,,,,,,-0.1242682725457864,0.22494383478756494,,,0.5323997276342624,0.43079509670420074
1713,2014-15,Vince Carter,79.01382225805847,0.14932220735740168,-0.15282354702372372,,,,,,,,,,-0.49510531778362205,-0.19421681300161736,,,0.394943719749867,2.7524845168428134
1713,2015-16,Vince Carter,72.56806351573135,-0.21913219561244202,-0.4298463213385656,-0.5984253515940189,-0.6933226675693454,-0.3674474576590327,-1.8991557180443435,-0.9831731952229118,0.02264289073103474,0.04247793241577913,0.032614888314998196,0.13257956550990965,-0.49510531778362205,-0.19421681300161736,-0.11565445439654953,-0.5436735861848239,0.26239685500419974,-0.4315466879187126
1713,2016-17,Vince Carter,66.92630299677714,-0.4980828019729576,-0.6395755856598337,-1.1067397456711885,-1.5575502174746492,-0.7677900778998815,-2.5330318992678182,-0.6386106312869655,-0.04716021277622288,-0.3051160362602061,-0.16159220779213565,-0.16044775027552444,-0.3891518762870976,0.22494383478756494,-0.006196434170710203,-0.8337157165972555,0.23785113931055765,-0.6245182760860779
1713,2017-18,Vince Carter,72.70364015557757,-0.2124287586681822,-0.42480633624196884,-0.38277682077340147,-0.40135390070944543,-0.8359335026217282,-0.7694978093639344,-1.049667725105287,-0.11696331628348049,-0.37960045811934584,-0.12922435844094668,-0.3642928395175654,-0.4421285970353598,-0.6133774607907998,-0.2857902901823647,-0.21362564468102238,0.03166712748396441,1.4258048481921777
1713,2018-19,Vince Carter,77.34854424219671,0.025844085990340788,-0.24566068364789262,-0.13632135697841016,0.25265613705673046,-0.7933438621705741,-0.7491232178246092,-0.6174532808698459,-0.34964032797433914,-0.11890498161235684,-0.29106360519689156,0.1580602016651648,-0.49510531778362205,0.22494383478756494,0.08065612535631395,-0.12067096596872189,0.7925843139868685,-1.0380288221590035
1713,2019-20,Vince Carter,80.0716413413646,0.22679439720578154,-0.09457601139636185,-0.5984253515940189,-1.3122964533123334,-1.2234992307272308,-1.2018919186985204,0.18954851361171274,0.22041835066826465,0.5762829557396135,0.4857647792316438,2.3366545929394786,-0.3891518762870976,-0.19421681300161736,0.647577284460796,-0.970206130908988,0.07584941573252016,0.09912517954154172
1717,2013-14,Dirk Nowitzki,65.1551967249342,-0.5856531918893092,-0.7054154620921034,,,,,,,,,,-0.4421285970353598,-1.032538108579982,,,-0.9354340708455329,0.09912517954154172
1717,2014-15,Dirk Nowitzki,71.25840778574246,-0.2838866740729435,-0.478532034218775,,,,,,,,,,-0.49510531778362205,-0.6133774607907998,,,0.3065791432527555,0.09912517954154172
